FileName	Name	Batch	Timepoint	Species	CellLine	Treatment	Replicate	Note
46_24h_M16_Con_R1	MUS_24h_M16_Con	1	24h	MUS	M16	Con	R1	
47_24h_M16_10Gy_R1	MUS_24h_M16_10Gy	1	24h	MUS	M16	10Gy	R1	
48_24h_M16_20Gy_R1	MUS_24h_M16_20Gy	1	24h	MUS	M16	20Gy	R1	
49_24h_M24_Con_R1	MUS_24h_M24_Con	1	24h	MUS	M24	Con	R1	
50_24h_M24_10Gy_R1	MUS_24h_M24_10Gy	1	24h	MUS	M24	10Gy	R1	
51_24h_M24_20Gy_R1	MUS_24h_M24_20Gy	1	24h	MUS	M24	20Gy	R1	
52_24h_M29_Con_R1	MUS_24h_M29_Con	1	24h	MUS	M29	Con	R1	
53_24h_M29_10Gy_R1	MUS_24h_M29_10Gy	1	24h	MUS	M29	10Gy	R1	
54_24h_M29_20Gy_R1	MUS_24h_M29_20Gy	1	24h	MUS	M29	20Gy	R1	
55_24h_M32_Con_R1	MUS_24h_M32_Con	1	24h	MUS	M32	Con	R1	
56_24h_M32_10Gy_R1	MUS_24h_M32_10Gy	1	24h	MUS	M32	10Gy	R1	
57_24h_M32_20Gy_R1	MUS_24h_M32_20Gy	1	24h	MUS	M32	20Gy	R1	
58_24h_WM11_Con_R1	MUSW_24h_WM11_Con	1	24h	MUSW	WM11	Con	R1	
59_24h_WM11_10Gy_R1	MUSW_24h_WM11_10Gy	1	24h	MUSW	WM11	10Gy	R1	
60_24h_WM11_20Gy_R1	MUSW_24h_WM11_20Gy	1	24h	MUSW	WM11	20Gy	R1	
61_24h_WM14_Con_R1	MUSW_24h_WM14_Con	1	24h	MUSW	WM14	Con	R1	
62_24h_WM14_10Gy_R1	MUSW_24h_WM14_10Gy	1	24h	MUSW	WM14	10Gy	R1	
63_24h_WM14_20Gy_R1	MUSW_24h_WM14_20Gy	1	24h	MUSW	WM14	20Gy	R1	
64_24h_WM15_Con_R1	MUSW_24h_WM15_Con	1	24h	MUSW	WM15	Con	R1	
65_24h_WM15_10Gy_R1	MUSW_24h_WM15_10Gy	1	24h	MUSW	WM15	10Gy	R1	
66_24h_WM15_20Gy_R1	MUSW_24h_WM15_20Gy	1	24h	MUSW	WM15	20Gy	R1	
67_24h_WM19_Con_R1	MUSW_24h_WM19_Con	1	24h	MUSW	WM19	Con	R1	
68_24h_WM19_10Gy_R1	MUSW_24h_WM19_10Gy	1	24h	MUSW	WM19	10Gy	R1	
