"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045321","GO:0045321","leukocyte activation","59/229","68/313",0.00234209297841679,1,1,"Abl1/Abl2/Adam17/Adam8/Adam9/Ager/App/Phb2/Bmp4/Ctnnb1/Cd24a/Cd44/Cd81/Csk/Ezh2/Fzd5/Fzd8/Gas6/Icam1/Il6/Il6ra/Jak2/Ltbr/Notch2/P2rx7/Prkcd/Prkce/Prkcz/Psap/Psen1/Ptk2b/Ptpn22/Ptprj/Rara/Cxcl12/Sphk1/Prdx2/Thbs1/Tlr4/Tlr6/Cd40/Wnt5a/Rps3/Mink1/Mfhas1/Sh3rf1/Lrrk2/Pycard/Gper1/Gpnmb/Dusp22/Tirap/Tlr3/Ripk2/Tmem106a/Pja2/Zc3h12a/Pde5a/Cracr2a",59
"GO:0045732","GO:0045732","positive regulation of protein catabolic process","18/229","18/313",0.00299056588927719,1,1,"Adam8/Adam9/Adra2a/Apoe/App/Axin1/Cd81/Dab2/Lrp1/Psen1/Pten/Ptk2b/Wnt5a/Fbxw7/Sh3rf1/Lrrk2/Dab2ip/Sh3rf3",18
"GO:0042176","GO:0042176","regulation of protein catabolic process","23/229","24/313",0.00423124664315261,1,1,"Adam8/Adam9/Adra2a/Apoe/App/Axin1/Cd81/Dab2/Epha4/Hipk2/Hmgcr/Lrp1/Psen1/Pten/Ptk2b/Timp2/Wnt5a/Fbxw7/Sh3rf1/Lrrk2/Dab2ip/Nrg1/Sh3rf3",23
"GO:0006954","GO:0006954","inflammatory response","51/229","59/313",0.00629552103103933,1,1,"Adam17/Adam8/Adra2a/Adrb2/Ager/Apoe/App/C3/Cd24a/Cd44/Cd81/Ednra/Esr1/Ezh2/F2r/Ndst1/Icam1/Il6/Jak2/Lrp1/Notch1/Notch2/P2rx7/Prkcz/Psen1/Ripk1/Sema7a/Sod1/Sphk1/Prdx2/Thbs1/Tlr4/Tlr6/Tnfrsf11a/Cd40/Wnt5a/Mfhas1/Stk39/Trpv4/Lrrk2/Pycard/Dab2ip/Il34/Gper1/C1qtnf3/Tirap/Cspg4/Tlr3/Pja2/Zc3h12a/Pde5a",51
"GO:0009896","GO:0009896","positive regulation of catabolic process","35/229","39/313",0.0071425976621082,1,1,"Adam8/Adam9/Adra1b/Adra2a/Adrb2/Ager/Apoe/App/Axin1/Rb1cc1/Cd81/Dab2/Htr2a/Igfbp3/Il6/Lrp1/P2rx7/Prkcd/Prkce/Psen1/Pten/Ptk2b/Ptpn1/Rock1/Rock2/Wnt5a/Fbxw7/Sh3rf1/Prxl2c/Lrrk2/Dab2ip/Nod1/Ripk2/Zc3h12a/Sh3rf3",35
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","15/229","15/313",0.00810752995850363,1,1,"Apoe/Axin1/Cd81/Dab2/Epha4/Hipk2/Lrp1/Psen1/Pten/Ptk2b/Fbxw7/Sh3rf1/Lrrk2/Dab2ip/Sh3rf3",15
"GO:0050727","GO:0050727","regulation of inflammatory response","30/229","33/313",0.0086548769347219,1,1,"Adam8/Adrb2/Ager/Apoe/App/C3/Cd24a/Cd44/Cd81/Ednra/Esr1/Il6/Jak2/Ripk1/Sema7a/Sod1/Sphk1/Tlr4/Tlr6/Tnfrsf11a/Wnt5a/Mfhas1/Stk39/Trpv4/Lrrk2/Pycard/Gper1/C1qtnf3/Tlr3/Pde5a",30
"GO:0001775","GO:0001775","cell activation","72/229","87/313",0.011144156627607,1,1,"Abl1/Abl2/Acta2/Adam17/Adam8/Adam9/Adra2a/Adra2b/Adrb2/Ager/Apoe/App/Phb2/Bmp4/Ctnnb1/Cd24a/Cd44/Cd81/Csk/Ezh2/F2r/Ccn2/Fzd5/Fzd8/Gas6/Icam1/Il6/Il6ra/Itgb3/Jak2/Lrp1/Ltbr/Notch2/Ddr2/P2rx7/Prkcd/Prkce/Prkcz/Plcb1/Psap/Psen1/Ptk2b/Ptpn22/Ptprj/Rara/Cxcl12/Sphk1/Prdx2/Thbs1/Tlr4/Tlr6/Cd40/Wnt5a/Rps3/Mink1/Mfhas1/C1qtnf1/Sh3rf1/Lrrk2/Pycard/Bmper/Gper1/Gpnmb/Dusp22/Tirap/Tlr3/Ripk2/Tmem106a/Pja2/Zc3h12a/Pde5a/Cracr2a",72
"GO:0034767","GO:0034767","positive regulation of ion transmembrane transport","14/229","14/313",0.0112751230585702,1,1,"Abl1/Adrb2/Ager/Bmp4/Edn1/Ednra/F2r/P2rx7/Plcb1/Psen1/Stk39/Gper1/P2ry6/Cracr2a",14
"GO:0031331","GO:0031331","positive regulation of cellular catabolic process","33/229","37/313",0.0116241289253802,1,1,"Adam8/Adam9/Adra1b/Adra2a/Adrb2/Ager/Apoe/App/Axin1/Rb1cc1/Cd81/Dab2/Htr2a/Igfbp3/Il6/Lrp1/P2rx7/Prkcd/Psen1/Pten/Ptk2b/Ptpn1/Rock1/Rock2/Fbxw7/Sh3rf1/Prxl2c/Lrrk2/Dab2ip/Nod1/Ripk2/Zc3h12a/Sh3rf3",33
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","13/229","13/313",0.015659893136903,1,1,"Apoe/Axin1/Dab2/Epha4/Hipk2/Psen1/Pten/Ptk2b/Fbxw7/Sh3rf1/Lrrk2/Dab2ip/Sh3rf3",13
"GO:1903364","GO:1903364","positive regulation of cellular protein catabolic process","13/229","13/313",0.015659893136903,1,1,"Apoe/Axin1/Cd81/Dab2/Lrp1/Psen1/Pten/Ptk2b/Fbxw7/Sh3rf1/Lrrk2/Dab2ip/Sh3rf3",13
"GO:0010876","GO:0010876","lipid localization","18/229","19/313",0.0183184832607589,1,1,"Apoe/C3/Dab2/Edn1/Fzd4/Igfbp3/Itgb3/Lrp1/P2rx7/Prkcd/Psap/Ptpn11/Thbs1/Tnfrsf11a/Abca7/C1qtnf1/Nrg1/Zc3h12a",18
"GO:0035567","GO:0035567","non-canonical Wnt signaling pathway","12/229","12/313",0.0217217872544138,1,1,"Abl1/Abl2/Dab2/Dvl2/Dvl3/Fzd4/Fzd5/Fzd8/Ryk/Wnt5a/Ror2/Ankrd6",12
