"","MUSW_12d_WM11_10Gy","MUSW_12d_WM11_20Gy","MUSW_12d_WM11_Con","MUSW_12d_WM11_ConP","MUSW_12d_WM14_10Gy","MUSW_12d_WM14_20Gy","MUSW_12d_WM14_Con","MUSW_12d_WM14_ConP","MUSW_12d_WM15_10Gy","MUSW_12d_WM15_20Gy","MUSW_12d_WM15_Con","MUSW_12d_WM15_ConP","MUSW_12d_WM19_10Gy","MUSW_12d_WM19_20Gy","MUSW_12d_WM19_Con","MUSW_12d_WM19_ConP","MUSW_24h_WM11_20Gy","MUSW_24h_WM11_Con","MUSW_24h_WM14_10Gy","MUSW_24h_WM14_20Gy","MUSW_24h_WM14_Con","MUSW_24h_WM15_10Gy","MUSW_24h_WM15_20Gy","MUSW_24h_WM15_Con","MUSW_24h_WM19_10Gy","MUSW_24h_WM19_20Gy","MUSW_24h_WM19_Con"
"ENSMUSG00000100595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100025",0,2,0,2,0,0,0,0,0,0,0,0,0,1,2,3,3,2,1,1,2,0,0,0,3,3,3
"ENSMUSG00000051285",1357,1217,981,907,1634,1577,1331,850,1571,1867,1628,1157,1403,1710,1269,1133,1366,1148,1130,1243,855,1202,1236,1014,1256,1271,1186
"ENSMUSG00000077244",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"ENSMUSG00000026312",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
