Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
0610009B22Rik	0610009B22Rik	66050	0.123034312874001	3.50015321450241	0.262085734493432	0.414436142070115	0.0351180516653087	3.50015321450241	0.749473930491183	0.803471279224778	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
0610010F05Rik	0610010F05Rik	NA	-0.240511711489364	5.22813464954001	0.0238088566653488	0.068873847358168	-0.347341108097924	5.22813464954001	0.00111204841399361	0.00275636950943044	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
0610010K14Rik	0610010K14Rik	104457	-0.236030537956514	4.61229322560005	0.00643890479910701	0.024646627588743	-0.545499993668013	4.61229322560005	4.59681780715443e-10	3.41999299085932e-09	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
0610012G03Rik	0610012G03Rik	106264	0.252225535544787	2.96206390939677	0.0275346131391298	0.0766151715516556	0.267065307537724	2.96206390939677	0.019354453775364	0.035560090746787	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
0610030E20Rik	0610030E20Rik	68364	-0.38747438900999	4.95421020642293	2.10883507943652e-06	3.04321798976333e-05	-0.385852380079861	4.95421020642293	2.28156700019064e-06	9.59101884166226e-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
0610040J01Rik	0610040J01Rik	76261	0.623901451026934	2.41612657660605	0.000519406216425456	0.00322143354623802	0.416063574057866	2.41612657660605	0.0219881882542832	0.039808380510496	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110002E22Rik	1110002E22Rik	102634333	-0.00435056958622346	5.32633960539477	0.98426295835714	0.991051964459219	0.208690266591996	5.32633960539477	0.351451645175395	0.435327922051838	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110004F10Rik	1110004F10Rik	56372	-0.0157444494220133	6.00663755086148	0.88026665561494	0.927060903711117	-0.168117445678515	6.00663755086148	0.108359067792853	0.161129182609642	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110008P14Rik	1110008P14Rik	NA	0.471751941180319	4.22580820865119	0.000113266045464063	0.000919118501167717	0.730569462976583	4.22580820865119	2.09455166467729e-09	1.41901526554688e-08	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110017D15Rik	1110017D15Rik	73721	0.451465824850901	1.43496411009456	0.0326434142510161	0.0871580417468407	0.429431894469108	1.43496411009456	0.0398754463441182	0.0671270563122398	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110025L11Rik	1110025L11Rik	68637	2.58544626794823	0.875060798503856	1.38159226109251e-11	8.47784136142963e-10	3.31891426501507	0.875060798503856	2.55449539167147e-18	5.45011416795384e-17	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Up	Up
1110025M09Rik	1110025M09Rik	68635	0.240190642367383	-0.585475874769155	0.507343672181378	0.655289377462173	0.222980784110223	-0.585475874769155	0.538029679125035	0.619202953535766	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110032A03Rik	1110032A03Rik	68721	0.426644789869108	0.632163736658848	0.0310277217986075	0.0838562085210705	0.967689940352398	0.632163736658848	2.26322304096338e-07	1.12415390874212e-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110038F14Rik	1110038F14Rik	117171	-0.0475330569110752	4.75217063483655	0.633934161303956	0.755794270027791	-0.23486155548632	4.75217063483655	0.0190378701188831	0.0350387767496577	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110051M20Rik	1110051M20Rik	NA	-0.47985291988446	3.73463145473098	6.02495773223767e-06	7.54098500276824e-05	-0.673770197049462	3.73463145473098	2.84926608008368e-10	2.18066346570643e-09	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110059E24Rik	1110059E24Rik	66206	-0.129341522423595	2.50173629306525	0.423000280452219	0.57989595102816	-0.438697734872967	2.50173629306525	0.00731286937471935	0.0149933282803974	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110059G10Rik	1110059G10Rik	66202	0.0870097270835171	3.07588174269208	0.530995231747572	0.676512804214545	-0.0718408858598187	3.07588174269208	0.606811621511203	0.682447779346149	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
1110065P20Rik	1110065P20Rik	68920	0.106438656279314	2.34400324054062	0.595746755685777	0.726824668588928	0.478044972762127	2.34400324054062	0.0167791567117708	0.0314323038334239	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
