Geneid	GeneSymbol	Entrez	MouseSymbol	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSG00000000003	TSPAN6	7105	Tspan6	0.0777914875842147	4.12723024692132	0.398417933605833	0.562725617078395	0.137303821048725	4.12723024692132	0.135433938435858	0.22447848930615	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000000419	DPM1	8813	Gm20716	0.100768711237419	5.05376468120456	0.21047357541796	0.359658335253154	0.163333927965624	5.05376468120456	0.0419788816735924	0.0866169530053138	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000000457	SCYL3	57147	Scyl3	-0.200642270932686	3.10455552527926	0.0882006162904763	0.191107796879643	-0.231312504113894	3.10455552527926	0.0491895936869267	0.0988758875187223	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000000460	C1orf112	55732	BC055324	-0.25936016762	1.72622386628247	0.222219945695126	0.373474491799696	-0.501266822745328	1.72622386628247	0.0194595578715895	0.0457282602582338	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000000971	CFH	3075	Cfhr1	-0.0223013863391551	-0.13392817537348	0.943574004557333	0.966983532875527	0.223861117217347	-0.13392817537348	0.501859858151209	0.618768015869608	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001036	FUCA2	2519	Fuca2	0.322128058543403	6.56334520549648	0.000552481865318537	0.00325372434262466	0.334757951466944	6.56334520549648	0.000325747257984993	0.00131043265807456	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001084	GCLC	2729	Gclc	0.426725058196341	3.55722511288569	8.18334225257962e-05	0.000634917446123544	0.374577062963691	3.55722511288569	0.000549204455137966	0.00207396207420333	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001167	NFYA	4800	Nfya	0.00979523822266016	4.61462552602329	0.89946419450768	0.938692766999264	0.0428038002617461	4.61462552602329	0.579674423727545	0.687538127853941	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001460	STPG1	90529	Stpg1	0.231021766414654	4.33668526562359	0.00338992880646575	0.0145685170560929	0.243172586167904	4.33668526562359	0.00199285414419495	0.00641915205496732	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001461	NIPAL3	57185	Nipal3	0.649552606506176	7.88868577632501	2.78925886471382e-14	1.56240757921924e-12	0.735164774026561	7.88868577632501	7.76221537328976e-18	3.78837098812571e-16	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001497	LAS1L	81887	Las1l	0.199689745555939	4.98484941147624	0.0138848074520151	0.0452265490309251	0.287211433818608	4.98484941147624	0.000392392907448936	0.00154697582387493	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001561	ENPP4	22875	Enpp4	-0.42770212324035	-0.479364193916048	0.146035054489639	0.277547138006445	-0.442103680527692	-0.479364193916048	0.139519907994606	0.229987782791689	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001617	SEMA3F	6405	Sema3f	0.102132517423216	5.56935914777016	0.279444951429012	0.440510813530778	0.0374826349236579	5.56935914777016	0.690927435400126	0.777286794575661	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001629	ANKIB1	54467	Ankib1	-0.0313893264669601	6.76890378382919	0.634169145414018	0.761270665020091	-0.0661798968157308	6.76890378382919	0.315860329163352	0.43842148936246	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001630	CYP51A1	1595	Cyp51	0.0243118891514707	1.46946742765402	0.879601151575209	0.927499952075826	-0.0754684026626749	1.46946742765402	0.638927563116991	0.736377585797994	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000001631	KRIT1	889	Krit1	-0.215549882014807	2.44089105795923	0.14060931788999	0.269902724942519	-0.189627298570465	2.44089105795923	0.192241362049998	0.296471505057397	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002016	RAD52	5893	Rad52	-0.0486761448386494	3.11864130463485	0.717245940223442	0.822444027275316	0.028664277275279	3.11864130463485	0.830289120493887	0.884364872171017	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002330	BAD	572	Bad	0.0565878213062428	3.48450150674184	0.735634475258286	0.83482592876156	0.302841255321245	3.48450150674184	0.0720652488862412	0.134694249308612	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002549	LAP3	51056	Lap3	0.271090853166977	5.59327115366413	0.000257475819649155	0.00169299796397141	0.232628978961742	5.59327115366413	0.00169882295979019	0.00558720271344313	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002586	CD99	4267	Cd99l2	-0.116456309289387	8.97081438514631	0.0974331629672712	0.205752041611976	-0.19143800268974	8.97081438514631	0.00641177140597813	0.0177792675782128	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002745	WNT16	51384	Wnt16	0.7607714199795	1.07541812015732	0.00127757996135431	0.00657358505508752	0.761609042262108	1.07541812015732	0.00130487338132361	0.00442376606213057	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002746	HECW1	23072	Hecw1	0.61988208516247	1.07713058941975	0.000820507594516402	0.0045039592827426	0.312749079280723	1.07713058941975	0.097085932641249	0.171612093222423	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002822	MAD1L1	8379	Mad1l1	0.820499211769442	-1.51367236897908	0.0919933033332493	0.197244125424116	0.295676001466501	-1.51367236897908	0.558315318356681	0.669054786722829	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002834	LASP1	3927	Lasp1	-0.0811143289399941	9.48602870451036	0.268334466870785	0.428107681096684	-0.203430849497558	9.48602870451036	0.00552588760447221	0.0156545217226628	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000002919	SNX11	29916	Snx11	0.246193032007127	4.51287405534355	0.000773004831668244	0.0042958269262345	0.424733686309994	4.51287405534355	5.40161463646659e-09	6.70510589974807e-08	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003056	M6PR	4074	M6pr	-0.0711022123205874	5.60072899174116	0.275567242782364	0.436491900842502	-0.125491596311819	5.60072899174116	0.0542922372866139	0.106907270971298	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003096	KLHL13	90293	Klhl13	0.410340359444651	0.935312752710088	0.0490226832227433	0.122130339626771	0.136719629022304	0.935312752710088	0.515919685018362	0.630895584391924	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003137	CYP26B1	56603	Cyp26b1	-0.389650548498789	3.45461490169888	0.048640614351431	0.121482193712874	-0.475199933990383	3.45461490169888	0.0158165197014332	0.0383937448038074	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003249	DBNDD1	79007	Dbndd1	0.158387990411414	1.08887932335149	0.382721324457521	0.547659180999904	0.352012679769159	1.08887932335149	0.0480406157941403	0.0969862971145046	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003393	ALS2	57679	Als2	0.0178304599212345	5.54350853151055	0.820557883571567	0.890533537520647	0.0654902890525443	5.54350853151055	0.404256186366874	0.527084261705627	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003400	CASP10	843	NA	0.186436303891982	2.21028931845069	0.215012858736691	0.365117403321857	0.544413431585376	2.21028931845069	0.000240681132328491	0.00100287195967138	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003402	CFLAR	8837	Cflar	0.0598789422673918	6.35687089159651	0.563979683058233	0.707146800152089	0.0322676415520929	6.35687089159651	0.755675347327289	0.829800774951805	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSG00000003436	TFPI	7035	Tfpi	0.0940183225147051	5.41368334943523	0.387629775732363	0.552241726737013	0.0876133707106751	5.41368334943523	0.420632376000118	0.543376497247163	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
