Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000000001	Gnai3	14679	-0.135587041826563	7.64206067810726	0.0291296998780844	0.0562846350849297	-0.109051257069316	7.64206067810726	0.0787342908218114	0.123642122471812	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000028	Cdc45	12544	0.0552662735298278	2.90872867374505	0.77358209877336	0.83135106712366	-0.153004966228611	2.90872867374505	0.425213296278096	0.513043550524964	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000031	H19	14955	-3.47462180028292	8.04194722601637	1.13360793691788e-05	5.06313617459581e-05	-3.64029218178096	8.04194722601637	5.04214186510009e-06	2.08228112099274e-05	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	Down	Down
ENSMUSG00000000037	Scml2	107815	-0.374078165569314	0.78315057466099	0.103958069610307	0.165437533806657	-0.304055927238107	0.78315057466099	0.176584085824517	0.246510611082859	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000056	Narf	67608	-0.875195541780107	5.26481050250707	4.85905058035055e-33	5.64961039699488e-31	-0.787617540451131	5.26481050250707	1.31921067106836e-27	7.00233200404037e-26	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000058	Cav2	12390	-0.229752479444768	5.37926875760689	0.0837950674970642	0.137777523999101	-0.211570625539248	5.37926875760689	0.110185998229578	0.16498618909069	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000078	Klf6	23849	-0.0471015383438715	7.9781198300801	0.663200613674554	0.741501105878975	-0.0849319842802255	7.9781198300801	0.432126781809273	0.519886454258508	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000085	Scmh1	29871	0.227672620992229	5.67706539658635	0.00210930766006573	0.00561332556220944	0.266438760113319	5.67706539658635	0.000300143446924197	0.000872960392582786	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000088	Cox5a	12858	0.331157502612136	4.59936967780945	0.00418036938574329	0.0102945724493426	0.372925133304023	4.59936967780945	0.00119263949597813	0.00301712460992567	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000093	Tbx2	21385	1.51120168667034	0.180441353753861	6.16299202622083e-07	3.5254913387011e-06	1.4719214474828	0.180441353753861	9.74635306365474e-07	4.57055289316716e-06	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Up	Up
ENSMUSG00000000094	Tbx4	21387	0.260070080587143	-0.414678230777329	0.465655011929011	0.564706978970799	0.804786829992576	-0.414678230777329	0.0185975227876958	0.0351371819499282	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000120	Ngfr	18053	0.74264762966805	0.812722637805511	0.260564547058691	0.354929857220811	0.756603652037577	0.812722637805511	0.253574650977419	0.333022737500599	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000125	Wnt3	22415	3.38569151559371	-1.14459634558098	3.74685401722717e-06	1.84261199571595e-05	3.51677946052831	-1.14459634558098	1.11673915477585e-06	5.18549243025871e-06	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Up	Up
ENSMUSG00000000126	Wnt9a	216795	-0.459892172635532	3.06288173350563	0.000573264185085988	0.0017652476320637	-0.593433745331521	3.06288173350563	8.32049146431807e-06	3.29535550019626e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000127	Fer	14158	-0.0408405983324528	6.54191335937233	0.728552059129458	0.795801347021068	-0.0317211820073901	6.54191335937233	0.787538897920837	0.837199394422775	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000131	Xpo6	74204	0.0554057258598918	6.52737462264894	0.421556459160238	0.521648967539276	0.0874951514915328	6.52737462264894	0.203045609342553	0.276888967408396	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000134	Tfe3	209446	0.147784171025407	6.20965592566512	0.0202647709562134	0.0411531597599842	0.0946695703019344	6.20965592566512	0.135822638999365	0.197440133095922	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000142	Axin2	12006	0.190974565899531	0.900790019454597	0.70686595551426	0.778555323826549	0.391494761976487	0.900790019454597	0.441494987674326	0.52874990886298	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000148	Brat1	231841	-0.202510140167895	4.57565161228069	0.02157885290124	0.0434662718277418	-0.276130616648906	4.57565161228069	0.00165108318633228	0.00404255541324897	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000149	Gna12	14673	-0.123851375963178	6.57951561167085	0.129714142573929	0.198839823031083	-0.194091271125454	6.57951561167085	0.0174071353291711	0.0331747798324907	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000154	Slc22a18	18400	0.718076251738801	3.27801644922552	4.11956282855841e-06	2.01440572224235e-05	0.726118485932391	3.27801644922552	2.97384785812685e-06	1.28213275813886e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000167	Pih1d2	72614	0.0705977649326846	-0.135038743837255	0.787477487478715	0.842575605577212	0.301411735624352	-0.135038743837255	0.231198113479088	0.308250123996054	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
