Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000000001	Gnai3	14679	-0.0196756689758613	7.96578992385456	0.682642713304235	0.82872434263794	-0.0167846445349469	7.96578992385456	0.726910543908119	0.847093087167595	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000028	Cdc45	12544	-0.342494559436003	3.95937069061721	0.00103404293182932	0.00795393134376842	-0.0365605409970466	3.95937069061721	0.722214518209782	0.844308173206568	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000031	H19	14955	-0.896497336146083	2.27893335370851	0.00204677220125236	0.0138204067901077	-0.795543841930471	2.27893335370851	0.00482109442487939	0.0234834847694655	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000037	Scml2	107815	-0.0533100692095454	1.49751073256139	0.705297681562501	0.841686531743472	0.422626801119543	1.49751073256139	0.00130913399956663	0.00824265189101295	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000056	Narf	67608	-0.0542792457637267	4.67443635499323	0.377460860325977	0.599547100272428	-0.0679903810824393	4.67443635499323	0.265351389842721	0.46218926047616	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000058	Cav2	12390	-0.0461061647538742	5.3956412932618	0.490277302765189	0.695127020365853	-0.00572719827472472	5.3956412932618	0.931357739146707	0.967865953620503	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000078	Klf6	23849	-0.109308538823535	8.29455722323702	0.0147843457855042	0.0653014186558721	-0.153785535994787	8.29455722323702	0.000598352509984764	0.00429315623377473	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000085	Scmh1	29871	0.126424956829093	5.90745302798528	0.0118197976623029	0.0550960168365478	0.102422809330287	5.90745302798528	0.0404897285341779	0.124990808790716	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000088	Cox5a	12858	0.127896684205619	4.91437456731391	0.104333801339847	0.264360188066029	0.0856574003142447	4.91437456731391	0.274801004221698	0.47278755450741	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000093	Tbx2	21385	0.00421755555285861	-0.121526011706738	0.987641129932849	0.994038690152652	0.176763958529258	-0.121526011706738	0.511388963219884	0.691410931225646	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
