Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000000001	Gnai3	14679	0.0151416001016273	7.48001371469909	0.886122956212218	0.936006176518266	0.0420462590839571	7.48001371469909	0.690776196443657	0.803343783429567	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000028	Cdc45	12544	0.311833263333566	2.83806676975495	0.197260363683392	0.357978380184849	-0.0491234090697977	2.83806676975495	0.84006304435261	0.904722442311872	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000031	H19	14955	-0.00561314092379842	5.00023006656767	0.992099192700772	0.995551165625785	-0.458225034486273	5.00023006656767	0.363232243049981	0.524394187793087	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000037	Scml2	107815	-0.51408200673515	0.575298802519039	0.13162544902297	0.27110799526377	-0.534575020562649	0.575298802519039	0.115038350622647	0.231903742548433	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000049	Apoh	11818	0.977461294156015	-0.882250990857985	0.120472207639724	0.254712986734177	1.12234429694965	-0.882250990857985	0.0722848719876033	0.16363085034646	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000056	Narf	67608	-0.71542168529934	5.54322652553353	3.7132786895715e-07	7.58447842686042e-06	-0.811995069196686	5.54322652553353	8.13570398695291e-09	2.31314335757045e-07	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000058	Cav2	12390	-0.42031254998695	5.07264048031291	0.0487775763658899	0.132155903491041	-0.415511314295249	5.07264048031291	0.0515083690121502	0.127768796698085	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000078	Klf6	23849	-0.0635414879705256	8.01387480676652	0.579602407213709	0.728783638859905	-0.0406812057349175	8.01387480676652	0.723033020070593	0.826207076572954	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000085	Scmh1	29871	0.108161937943868	5.08134835973361	0.172651016576993	0.326470717166604	0.0995765349579642	5.08134835973361	0.209517087567728	0.358336732057607	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000088	Cox5a	12858	0.068907246708632	4.39638679356624	0.610580162077118	0.753202322375917	0.137864454075605	4.39638679356624	0.307884159636652	0.468215790906573	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000093	Tbx2	21385	-0.81878628192206	1.9268641363698	0.107175429077438	0.234779595101385	-0.5297912330495	1.9268641363698	0.297898724388848	0.457483878784905	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000094	Tbx4	21387	0.109587901591462	2.71294979782894	0.785357464930373	0.874012973340393	-0.194142656099711	2.71294979782894	0.631382935940476	0.758242811265609	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000120	Ngfr	18053	-1.30983881208142	2.46354641347473	0.269872658486619	0.444349051777366	-1.58972653615307	2.46354641347473	0.189343803323057	0.332967776848166	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000125	Wnt3	22415	2.65320186216068	-1.89494947555562	1.64331176590389e-05	0.000200182691208994	2.82360169043712	-1.89494947555562	2.94831958886581e-06	3.93922098452221e-05	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Up	Up
ENSMUSG00000000126	Wnt9a	216795	-0.400193960087858	3.70875755429454	0.0944963956939497	0.214594370796356	-0.336118342493307	3.70875755429454	0.159956136467601	0.295086482743761	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000127	Fer	14158	0.037431621789016	6.30655160115475	0.738724528119507	0.843781768580018	-0.042106409857232	6.30655160115475	0.707802462711088	0.815276258571577	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000131	Xpo6	74204	0.0717219304431566	6.37084753526218	0.423975752075565	0.599029386134948	0.0417898251689523	6.37084753526218	0.641565570158545	0.765784730929796	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000134	Tfe3	209446	0.0736862097253283	6.34001698710743	0.401758263399528	0.578894016271858	0.00608484754540408	6.34001698710743	0.944849241392141	0.969257960429403	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000142	Axin2	12006	0.25588575563938	0.273812597932007	0.637356721347319	0.772112061157138	0.38038944370285	0.273812597932007	0.483965933646923	0.637160558689077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000148	Brat1	231841	-0.20590042005285	4.73621910999572	0.0539450849759856	0.142105311092474	-0.31833304147036	4.73621910999572	0.00296658497426961	0.0133543293205246	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000149	Gna12	14673	-0.182788196037308	6.43775063789546	0.0570454058685652	0.14817421703408	-0.169304081808917	6.43775063789546	0.0779206230870871	0.172892083316065	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000154	Slc22a18	18400	1.15181097704205	2.03353444487289	2.01665313918156e-08	5.98512338760023e-07	1.3241937694769	2.03353444487289	9.32859695724797e-11	4.45017900484017e-09	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	Up	Up
ENSMUSG00000000167	Pih1d2	72614	0.281277140956819	0.260024948526724	0.210760067929544	0.375177200812221	0.0113008138831272	0.260024948526724	0.96109547929908	0.978516543721195	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000168	Dlat	235339	-0.0618312694147936	6.38693948177997	0.423392030551487	0.598661339399238	0.0202118894381834	6.38693948177997	0.793391046756382	0.874058208360874	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000171	Sdhd	66925	-0.17197934231254	6.42457211687204	0.121163664651682	0.255710014353965	-0.143307747376404	6.42457211687204	0.196393578924142	0.341938899936999	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000182	Fgf23	64654	-2.08848075275201	-0.0553671077214124	0.0030702660054748	0.0153740406952553	-2.07360732559734	-0.0553671077214124	0.00539053078481758	0.0215136961361501	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	Down	Down
ENSMUSG00000000184	Ccnd2	12444	0.868487807574931	9.32927543714499	3.216670016763e-12	2.33307045705626e-10	0.996748403680362	9.32927543714499	1.48584306054652e-15	1.70344717328462e-13	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000194	Gpr107	277463	-0.0280387576454988	6.87770828848801	0.790078379396054	0.877275188744381	-0.0470810683183275	6.87770828848801	0.654847402751794	0.775775889793292	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000197	Nalcn	338370	-0.392042250042859	-2.23458150147286	0.529893131408679	0.689957936994484	-0.29680130444769	-2.23458150147286	0.629180131224978	0.756540754756382	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000223	Drp2	13497	0.266151114655551	2.6064624961748	0.0715196978478281	0.175569681333919	0.252737926851821	2.6064624961748	0.0868472684150347	0.187860737642747	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000244	Tspan32	27027	-0.604539611675265	-1.01224878701004	0.0881361349271228	0.204395317149099	-0.200711508526099	-1.01224878701004	0.561029883013909	0.703626009433235	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000247	Lhx2	16870	0.522562172188394	-1.74237766069129	0.307635826490074	0.486252046851556	0.77048163479851	-1.74237766069129	0.119950744593817	0.239127721938816	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
