Geneid	GeneSymbol	Entrez	logFC_10vsC	logCPM_10vsC	PValue_10vsC	PAdj_10vsC	logFC_20vsC	logCPM_20vsC	PValue_20vsC	PAdj_20vsC	sig_10vsC	sig_20vsC	up_10vsC	up_20vsC	down_10vsC	down_20vsC	sig_col10	sig_col20
ENSMUSG00000000001	Gnai3	14679	-0.0898756868700211	7.83215885625206	0.195254491832661	0.377217754075416	-0.050036564525127	7.83215885625206	0.419677531905894	0.598988965913182	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000028	Cdc45	12544	-1.01172095028656	3.58287578430409	1.43219638918413e-09	6.87454266808382e-08	-0.530329419210843	3.58287578430409	0.000326704250609736	0.00261656080667506	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Down	NotSig
ENSMUSG00000000031	H19	14955	0.110031529181548	1.68696372071472	0.644869382107097	0.79003467581733	0.445931678200852	1.68696372071472	0.0382474855788938	0.113316638312892	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000037	Scml2	107815	0.256269676486953	1.50453177197854	0.275479676496219	0.471629119401785	0.66201501814727	1.50453177197854	0.00141833686965068	0.00864049854492474	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000049	Apoh	11818	0.354267278362806	-1.69163419210052	0.417406035435776	0.609122187307973	-0.0762175531209374	-1.69163419210052	0.859520470563313	0.922075005699059	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000056	Narf	67608	-0.0362307021268073	4.97639641656312	0.721781806139622	0.842772452168462	-0.00522811274113346	4.97639641656312	0.953978249870557	0.976996125592357	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000058	Cav2	12390	0.0821474662719335	5.08489019719461	0.43407225635009	0.624770532786444	0.201118010157298	5.08489019719461	0.0310674421724924	0.0969857470177503	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000078	Klf6	23849	0.0404832500362176	8.23020065567839	0.602334306578835	0.759946306794448	0.0262959391538177	8.23020065567839	0.704500012705856	0.824645514054384	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000085	Scmh1	29871	0.248629177433395	5.42623603500232	0.0028845059687364	0.0166169848476865	0.273519538264747	5.42623603500232	0.000236008871945196	0.00201064377862065	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000088	Cox5a	12858	0.118944955300429	4.82946287225534	0.233032302833512	0.424677546149899	0.169273767227379	4.82946287225534	0.0579326284132843	0.154487009102091	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000093	Tbx2	21385	0.266813398233303	3.31806790951809	0.144411411725749	0.309045606422069	0.16178219750866	3.31806790951809	0.257106938449596	0.436481715770664	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000094	Tbx4	21387	0.32865401168678	4.04488395784437	0.104301368521032	0.248695911872785	0.175695569873294	4.04488395784437	0.244353113173754	0.421453760140683	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000126	Wnt9a	216795	-0.0812742618883304	2.93037972514359	0.625011799180881	0.776865552266539	-0.0969152225829364	2.93037972514359	0.498150726983645	0.667936632805967	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000127	Fer	14158	-0.149468806395779	6.22390887942082	0.0329516310434826	0.107562786500679	-0.235541160640329	6.22390887942082	0.000195621471258155	0.00173261270890195	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000131	Xpo6	74204	-0.0973682695779729	6.62113414289252	0.181709548688405	0.36079586124916	-0.0776923586077851	6.62113414289252	0.233690456562871	0.40884396901606	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000134	Tfe3	209446	-0.0129254378801346	6.40238699741493	0.86070190525898	0.926790127433337	-0.0723627692733345	6.40238699741493	0.273756725299713	0.455433379703082	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000142	Axin2	12006	0.203076961595999	-1.20688852373466	0.765192373871552	0.869296459046834	-0.0529703823534058	-1.20688852373466	0.921116475454373	0.958298790086505	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000148	Brat1	231841	-0.0242775699391079	4.56057802558161	0.815838854242449	0.899334076069975	-0.0897355502153021	4.56057802558161	0.33523834027335	0.51964122445492	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000149	Gna12	14673	-0.0171291418673023	6.67421369376443	0.816156664134899	0.899359524206111	0.0163563281078074	6.67421369376443	0.80387681436558	0.888927383279805	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000154	Slc22a18	18400	0.891716512067027	0.668199267872334	0.00206381442798607	0.0126427415751233	0.758301596479281	0.668199267872334	0.00574394414284556	0.0264780460906422	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000167	Pih1d2	72614	0.0675779683749575	0.48211614243963	0.798806545762114	0.889677554355001	0.227703641658327	0.48211614243963	0.327834879900961	0.512609326858696	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000168	Dlat	235339	0.088763511210886	6.54780662417047	0.275048185902229	0.471033371598232	0.0397164687901202	6.54780662417047	0.586204127755697	0.741844098329425	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000171	Sdhd	66925	-0.117398555140599	6.49127104817218	0.111398740375029	0.259915074846993	-0.070751857409207	6.49127104817218	0.284066100443435	0.466829216537557	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000182	Fgf23	64654	-0.146964618589134	-1.88853473907443	0.793753681778371	0.886589979185801	-0.677103503831992	-1.88853473907443	0.265596068716227	0.446163965580377	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000184	Ccnd2	12444	0.493981414564873	9.88606641248114	7.30805771913534e-07	1.53727143550753e-05	0.471733682521736	9.88606641248114	1.24846896106945e-07	2.98630435102632e-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000194	Gpr107	277463	-0.00351845660345828	6.71261659676292	0.958746758155891	0.98068604323955	-0.00993718226895409	6.71261659676292	0.87011317236637	0.928543139374029	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000223	Drp2	13497	0.51579065816404	2.41940074734966	0.00012989805402265	0.00132623966077087	0.453246356402538	2.41940074734966	0.000335266286614399	0.00267018316466167	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000244	Tspan32	27027	-0.850633654921445	-1.90646387903528	0.109218907536868	0.256277436582572	-0.360577336855126	-1.90646387903528	0.396223677043439	0.576581348972387	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000253	Gmpr	66355	0.386605960544363	3.53211612877016	0.00145335009627166	0.00952736928371672	0.385686581483301	3.53211612877016	0.000276913226850689	0.00227848943827457	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000266	Mid2	23947	0.0489611169231222	5.05286189495081	0.605276634527875	0.762808544518654	0.122957014484119	5.05286189495081	0.144098545276723	0.294150858111082	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000275	Trim25	217069	0.157780105109624	5.64645918630354	0.0710509864469257	0.188835620612565	0.00109432115197864	5.64645918630354	0.988872440442975	0.994084713479254	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000276	Dgke	56077	0.131988774264813	3.56732172412878	0.238649846352269	0.431670131793483	0.132866226862313	3.56732172412878	0.185286346588431	0.349740815729865	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000278	Scpep1	74617	-0.224135030130924	7.69854515213835	0.00146317709444586	0.00957423840757254	-0.197781142478003	7.69854515213835	0.0016849690601549	0.00990620527597852	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000282	Mnt	17428	-0.129023995836531	5.0293060239356	0.320365317958859	0.517154441720294	-0.0852060842575372	5.0293060239356	0.462883023017782	0.637500362145807	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000290	Itgb2	16414	0.682954451861344	-0.260914192455533	0.0682289736989384	0.183379789513269	0.751698409345238	-0.260914192455533	0.0287341988522837	0.0915285945845973	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000295	Hddc2	69692	-0.223342819562219	4.13226984016115	0.0246361804806931	0.0866042408710334	-0.106905033906725	4.13226984016115	0.229133258221604	0.403337696972905	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000296	Tpd52l1	21987	0.448762816303979	0.970985227550281	0.0629331274078929	0.172649684396337	0.521154077250838	0.970985227550281	0.00612155755176793	0.0277624474383286	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000301	Pemt	18618	-0.234855459237995	1.77550764343976	0.131234232861558	0.289821594388101	-0.171307024622214	1.77550764343976	0.210154462340524	0.38031342383163	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000308	Ckmt1	12716	2.46411636771106	-2.15916849877834	0.102914966792415	0.246169846989751	3.61225490830726	-2.15916849877834	0.0101747573063194	0.0413465137811344	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	NotSig	Up
ENSMUSG00000000317	Bcl6b	12029	1.0812954404699	3.49946901465778	1.49238215613215e-09	7.11567812043807e-08	0.748732927488626	3.49946901465778	8.12786068711651e-06	0.000119609999247443	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	Up	NotSig
ENSMUSG00000000320	Alox12	11684	0.730575654606264	-0.479203539622572	0.0220254600142517	0.0797398582748309	0.521860447137748	-0.479203539622572	0.0713187261379033	0.179318519718152	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000326	Comt	12846	-0.171742408324016	6.67792093673228	0.0441442052150539	0.133666111641857	-0.18273212620908	6.67792093673228	0.016949510435937	0.0611310633574491	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000339	Rtca	66368	-0.0153650085984201	5.25019332784535	0.857175377260887	0.924105863456416	-0.0945199049735386	5.25019332784535	0.216794880996039	0.388357417378503	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000340	Dbt	13171	-0.241573917716239	4.36781610640697	0.0100744669447095	0.0438409416419608	-0.315749076587946	4.36781610640697	0.00016422672630736	0.00150970378733964	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000346	Dazap2	23994	-0.0971221902020398	7.13433847246299	0.196012335483296	0.377814370940987	-0.060593433507038	7.13433847246299	0.366605159036224	0.549561957121584	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000355	Mcts1	68995	0.221509619862807	5.4949427584464	0.0143104838355793	0.057529027091384	0.152855816926757	5.4949427584464	0.06023799715621	0.158945639424908	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000359	Rem1	19700	0.449617755745457	4.78435365761855	3.05779963400669e-05	0.000394398250359168	0.524060933559178	4.78435365761855	5.25293621934025e-08	1.36614544875351e-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000374	Trappc10	216131	-0.00323545466069523	6.13226594063576	0.963468830507498	0.982425017934079	0.0149873947783146	6.13226594063576	0.812764817871475	0.894432940866275	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000378	Ccm2	216527	-0.0517516664465677	6.10187383871265	0.52638199996817	0.701646456764952	-0.0327052270439785	6.10187383871265	0.654630810942422	0.790507201471497	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000384	Tbrg4	21379	-0.192659091131346	5.50633773118999	0.024232451158153	0.0856065649212695	-0.230204762897587	5.50633773118999	0.00261998493162442	0.0142278908359741	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000392	Fap	14089	0.0594633312503239	0.868633043645822	0.873548471122795	0.933536434392848	-0.185809784179364	0.868633043645822	0.55516741726455	0.715609149910077	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000399	Ndufa9	66108	-0.0869904547989638	5.60929074497464	0.31490065654315	0.512031259655931	-0.0765176935976679	5.60929074497464	0.324349288269183	0.509444047733474	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000402	Egfl6	54156	-1.82159479739136	0.443602190120924	0.00580331048696068	0.0286243286915467	-1.53591332990588	0.443602190120924	0.0194385967648849	0.0680493607745752	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	Down	NotSig
ENSMUSG00000000409	Lck	16818	-0.194578854829365	-1.43307754357088	0.606331913254851	0.763494048290433	-0.761213422437121	-1.43307754357088	0.0427123298185868	0.123077591806016	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000420	Galnt1	14423	0.0770997707945676	7.22011795709985	0.306398243928385	0.504166626153414	0.0896199206922954	7.22011795709985	0.183059574140779	0.346589563005916	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000439	Mkrn2	67027	-0.139506439155562	4.23600101983049	0.216388697116286	0.402880697613498	-0.0651226637177937	4.23600101983049	0.519762011835414	0.686425613266897	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000440	Pparg	19016	0.525627047039914	4.59290138292267	2.21940170488943e-05	0.000298929585562509	0.651693409275912	4.59290138292267	1.2844408901294e-08	3.8334464135534e-07	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000441	Raf1	110157	-0.11244494788256	5.41812526243872	0.215788343784435	0.402272444870658	-0.118396763795665	5.41812526243872	0.145788622159865	0.296131844841623	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000486	Septin1	54204	0.606979474300202	0.892923413324216	0.0019410678936501	0.0120412931778674	0.417506394163874	0.892923413324216	0.0285620701811206	0.0911335828397836	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000489	Pdgfb	18591	-0.224537129683114	-0.18169648339788	0.553572855630044	0.723163549749479	-0.145836312373673	-0.18169648339788	0.646466564430266	0.784846183806699	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000530	Acvrl1	11482	0.211873546588402	6.66166751576202	0.00843808316762906	0.0382551397381063	0.260817901562392	6.66166751576202	0.000281987931556038	0.00231016917123572	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000531	Tamalin	56149	-0.111622708155074	3.43490057636437	0.400912612967317	0.594634385720085	-0.138554538190542	3.43490057636437	0.24450260199514	0.421470862730596	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000532	Acvr1b	11479	-0.202030799810354	4.50264124605279	0.0635176709476942	0.173716465521189	-0.180676408137758	4.50264124605279	0.0646893240135991	0.167264315265829	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000538	Tom1l2	216810	0.226658304122632	6.04352890508704	0.00390173575588275	0.0211403137318738	0.312083779549203	6.04352890508704	8.99754129115225e-06	0.000129738740553066	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000552	Zfp385a	29813	0.452623512029096	5.209137361756	7.41757714835569e-05	0.000832164890431998	0.538738385083716	5.209137361756	1.32608259384398e-07	3.1508779771336e-06	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000555	Itga5	16402	0.167801804783023	10.4178687799761	0.0179436982452793	0.0684216533466809	0.0913474093718029	10.4178687799761	0.150593008024017	0.303176344639028	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000561	Wdr77	70465	-0.173505194992673	4.93112907851149	0.0788828428872531	0.20374506765245	-0.182173081107572	4.93112907851149	0.0395470451736095	0.116074645384708	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000563	Atp5pb	11950	-0.0434006718536142	7.39300806343088	0.578931132030239	0.741695558670895	-0.0600734594628791	7.39300806343088	0.390964961466587	0.57208637481868	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000567	Sox9	20682	0.868659594225028	3.7804338189318	1.24223403079209e-06	2.41097904700814e-05	0.801421005966142	3.7804338189318	9.56273120079254e-07	1.85345944574711e-05	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000568	Hnrnpd	11991	-0.632546471737711	6.34569739925435	7.31494703802443e-13	8.37064019455212e-11	-0.576913920073621	6.34569739925435	2.26762189483901e-13	2.05291541669476e-11	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000579	Dynlt1c	100040563	0.27433148362532	2.84424634845889	0.0543937981164896	0.155473245118756	0.224949072759926	2.84424634845889	0.0787455172800334	0.19221431385215	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000581	C1d	57316	-0.155874037032595	4.70538624470006	0.142634087893264	0.306434063266032	-0.0887263066495449	4.70538624470006	0.351604095105085	0.535080231441711	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000594	Gm2a	14667	0.19671764632052	6.47211524227389	0.0246703638200009	0.0866187737067485	0.192126715314891	6.47211524227389	0.0136192501067642	0.0515897884760966	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000600	Krit1	79264	0.232426238763066	5.75665093946652	0.00452529223097106	0.0237018601507909	0.214792171608506	5.75665093946652	0.00342857168949242	0.0176665307804393	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000605	Clcn4	12727	-0.0241873755242629	5.90160204259863	0.735203437324893	0.849405051813125	-0.162730710634013	5.90160204259863	0.0112696107442099	0.0445674625615643	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000627	Sema4f	20355	0.757677355753777	2.49071683846471	6.05772811333595e-07	1.32491961671494e-05	0.721290853483407	2.49071683846471	2.93492331135603e-08	8.10878012640661e-07	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
ENSMUSG00000000628	Hk2	15277	-0.123023128951227	6.78488468094333	0.176143561656941	0.353920144113061	-0.242215828652954	6.78488468094333	0.00287887753705755	0.0153482908274585	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NotSig	NotSig
