ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0003012	muscle system process	346	0.481715049500553	1.79242080415566	2.46380686014902e-09	1.4201382741899e-05	1.37791640504966e-05	1586	tags=26%, list=12%, signal=24%	Tnni1/Myog/Myl1/Chrng/Chrnd/Cacna1s/Casq2/Tnni2/Csrp3/Mymk/Actn2/Myh14/Srl/Myod1/P2rx2/Lmod2/Trim72/Chrna1/Tifab/Ryr1/Myh6/Tnnt2/Cav3/Jsrp1/Myh8/Pgam2/Kcnh2/Trim63/Dsc2/Myl4/Myh3/Gata4/Scn5a/Actn3/Casq1/Mlip/Cxcr4/Myom2/Lck/Psen2/Myom1/Asb2/Tmem38a/Igf1/Nmu/Nppb/Tmod1/Tnnt3/Tcap/Gja5/Smpd3/Hrc/Grip2/Scn4a/Tnnc2/Gucy1a1/Tnni3/Lmod3/Atp1a2/Ttn/Npnt/Adora1/Gatm/Myom3/Sorbs2/Fxyd1/Pde9a/Acta2/Tnnc1/Flt1/Calcrl/Myoz2/Pkp2/Stac3/Map2k6/Dsg2/Npy1r/Col14a1/Tbce/Bscl2/Slc25a4/Myh11/Ar/Clcn1/Mylk2/Mef2c/Chrnb1/Foxo1/Ccn4/Homer1
GO:0006941	striated muscle contraction	140	0.592110959944948	2.01594146870265	6.36857249417317e-09	1.83542259282071e-05	1.78085398218642e-05	1245	tags=31%, list=9%, signal=29%	Tnni1/Myl1/Chrng/Chrnd/Cacna1s/Casq2/Tnni2/Csrp3/Myh14/Chrna1/Myh6/Tnnt2/Cav3/Jsrp1/Myh8/Pgam2/Kcnh2/Dsc2/Myl4/Myh3/Gata4/Scn5a/Actn3/Casq1/Cxcr4/Psen2/Tmem38a/Tnnt3/Tcap/Gja5/Scn4a/Tnnc2/Tnni3/Lmod3/Atp1a2/Ttn/Adora1/Fxyd1/Tnnc1/Pkp2/Stac3/Map2k6/Dsg2/Bscl2
GO:0007517	muscle organ development	300	0.496952592156477	1.82915887749071	1.00278952638819e-08	1.92669294336717e-05	1.86941079077208e-05	1621	tags=26%, list=12%, signal=24%	Acta1/Tnni1/Myog/Chrnd/Cacna1s/Vgll2/Pax7/Csrp3/Mymk/Myf5/Smyd1/Myh14/Megf10/Unc45b/Rbfox1/Myod1/P2rx2/Isl1/Trim72/Lbx1/Jph1/Mymx/Chrna1/Tifab/Ryr1/Myh6/Tnnt2/Klhl40/Col19a1/Vangl2/Gata4/Sox11/Klhl41/Wt1/Actn3/Xirp2/Tcf15/Xk/Asb2/Tgfb2/Vax1/Lrp2/Tcap/Des/Ankrd1/Tnni3/Dner/Lmod3/Ttn/Lama5/Hlf/Cdon/Psma6/S100b/Tnnc1/Dll1/Cavin4/Cntf/Myoz2/Pkp2/Chd7/Stac3/Scx/Lef1/Chkb/Smo/Lif/Cntfr/Dysf/Prox1/Pitx1/Mylk2/Mef2c/Gpx1/Srpk3/Homer1/Fgfr2/Usp2/Popdc2
GO:0051146	striated muscle cell differentiation	280	0.497563348909072	1.8232468987246	1.3624810080326e-08	1.96333513257498e-05	1.9049635778098e-05	1679	tags=25%, list=13%, signal=22%	Acta1/Myog/Cacna1s/Casq2/Hopx/Csrp3/Mymk/Actn2/Myf5/Smyd1/Myod1/P2rx2/Isl1/Lmod2/Trim72/Mymx/Nrap/Ryr1/Myh6/Tnnt2/Sik1/Cav3/Klhl40/Gata4/Synpo2l/Klhl41/Wt1/Myo18b/Actn3/Neb/Casq1/Myom2/Ldb3/Xirp1/Xk/Asb2/Igf1/Tmod1/Tnnt3/Tcap/Alpk3/Dner/Lmod3/Ttn/Cdon/Sorbs2/Flt3l/Dll1/Cavin4/Ankrd23/Myoz2/Stac3/Col14a1/Nox4/Slc25a4/Ntn3/Smo/Tmem182/Myh11/Dysf/Prox1/Mylk2/Mef2c/Gpx1/Ccn4/Homer1/Popdc2/Nek5/Efnb2/Igf2
GO:0006936	muscle contraction	247	0.49872784274533	1.80754326641042	4.11281117843435e-08	4.74124872649911e-05	4.60028753495193e-05	1184	tags=26%, list=9%, signal=24%	Tnni1/Myl1/Chrng/Chrnd/Cacna1s/Casq2/Tnni2/Csrp3/Actn2/Myh14/P2rx2/Lmod2/Chrna1/Tifab/Ryr1/Myh6/Tnnt2/Cav3/Jsrp1/Myh8/Pgam2/Kcnh2/Trim63/Dsc2/Myl4/Myh3/Gata4/Scn5a/Actn3/Casq1/Cxcr4/Myom2/Lck/Psen2/Myom1/Tmem38a/Nmu/Tmod1/Tnnt3/Tcap/Gja5/Smpd3/Grip2/Scn4a/Tnnc2/Gucy1a1/Tnni3/Lmod3/Atp1a2/Ttn/Npnt/Adora1/Myom3/Fxyd1/Acta2/Tnnc1/Flt1/Calcrl/Pkp2/Stac3/Map2k6/Dsg2/Npy1r
GO:0055001	muscle cell development	200	0.533090413960421	1.89002078522475	6.20981795914513e-08	5.96556511941875e-05	5.78820400297159e-05	1621	tags=30%, list=12%, signal=26%	Acta1/Myog/Cacna1s/Casq2/Csrp3/Actn2/Myf5/Megf10/Myod1/P2rx2/Isl1/Lmod2/Nrap/Ryr1/Myh6/Tnnt2/Cav3/Klhl40/Gata4/Synpo2l/Klhl41/Myo18b/Actn3/Neb/Casq1/Myom2/Ldb3/Xirp1/Xk/Asb2/Igf1/Tmod1/Tnnt3/Tcap/Alpk3/Dner/Lmod3/Ttn/Sorbs2/Cavin4/Wfikkn1/Ankrd23/Myoz2/Stac3/Col14a1/Slc25a4/Sypl2/Smo/Tmem182/Myh11/Dysf/Prox1/Hes1/Mef2c/Gpx1/Chrnb1/Ccn4/Homer1/Popdc2
GO:0003009	skeletal muscle contraction	40	0.759543714046869	2.15416118560164	2.30469056649754e-07	0.000189774806075598	0.000184132646312804	1848	tags=65%, list=14%, signal=56%	Tnni1/Chrng/Chrnd/Tnni2/Myh14/Chrna1/Cav3/Jsrp1/Myh8/Myh3/Actn3/Casq1/Tnnt3/Tcap/Scn4a/Tnnc2/Tnni3/Tnnc1/Stac3/Bscl2/Mylk2/Chrnb1/Homer1/Slc8a3/Dmd/Rcsd1
GO:0060538	skeletal muscle organ development	179	0.530317129848395	1.86177296144327	4.04651826392908e-07	0.00029155164091609	0.000282883572845463	1679	tags=28%, list=13%, signal=25%	Acta1/Myog/Chrnd/Cacna1s/Vgll2/Pax7/Myf5/Smyd1/Myh14/Megf10/Rbfox1/Myod1/P2rx2/Mymx/Chrna1/Ryr1/Klhl40/Col19a1/Gata4/Sox11/Klhl41/Wt1/Actn3/Xk/Asb2/Vax1/Des/Ankrd1/Dner/Lmod3/Hlf/Cdon/Psma6/S100b/Dll1/Myoz2/Stac3/Scx/Smo/Cntfr/Dysf/Pitx1/Mylk2/Mef2c/Gpx1/Srpk3/Homer1/Usp2/Popdc2/Igf2
GO:0050879	multicellular organismal movement	55	0.679116893267348	2.04321588407189	1.49744746354375e-06	0.000616520512847583	0.000598190855173528	1848	tags=49%, list=14%, signal=42%	Tnni1/Chrng/Chrnd/Tnni2/Myh14/Chrna1/Cav3/Jsrp1/Myh8/Myh3/Actn3/Casq1/Tnnt3/Tcap/Scn4a/Tnnc2/Tnni3/Itpr1/Tnnc1/Stac3/Bscl2/Mylk2/Chrnb1/Homer1/Slc8a3/Dmd/Rcsd1
GO:0050881	musculoskeletal movement	55	0.679116893267348	2.04321588407189	1.49744746354375e-06	0.000616520512847583	0.000598190855173528	1848	tags=49%, list=14%, signal=42%	Tnni1/Chrng/Chrnd/Tnni2/Myh14/Chrna1/Cav3/Jsrp1/Myh8/Myh3/Actn3/Casq1/Tnnt3/Tcap/Scn4a/Tnnc2/Tnni3/Itpr1/Tnnc1/Stac3/Bscl2/Mylk2/Chrnb1/Homer1/Slc8a3/Dmd/Rcsd1
