ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0003012	muscle system process	346	0.543105637326653	1.82852908955554	2.41858195919642e-10	1.39407064128082e-06	1.32487373849033e-06	2082	tags=34%, list=16%, signal=29%	Myog/Myh3/Actc1/Myl1/Myod1/Chrng/Chrnd/Cacna1s/Mymk/Actn2/Scn5a/Adora1/Chrm2/Gja5/Myh8/Myom3/Csrp3/Trpa1/Lmod3/Tnni2/Nmu/Ttn/Mstn/Tifab/Lep/Tnni1/Stac/Tnnc2/Casq2/Trim63/Trpc3/Lmod2/Myoz2/Chrna1/Adra2c/Cav3/Myh6/Casq1/Trpv1/Dsg2/Kcne3/Atp1a2/Mlip/Jsrp1/Adra2b/Myom2/Tcap/Tnnt1/Scn4a/Grip2/P2rx2/Ryr1/Tnnt3/Srl/Trim72/Gata4/Chrne/Arg2/Ppara/Tnnc1/Akap6/Myl6b/Hrc/Myocd/Myl4/Myoz1/Ptger3/Actn3/Myh14/Lmcd1/Atp2a1/Bdkrb2/Ryr3/Cxcr4/Fxyd1/Mef2c/Nos3/Kit/Abcc9/Stac3/Fdps/Atp8a2/Fgf13/Lck/Tbx2/Gucy1a1/Tnnt2/Myl3/Nol3/Myom1/Chrnb1/Tmem38a/Oxtr/Tmod1/Tmod2/Pde9a/Stc1/Bbs2/Foxo1/Fkbp1b/Map2k6/Sphk1/Kcnd3/Igfbp5/Dsc2/Kcnj2/Drd1/Atp1b1/P2rx1/Grcc10/Gdnf/Sri/Kcna1/Flt1/Sgcd/Ednra
GO:0055001	muscle cell development	200	0.591660240077797	1.90803480520049	1.26463663400597e-09	2.42978851947014e-06	2.30918212047968e-06	1796	tags=33%, list=13%, signal=29%	Myog/Actc1/Myod1/Cacna1s/Actn2/Myf5/Alpk2/Csrp3/Lmod3/Nrap/Ttn/Klhl40/Xirp1/Casq2/Tmem182/Alpk3/Lmod2/Synpo2l/Myoz2/Mypn/Klhl41/Myo18b/Cav3/Myh6/Sypl2/Casq1/Myom2/Tcap/Tnnt1/Isl1/P2rx2/Ryr1/Tnnt3/Gata4/Capn3/Pgm5/Cacna2d2/Ppara/Akap6/Bves/Myocd/Krt8/Dner/Myoz1/Actn3/Mef2c/Cavin4/Sgcb/Neb/Stac3/Fdps/Ankrd23/Gpx1/Fhod3/Tnnt2/Nkx2-6/Megf10/Uchl1/Chrnb1/Prox1/Acta1/Tmod1/Tmod2/Hdac9/Rcan1/Ramp2
GO:0051146	striated muscle cell differentiation	280	0.555929406903541	1.84024533688637	1.08531405346071e-09	2.42978851947014e-06	2.30918212047968e-06	1672	tags=28%, list=13%, signal=25%	Myog/Actc1/Myod1/Cacna1s/Mymk/Actn2/Myf5/Igf2/Mymx/Alpk2/Csrp3/Lmod3/Nrap/Ttn/Klhl40/Xirp1/Casq2/Tmem182/Alpk3/Lmod2/Synpo2l/Myoz2/Mypn/Klhl41/Myo18b/Cav3/Hopx/Myh6/Smyd1/Casq1/Rbm24/Myom2/Tcap/Tnnt1/Isl1/P2rx2/Ryr1/Tnnt3/Trim72/Gata4/Capn3/Popdc3/Pgm5/Dll1/Sox6/Wt1/Adamts15/Ppara/Akap6/Bves/Myocd/Krt8/Ankrd2/Dner/Nek5/Myoz1/Actn3/Rbm38/Mef2c/Cavin4/Sgcb/Neb/Bmp2/Stac3/Fdps/Ankrd23/Mamstr/Cdon/Gpx1/Plpp7/Fhod3/Tnnt2/Nkx2-6/Prox1/Acta1/Tmod1/Klf5/Tmod2
GO:0007517	muscle organ development	300	0.549051451660533	1.82757995719057	1.72179392683192e-09	2.4811050485648e-06	2.35795147242982e-06	1755	tags=30%, list=13%, signal=26%	Myog/Actc1/Myod1/Chrnd/Cacna1s/Pax7/Mymk/Myf5/Igf2/Mymx/Lbx1/Csrp3/Lmod3/Ttn/Mstn/Tifab/Klhl40/Tnni1/Myoz2/Msc/Chrna1/Klhl41/Myh6/Unc45b/Smyd1/Vax1/Vgll2/Rbm24/Tcap/Tcf15/Isl1/Srpk3/P2rx2/Ryr1/Trim72/Gata4/Capn3/Cntf/Ephb1/Col19a1/Erbb3/Popdc3/Dll1/Wt1/Tnnc1/Myl6b/Bves/Des/Myocd/Ankrd2/Dner/Myoz1/Foxl2/Actn3/Myh14/Heyl/Scn8a/Pitx1/Scx/Chd7/Chkb/Mef2c/Cavin4/Gja1/Hlf/Sgcb/Jph1/Bmp2/Stac3/Mkx/Hey1/Cdon/Gpx1/Rbfox1/Ky/Tnnt2/Megf10/Myl3/Hoxd9/Prox1/Nog/Ankrd1/Acta1/Klf5/Tgfb2/Adarb1/Sap30/Hdac9/Rcan1
GO:0006936	muscle contraction	247	0.563297756563877	1.85136398811945	6.4009530693307e-09	7.37901869832443e-06	7.01274942585199e-06	2155	tags=40%, list=16%, signal=34%	Myh3/Actc1/Myl1/Chrng/Chrnd/Cacna1s/Actn2/Scn5a/Adora1/Chrm2/Gja5/Myh8/Myom3/Csrp3/Trpa1/Lmod3/Tnni2/Nmu/Ttn/Tifab/Tnni1/Stac/Tnnc2/Casq2/Trim63/Lmod2/Chrna1/Adra2c/Cav3/Myh6/Casq1/Trpv1/Dsg2/Kcne3/Atp1a2/Jsrp1/Adra2b/Myom2/Tcap/Tnnt1/Scn4a/Grip2/P2rx2/Ryr1/Tnnt3/Gata4/Chrne/Arg2/Tnnc1/Akap6/Myl6b/Myocd/Myl4/Ptger3/Actn3/Myh14/Atp2a1/Bdkrb2/Ryr3/Cxcr4/Fxyd1/Kit/Abcc9/Stac3/Atp8a2/Fgf13/Lck/Tbx2/Gucy1a1/Tnnt2/Myl3/Myom1/Chrnb1/Tmem38a/Oxtr/Tmod1/Tmod2/Stc1/Bbs2/Fkbp1b/Map2k6/Sphk1/Kcnd3/Dsc2/Kcnj2/Drd1/Atp1b1/P2rx1/Grcc10/Gdnf/Sri/Kcna1/Flt1/Sgcd/Ednra/Homer1/Cacnb2/Mkks
GO:0006941	striated muscle contraction	140	0.628096219990108	1.96425574963211	2.03232284206855e-08	1.95238481028052e-05	1.85547510002189e-05	2012	tags=42%, list=15%, signal=36%	Myh3/Actc1/Myl1/Chrng/Chrnd/Cacna1s/Scn5a/Adora1/Gja5/Myh8/Csrp3/Lmod3/Tnni2/Ttn/Tnni1/Stac/Tnnc2/Casq2/Chrna1/Cav3/Myh6/Casq1/Dsg2/Kcne3/Atp1a2/Jsrp1/Tcap/Tnnt1/Scn4a/Tnnt3/Gata4/Chrne/Arg2/Tnnc1/Akap6/Myl4/Actn3/Myh14/Atp2a1/Ryr3/Cxcr4/Fxyd1/Abcc9/Stac3/Atp8a2/Fgf13/Tnnt2/Myl3/Chrnb1/Tmem38a/Stc1/Fkbp1b/Map2k6/Kcnd3/Dsc2/Kcnj2/Atp1b1/Grcc10/Sri
GO:0030239	myofibril assembly	67	0.715003560741262	2.04603743890929	1.08353725375002e-07	7.80688591326889e-05	7.41937877436197e-05	1672	tags=51%, list=13%, signal=45%	Actc1/Actn2/Csrp3/Lmod3/Nrap/Ttn/Xirp1/Casq2/Lmod2/Synpo2l/Myoz2/Mypn/Klhl41/Cav3/Myh6/Casq1/Myom2/Tcap/Tnnt1/Tnnt3/Capn3/Pgm5/Krt8/Myoz1/Mef2c/Cavin4/Neb/Ankrd23/Fhod3/Tnnt2/Prox1/Acta1/Tmod1/Tmod2
GO:0055002	striated muscle cell development	67	0.715003560741262	2.04603743890929	1.08353725375002e-07	7.80688591326889e-05	7.41937877436197e-05	1672	tags=51%, list=13%, signal=45%	Actc1/Actn2/Csrp3/Lmod3/Nrap/Ttn/Xirp1/Casq2/Lmod2/Synpo2l/Myoz2/Mypn/Klhl41/Cav3/Myh6/Casq1/Myom2/Tcap/Tnnt1/Tnnt3/Capn3/Pgm5/Krt8/Myoz1/Mef2c/Cavin4/Neb/Ankrd23/Fhod3/Tnnt2/Prox1/Acta1/Tmod1/Tmod2
GO:0060538	skeletal muscle organ development	179	0.580361265912439	1.85410303123601	1.42924040363976e-07	9.15349076286618e-05	8.69914276086702e-05	1755	tags=31%, list=13%, signal=28%	Myog/Myod1/Chrnd/Cacna1s/Pax7/Myf5/Igf2/Mymx/Lmod3/Mstn/Klhl40/Myoz2/Msc/Chrna1/Klhl41/Smyd1/Vax1/Vgll2/Rbm24/Srpk3/P2rx2/Ryr1/Gata4/Capn3/Ephb1/Col19a1/Popdc3/Dll1/Wt1/Myl6b/Bves/Des/Myocd/Ankrd2/Dner/Myoz1/Foxl2/Actn3/Myh14/Heyl/Pitx1/Scx/Mef2c/Hlf/Stac3/Cdon/Gpx1/Rbfox1/Megf10/Hoxd9/Ankrd1/Acta1/Klf5/Sap30/Hdac9/Rcan1
GO:0045214	sarcomere organization	47	0.760588551541913	2.06847420334159	1.7871845498429e-07	9.3648470411768e-05	8.90000803577269e-05	1602	tags=55%, list=12%, signal=49%	Actn2/Csrp3/Ttn/Xirp1/Casq2/Lmod2/Synpo2l/Myoz2/Mypn/Klhl41/Cav3/Myh6/Casq1/Myom2/Tcap/Tnnt1/Tnnt3/Capn3/Krt8/Myoz1/Mef2c/Neb/Ankrd23/Fhod3/Tnnt2/Prox1
