ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006941	striated muscle contraction	136	0.712148708267166	2.14975799142798	1e-10	5.686e-08	5.37894736842105e-08	1595	tags=41%, list=12%, signal=36%	Actc1/Myl1/Myh3/Chrng/Chrnd/Cacna1s/Tnni1/Gja5/Csrp3/Scn5a/Lmod3/Tnnc2/Dsg2/Scn4a/Ttn/Chrna1/Myh6/Myh8/Uty/Tnni2/Tnnt2/Casq2/Fgf13/Atp2a1/Tcap/Stac/Adora1/Chrne/Casq1/Scn10a/Tnnt3/Kcne3/Tnnc1/Cav3/Tnnt1/Dsc2/Myl4/Stac3/Akap6/Ryr3/Jsrp1/Cxcr4/Dsp/Chrnb1/Tmem38a/Myh14/Actn3/Grcc10/Map2k6/Arg2/Gata4/Met/Atp1a2/Sgcd/Myl3/Abcc9
GO:0007519	skeletal muscle tissue development	165	0.676903936102231	2.08800302562058	1e-10	5.686e-08	5.37894736842105e-08	932	tags=27%, list=7%, signal=25%	Myog/Chrnd/Cacna1s/Myod1/Pax7/Lmod3/Rbm24/Myoz2/Myf5/Chrna1/Col19a1/Igf2/Capn3/Bves/Ankrd2/Klhl40/Msc/Klhl41/Popdc3/Vgll2/Ryr1/Heyl/Myf6/Smyd1/Rbfox1/Mstn/Acta1/Srpk3/Pax3/Myoz1/P2rx2/Dner/Myl6b/Megf10/Pitx1/Stac3/Klf5/Sox11/Mef2c/Dll1/Popdc2/Plagl1/Scx/Myocd
GO:0060538	skeletal muscle organ development	175	0.674633343448524	2.08664050306724	1e-10	5.686e-08	5.37894736842105e-08	932	tags=26%, list=7%, signal=25%	Myog/Chrnd/Cacna1s/Myod1/Mymx/Pax7/Lmod3/Rbm24/Myoz2/Myf5/Chrna1/Col19a1/Igf2/Capn3/Bves/Ankrd2/Klhl40/Msc/Klhl41/Popdc3/Vgll2/Ryr1/Heyl/Myf6/Smyd1/Rbfox1/Mstn/Acta1/Srpk3/Pax3/Myoz1/P2rx2/Dner/Myl6b/Megf10/Pitx1/Stac3/Klf5/Sox11/Mef2c/Dll1/Popdc2/Plagl1/Scx/Des/Myocd
GO:0007517	muscle organ development	294	0.633926742034947	2.07370573169862	1e-10	5.686e-08	5.37894736842105e-08	1822	tags=33%, list=14%, signal=29%	Actc1/Myog/Chrnd/Cacna1s/Tnni1/Csrp3/Myod1/Mymk/Mymx/Pax7/Lmod3/Rbm24/Myoz2/Ttn/Myf5/Chrna1/Col19a1/Xirp2/Lbx1/Myh6/Igf2/Capn3/Tnnt2/Bves/Ankrd2/Klhl40/Msc/Klhl41/Popdc3/Vgll2/Ryr1/Tifab/Heyl/Tcap/Cavin4/Myf6/Smyd1/Rbfox1/Unc45b/Mstn/Acta1/Tcf15/Srpk3/Cntf/Tnnc1/Prox1/Isl1/Pax3/Myoz1/P2rx2/Erbb3/Dner/Trim72/Myl6b/Megf10/Mkx/Pitx1/Scn8a/Stac3/Smtnl1/Klf5/Sox11/Chd7/Mef2c/Dll1/Hey1/Popdc2/Plagl1/Scx/Lef1/Des/Myocd/Chkb/Dsp/Nog/Jph1/Myh14/Gpx1/Actn3/Tgfb2/Notch1/Sgcb/Gata4/Met/Epor/Tbx1/Myl3/Stra6/Etv1/Rb1/Zbtb18/Homer1/Col11a1/Ankrd1/Hlf/Sap30/Atf3/Hoxd9
GO:0006936	muscle contraction	240	0.634101008751406	2.02569082715147	1e-10	5.686e-08	5.37894736842105e-08	1595	tags=33%, list=12%, signal=30%	Actc1/Myl1/Myh3/Chrng/Chrnd/Actn2/Cacna1s/Tnni1/Gja5/Csrp3/Scn5a/Lmod3/Tnnc2/Myom3/Lmod2/Dsg2/Mybpc1/Scn4a/Ttn/Chrna1/Myom2/Myh6/Myh8/Uty/Grip2/Tnni2/Tnnt2/Casq2/Fgf13/Atp2a1/Ryr1/Tifab/Trpv1/Tcap/Stac/Chrm2/Trim63/Adora1/Chrne/Casq1/Ednrb/Scn10a/Tnnt3/Kcne3/Tnnc1/Cav3/P2rx2/Tnnt1/Nmu/Adra2c/Dsc2/Myl6b/Myl4/Stac3/Akap6/Ryr3/Jsrp1/Tmod1/P2rx1/Myom1/Myocd/Cxcr4/Dsp/Ptger3/Chrnb1/Tmem38a/Myh14/Actn3/Grcc10/Map2k6/Edn1/Arg2/Gata4/Met/Tmod2/Calcrl/Atp1a2/Sgcd/Myl3/Abcc9
GO:0055001	muscle cell development	198	0.638675867710083	2.00283716003876	1e-10	5.686e-08	5.37894736842105e-08	1486	tags=34%, list=12%, signal=31%	Actc1/Myog/Actn2/Cacna1s/Csrp3/Myod1/Lmod3/Myoz2/Lmod2/Mypn/Ttn/Myf5/Xirp1/Myom2/Myh6/Capn3/Tnnt2/Bves/Casq2/Klhl40/Alpk3/Myo18b/Synpo2l/Tmem182/Klhl41/Ryr1/Tcap/Cacna2d2/Cavin4/Myf6/Sypl2/Nrap/Alpk2/Acta1/Casq1/Tnnt3/Prox1/Isl1/Cav3/Myoz1/P2rx2/Tnnt1/Neb/Dner/Fhod3/Megf10/Stac3/Akap6/Mef2c/Popdc2/Uchl1/Tmod1/Myocd/Ppara/Ankrd23/Ldb3/Chrnb1/Fdps/Gpx1/Actn3/Wfikkn1/Edn1/Notch1/Sgcb/Gata4/Met/Sorbs2/Tmod2
GO:0003012	muscle system process	341	0.602181004882003	1.98256397623897	1e-10	5.686e-08	5.37894736842105e-08	1496	tags=28%, list=12%, signal=26%	Actc1/Myl1/Myh3/Myog/Chrng/Chrnd/Actn2/Cacna1s/Tnni1/Gja5/Csrp3/Myod1/Mymk/Scn5a/Lmod3/Tnnc2/Myoz2/Myom3/Lmod2/Dsg2/Mybpc1/Scn4a/Ttn/Lep/Chrna1/Myom2/Myh6/Myh8/Uty/Grip2/Tnni2/Tnnt2/Casq2/Fgf13/Atp2a1/Ryr1/Tifab/Trpv1/Tcap/Stac/Chrm2/Trim63/Trpc3/Adora1/Srl/Mstn/Hrc/Chrne/Casq1/Ednrb/Scn10a/P2ry1/Tnnt3/Kcne3/Tnnc1/Cav3/Myoz1/P2rx2/Tnnt1/Nmu/Adra2c/Dsc2/Trim72/Myl6b/Myl4/Hand2/Stac3/Akap6/Ryr3/Mef2c/Jsrp1/Mlip/Tmod1/P2rx1/Myom1/Myocd/Ppara/Cxcr4/Pde9a/Dsp/Ptger3/Chrnb1/Tmem38a/Fdps/Myh14/Actn3/Grcc10/Map2k6/Edn1/Arg2/Notch1/Gata4/Met/Sorbs2/Tmod2/Calcrl/Atp1a2
GO:0051146	striated muscle cell differentiation	275	0.608203929591651	1.97724905673511	1e-10	5.686e-08	5.37894736842105e-08	1539	tags=30%, list=12%, signal=27%	Actc1/Myog/Actn2/Cacna1s/Csrp3/Myod1/Mymk/Mymx/Lmod3/Rbm24/Myoz2/Lmod2/Mypn/Ttn/Myf5/Xirp1/Myom2/Myh6/Igf2/Capn3/Tnnt2/Bves/Casq2/Ankrd2/Klhl40/Alpk3/Myo18b/Synpo2l/Tmem182/Klhl41/Popdc3/Ryr1/Tcap/Cavin4/Myf6/Smyd1/Nrap/Alpk2/Hopx/Acta1/Casq1/Tnnt3/Prox1/Isl1/Cav3/Pax3/Myoz1/P2rx2/Tnnt1/Neb/Dner/Trim72/Fhod3/Rbm38/Hand2/Sox6/Stac3/Akap6/Klf5/Mef2c/Dll1/Popdc2/Tmod1/Myocd/Ppara/Nek5/Ankrd23/Ldb3/Sort1/Fdps/Gpx1/Actn3/Edn1/Mamstr/Sik1/Notch1/Sgcb/Gata4/Met/Sorbs2/Tmod2/Sgcd/Tbx1
GO:0060537	muscle tissue development	394	0.562640585704401	1.85921157499485	1e-10	5.686e-08	5.37894736842105e-08	1822	tags=29%, list=14%, signal=25%	Actc1/Myog/Chrnd/Actn2/Cacna1s/Tnni1/Gja5/Csrp3/Myod1/Pax7/Lmod3/Rbm24/Myoz2/Dsg2/Ttn/Myf5/Chrna1/Xirp1/Col19a1/Xirp2/Myh6/Igf2/Capn3/Tnnt2/Sgcg/Trex1/Bves/Ankrd2/Klhl40/Alpk3/Myo18b/Msc/Klhl41/Popdc3/Vgll2/Ryr1/Heyl/Tcap/Cavin4/Myf6/Smyd1/Rbfox1/Nrap/Alpk2/Mstn/Acta1/Srpk3/Tnnc1/Prox1/Isl1/Cav3/Eya1/Pax3/Myoz1/P2rx2/Erbb3/Neb/Dner/Fhod3/Myl6b/Megf10/Pitx1/Hand2/Sox6/Stac3/Akap6/Klf5/Sox11/Chd7/Mef2c/Dll1/Hey1/Popdc2/Plagl1/Scx/Lef1/Myocd/Ppara/Tenm4/Dsp/Nog/Ppargc1a/Fdps/Myh14/Gpx1/Actn3/Tnn/Eya2/Ncam1/Edn1/Tgfb2/Sik1/Notch1/Sgcb/Gata4/Met/Epor/Sorbs2/Sgcd/Tbx1/Myl3/Stra6/Rb1/Zbtb18/Trp63/Irx3/Homer1/Col11a1/Ankrd1/Hlf/Sap30/Atf3/Hoxd9
GO:0009617	response to bacterium	355	-0.474823423074682	-1.84407454892561	1e-10	5.686e-08	5.37894736842105e-08	1479	tags=26%, list=12%, signal=24%	Plscr3/Zfp36/Ly96/Baiap2/Litaf/Cxcl16/Zc3h12a/Rab29/Usp18/Ptgfr/Lyn/Prkcd/Tnfrsf1a/Il6/Defb25/Irak2/Syt11/Cyba/Adamts5/Palm3/Ripk2/Irf5/Mr1/Pmp22/Eif2ak2/Nod1/Trib1/Fzd5/Pde4b/Wnt5a/Tent5a/Emilin2/Isg15/Tbxa2r/Ptgir/Plscr4/Cflar/Tlr6/Tlr2/Cd24a/Rarres2/Macrod2/F2r/Havcr2/Fcgr4/Lbp/Il27ra/Tlr5/Nr1h3/Irak3/Nlrc3/Lcn2/Herc6/Trf/P2rx7/Fam20a/Irgm1/Adh7/Ppbp/Gpc3/Slamf9/Nuggc/C4bp/Cx3cl1/Abcd2/Oas2/Syk/Kcnj8/Adipoq/Mgst1/Camp/Cxcl5/Fabp4/Lpl/Spon2/Ifi44/Tlr1/Lrg1/Ang/Cfd/Nos2/Ifit3/Trem2/C3/2610528A11Rik/Plac8/Lgals9/Hp/Ifi204/Gstp1/Serpinb9/Vegfd
