ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0042254	ribosome biogenesis	269	-0.628599704711866	-3.06684770636093	1e-10	2.38681818181818e-08	1.7866028708134e-08	2279	tags=61%, list=21%, signal=50%	Pwp1/Mettl5/Rpl27/Aatf/Mrpl36/Nat10/Ybey/Krr1/Shq1/Eri1/Ngrn/Lsg1/Nmd3/Utp6/Utp11/Mdn1/Dhx30/Pin4/Fam207a/Riok3/Tsr2/Mettl15/Rpl7l1/Ddx27/Emg1/Naf1/Tsr3/Pop4/Brix1/Prkdc/Ercc2/Chd7/Mphosph6/Ncl/Helq/Rpp30/Nol9/Sdad1/Trmt112/Exosc2/Rexo4/Heatr1/Zcchc4/Xpo1/Tsr1/Tfb2m/Utp4/Exosc8/Gnl3l/Rrp7a/Drosha/Utp23/Exosc5/Nop14/Wdr36/Riox2/Wdr46/Noc4l/Dhx29/Ddx52/Mrps11/Pop7/Isg20l2/Znhit6/C1qbp/Dkc1/Nol10/Nsun3/Rsl1d1/Bms1/Utp20/Nop9/Nip7/Ddx56/Surf6/Ddx18/Esf1/Nup88/Ltv1/Ddx10/Mphosph10/Wdr75/Rrp1/Abce1/Riok1/Snu13/Wdr18/Eral1/Riox1/Wdr74/Fastkd2/Suv39h1/Ebna1bp2/Nle1/Imp4/Ddx49/Utp15/Mrpl20/Rpp40/Dimt1/Pes1/Tbl3/Nop16/Sart1/Urb1/Rrp36/Rpf1/Wdr3/Gtf3a/Nvl/Ftsj3/Mrm1/Pak1ip1/Lyar/Tfb1m/Wdr12/Mrto4/Bud23/Mrm3/Srfbp1/Pelp1/Mak16/Ddx31/Zfp622/Nop10/Dis3/Pdcd11/Nsun5/Gar1/Noc2l/Nifk/Fdxacb1/Gnl2/Mpv17l2/Pa2g4/Urb2/Utp3/Rrp1b/Nop2/Bop1/Eif6/Rpusd2/Exosc1/Nop56/Pop5/Usp36/Eri2/Nhp2/Nop58/Ddx21/Rpf2/Bysl/Dcaf13/Rrp15/Mybbp1a/Gtpbp4/Wdr43/Rcl1/Rrp9/Nol6/Npm3/Pinx1/Rrs1/Rpp25/Rrp12
GO:0016072	rRNA metabolic process	220	-0.640311455852451	-3.04567640278103	1e-10	2.38681818181818e-08	1.7866028708134e-08	2279	tags=63%, list=21%, signal=51%	Pwp1/Mettl5/Rpl27/Mars1/Nat10/Ybey/Krr1/Shq1/Eri1/Utp6/Utp11/Mdn1/Pin4/Fam207a/Riok3/Tsr2/Mettl15/Rpl7l1/Ddx27/Emg1/Naf1/Tsr3/Pop4/Brix1/Prkdc/Ercc2/Chd7/Mphosph6/Ncl/Smarca4/Helq/Rpp30/Nol9/Trmt112/Exosc2/Rexo4/Heatr1/Zcchc4/Tsr1/Tfb2m/Utp4/Exosc8/Rrp7a/Drosha/Utp23/Exosc5/Nop14/Wdr36/Polr1b/Wdr46/Mtor/Ddx52/Mrps11/Pop7/Znhit6/Dkc1/Nol10/Nsun3/Rsl1d1/Bms1/Utp20/Nop9/Ddx56/Ddx18/Esf1/Ddx10/Mphosph10/Wdr75/Rrp1/Ippk/Cd3eap/Riok1/Snu13/Wdr18/Wdr74/Suv39h1/Ebna1bp2/Imp4/Ddx49/Utp15/Rpp40/Pelo/Dimt1/Pes1/Tbl3/Top1/Sart1/Urb1/Rrp36/Rpf1/Wdr3/Nvl/Macroh2a1/Ftsj3/Mrm1/Tcof1/Lyar/Tfb1m/Wdr12/Mrto4/Bud23/Mrm3/Srfbp1/Pelp1/Mak16/Nop10/Dis3/Pdcd11/Nsun5/Gar1/Nifk/Fdxacb1/Pa2g4/Utp3/Rrp1b/Nop2/Bop1/Polr1a/Eif6/Rpusd2/Exosc1/Pop5/Usp36/Eri2/Nhp2/Ddx21/Rpf2/Bysl/Dcaf13/Rrp15/Gtpbp4/Wdr43/Rcl1/Rrp9/Nol6/Npm3/Rrs1/Rpp25/Rrp12
GO:0022613	ribonucleoprotein complex biogenesis	356	-0.602218432218313	-3.0452725489418	1e-10	2.38681818181818e-08	1.7866028708134e-08	2707	tags=62%, list=25%, signal=48%	Cpsf6/Mettl18/Exosc3/Ddx51/Tent4b/Ddx54/Srsf10/Snrpb/Mettl16/Ddx3x/Denr/Abt1/Nol8/Mrps7/Utp18/Gtpbp10/Dhx37/Isy1/C1d/Mrpl22/Eif3d/Exosc7/Ncbp1/Pwp1/Mettl5/Lsm2/Rpl27/Aatf/Mrpl36/Srsf1/Hsp90aa1/Nat10/Snrpd2/Ybey/Krr1/Shq1/Usp39/Eri1/Gemin5/Ngrn/Lsg1/Nmd3/Utp6/Utp11/Mdn1/Dhx30/Pin4/Fam207a/Riok3/Tsr2/Mettl15/Rpl7l1/Ddx27/Emg1/Naf1/Rbmx/Hsp90ab1/Tsr3/Pop4/Brix1/Prkdc/Ercc2/Puf60/Chd7/Snrpe/Prpf31/Mphosph6/Ncl/Eif4h/Helq/Rpp30/Nol9/Sdad1/Prpf19/Trmt112/Exosc2/Rexo4/Heatr1/Zcchc4/Xpo1/Srpk1/Tsr1/Sf3a1/Tfb2m/Sart3/Ckap5/Utp4/Exosc8/Gnl3l/Rrp7a/Drosha/Utp23/Exosc5/Nop14/Wdr36/Riox2/Eif3a/Lsm4/Wdr46/Noc4l/Dhx29/Ddx52/Mrps11/Prpf3/Pop7/Isg20l2/Ruvbl2/Znhit6/C1qbp/Dkc1/Nol10/Snrpf/Nsun3/Rsl1d1/Bms1/Utp20/Nop9/Nip7/Ddx56/Surf6/Ddx18/Esf1/Nup88/Ltv1/Ddx10/Mphosph10/Wdr75/Rrp1/Dhx9/Ddx20/Abce1/Polr2d/Riok1/Mcts1/Snu13/Wdr18/Eral1/Riox1/Wdr74/Fastkd2/Suv39h1/Ebna1bp2/Nle1/Imp4/Ddx49/Utp15/Mrpl20/Snrpd1/Rpp40/Dimt1/Pes1/Tbl3/Nop16/Snrpc/Sart1/Sf3a3/Urb1/Ruvbl1/Rrp36/Rpf1/Wdr3/Gtf3a/Nvl/Ftsj3/Mrm1/Pak1ip1/Lyar/Tfb1m/Wdr12/Mrto4/Bud23/Mrm3/Srfbp1/Pelp1/Mak16/Ddx31/Zfp622/Nop10/Dis3/Gemin7/Pdcd11/Nsun5/Gar1/Strap/Noc2l/Nifk/Fdxacb1/Gnl2/Mpv17l2/Pa2g4/Urb2/Utp3/Rrp1b/Nop2/Bop1/Eif6/Rpusd2/Exosc1/Nop56/Pop5/Usp36/Eri2/Nhp2/Nop58/Ddx21/Rpf2/Bysl/Dcaf13/Rrp15/Mybbp1a/Gtpbp4/Atr/Wdr43/Prmt5/Rcl1/Rrp9/Nol6/Npm3/Pinx1/Rrs1/Rpp25/Rrp12
GO:0006364	rRNA processing	195	-0.63841037155901	-3.00076622035919	1e-10	2.38681818181818e-08	1.7866028708134e-08	2279	tags=65%, list=21%, signal=52%	Pwp1/Mettl5/Rpl27/Nat10/Ybey/Krr1/Shq1/Eri1/Utp6/Utp11/Mdn1/Pin4/Fam207a/Riok3/Tsr2/Mettl15/Rpl7l1/Ddx27/Emg1/Naf1/Tsr3/Pop4/Brix1/Prkdc/Ercc2/Chd7/Mphosph6/Ncl/Helq/Rpp30/Nol9/Trmt112/Exosc2/Rexo4/Heatr1/Zcchc4/Tsr1/Tfb2m/Utp4/Exosc8/Rrp7a/Utp23/Exosc5/Nop14/Wdr36/Wdr46/Ddx52/Mrps11/Pop7/Znhit6/Dkc1/Nol10/Nsun3/Rsl1d1/Bms1/Utp20/Nop9/Ddx56/Ddx18/Esf1/Ddx10/Mphosph10/Wdr75/Rrp1/Riok1/Snu13/Wdr18/Wdr74/Suv39h1/Ebna1bp2/Imp4/Ddx49/Utp15/Rpp40/Dimt1/Pes1/Tbl3/Sart1/Urb1/Rrp36/Rpf1/Wdr3/Nvl/Ftsj3/Mrm1/Lyar/Tfb1m/Wdr12/Mrto4/Bud23/Mrm3/Srfbp1/Pelp1/Mak16/Nop10/Dis3/Pdcd11/Nsun5/Gar1/Nifk/Fdxacb1/Pa2g4/Utp3/Rrp1b/Nop2/Bop1/Eif6/Rpusd2/Exosc1/Pop5/Usp36/Eri2/Nhp2/Ddx21/Rpf2/Bysl/Dcaf13/Rrp15/Gtpbp4/Wdr43/Rcl1/Rrp9/Nol6/Npm3/Rrs1/Rpp25/Rrp12
GO:0034470	ncRNA processing	357	-0.555728591019344	-2.80678076347596	1e-10	2.38681818181818e-08	1.7866028708134e-08	2279	tags=50%, list=21%, signal=41%	Pwp1/Mettl5/Elp1/Rpl27/Thumpd3/Nat10/Ybey/Krr1/Shq1/Ints7/Eri1/Ddx5/Dus1l/Utp6/Utp11/Mdn1/Thumpd2/Dus2/Pin4/Fam207a/Riok3/Tsr2/Mettl15/Zmpste24/Grsf1/Tsen15/Dtwd2/Rpl7l1/Ddx27/Alkbh8/Emg1/Naf1/Tsr3/Pop4/Brix1/Prkdc/Ercc2/Chd7/Alkbh1/Mphosph6/Ncl/Helq/Rpp30/Tyw1/Nol9/Trmt112/Exosc2/Rexo4/Trmt13/Heatr1/Zcchc4/Tsr1/Trmo/Tfb2m/Utp4/Exosc8/Rrp7a/Drosha/Pusl1/Utp23/Exosc5/Nop14/Wdr36/Rtraf/Pus7/Wdr46/Ddx52/Mrps11/Pop7/Tyw5/Elac2/Znhit6/Dkc1/Pop1/Qtrt1/Nol10/Ddx1/Nsun3/Trmt61a/Rsl1d1/Bms1/Utp20/Nop9/Ddx56/Ddx18/Esf1/Ddx10/Trmt10a/Mphosph10/Pus1/Qtrt2/Wdr75/Rrp1/Nsun6/Clp1/Trmt10c/Snip1/Riok1/Snu13/Wdr18/Trub2/Trmt1/Wdr74/Suv39h1/Ebna1bp2/Cdk5rap1/Imp4/Mettl2/Ddx49/Utp15/Mto1/Dph3/Rpp25l/Ctu1/Rpp40/Trmt6/Dimt1/Trub1/Nsun2/Pes1/Tbl3/Rtcb/Adat2/Sart1/Urb1/Rrp36/Rpf1/Wdr3/Ctu2/Nvl/Hsd17b10/Mettl1/Ftsj3/Mrm1/Bcdin3d/Lyar/Tfb1m/Wdr12/Mrto4/Bud23/Mrm3/Srfbp1/Pelp1/Mak16/Nop10/Dis3/Pdcd11/Nsun5/Gar1/Nifk/Fdxacb1/Pa2g4/Utp3/Rrp1b/Nop2/Bop1/Eif6/Rpusd2/Exosc1/Pop5/Wdr4/Usp36/Eri2/Nhp2/Ddx21/Rpf2/Bysl/Dcaf13/Nr2f1/Rrp15/Gtpbp4/Wdr43/Rcl1/Rrp9/Nol6/Npm3/Aars2/Rrs1/Rpp25/Rrp12
GO:0042273	ribosomal large subunit biogenesis	61	-0.714347993709339	-2.7256189066911	1e-10	2.38681818181818e-08	1.7866028708134e-08	1216	tags=64%, list=11%, signal=57%	Mdn1/Dhx30/Rpl7l1/Brix1/Nol9/Sdad1/Znhit6/Rsl1d1/Nip7/Surf6/Ddx18/Snu13/Wdr74/Fastkd2/Ebna1bp2/Nle1/Mrpl20/Pes1/Nop16/Urb1/Rpf1/Gtf3a/Nvl/Ftsj3/Pak1ip1/Wdr12/Mrto4/Mak16/Zfp622/Noc2l/Nifk/Nop2/Bop1/Eif6/Nhp2/Rpf2/Rrp15/Gtpbp4/Rrs1
GO:0034660	ncRNA metabolic process	455	-0.537909658522714	-2.70562743984712	1e-10	2.38681818181818e-08	1.7866028708134e-08	2758	tags=53%, list=26%, signal=41%	Nol11/Trmt12/Ftsj1/Adat1/Mettl18/Yars2/Exosc3/Tsn/Ddx51/Eprs/Elp6/Tent4b/Ddx54/Ears2/Mettl16/Snapc3/Ddx3x/Abt1/Tdrkh/Nol8/Utp18/Snapc5/Dhx37/Polr2l/Elp4/C1d/Hars2/Hars/Exosc7/Lars2/Mepce/Pwp1/Mettl5/Elp1/Rpl27/Gars/Thumpd3/Mars1/Nat10/Ybey/Krr1/Shq1/Ints7/Qrsl1/Eri1/Ddx5/Dus1l/Utp6/Utp11/Mdn1/Iars/Thumpd2/Dus2/Pin4/Fam207a/Riok3/Tsr2/Mettl15/Zmpste24/Grsf1/Kars/Tsen15/Dtwd2/Rpl7l1/Ddx27/Alkbh8/Emg1/Naf1/Tsr3/Pop4/Brix1/Prkdc/Ercc2/Chd7/Alkbh1/Mphosph6/Ncl/Yars/Smarca4/Helq/Rpp30/Tyw1/Nol9/Trmt112/Exosc2/Rexo4/Trmt13/Heatr1/Zcchc4/Tsr1/Trmo/Tfb2m/Utp4/Exosc8/Zc3h8/Rrp7a/Drosha/Pusl1/Utp23/Exosc5/Nop14/Wdr36/Rtraf/Polr1b/Pus7/Wdr46/Mtor/Ddx52/Mrps11/Pop7/Tyw5/Elac2/Znhit6/Dkc1/Pop1/Qtrt1/Nol10/Snapc4/Ddx1/Dars2/Tars2/Nsun3/Trmt61a/Rsl1d1/Bms1/Utp20/Nop9/Ddx56/Ddx18/Esf1/Rars/Ddx10/Trmt10a/Mphosph10/Pus1/Qtrt2/Wdr75/Rrp1/Zfp143/Ippk/Cd3eap/Nsun6/Clp1/Trmt10c/Snip1/Pnpt1/Riok1/Snu13/Wdr18/Trub2/Trmt1/Wdr74/Suv39h1/Ebna1bp2/Cdk5rap1/Imp4/Mettl2/Ddx49/Utp15/Mto1/Dph3/Rpp25l/Ctu1/Rpp40/Trmt6/Pelo/Dimt1/Trub1/Nsun2/Pes1/Tbl3/Rtcb/Adat2/Top1/Sart1/Urb1/Rrp36/Rpf1/Wdr3/Ctu2/Dtd1/Nvl/Hsd17b10/Mettl1/Nolc1/Macroh2a1/Ftsj3/Mrm1/Bcdin3d/Tcof1/Lyar/Tfb1m/Wdr12/Mrto4/Bud23/Mrm3/Srfbp1/Hras/Pelp1/Mak16/Nop10/Dis3/Pdcd11/Nsun5/Gar1/Farsa/Nifk/Fdxacb1/Pa2g4/Utp3/Rrp1b/Nop2/Bop1/Polr1a/Farsb/Eif6/Rpusd2/Exosc1/Pop5/Wdr4/Usp36/Eri2/Nhp2/Ddx21/Rpf2/Bysl/Dcaf13/Nr2f1/Mars2/Rrp15/Mybl1/Gtpbp4/Wdr43/Vars/Rcl1/Rrp9/Nol6/Npm3/Aars2/Rrs1/Rpp25/Rrp12
GO:0006261	DNA-templated DNA replication	129	-0.577593675621591	-2.51779614025679	1e-10	2.38681818181818e-08	1.7866028708134e-08	1916	tags=43%, list=18%, signal=36%	Gen1/Zmpste24/Timeless/Recql/Baz1a/Rpa1/Rfwd3/Gins1/Dbf4/Ccne1/Topbp1/Zranb3/Pold2/Lig3/Noc3l/Mcm4/Pola1/Rfc5/Pold1/Pole2/Rrm1/Orc5/Chtf18/Mcm7/Mcm6/Mms22l/Wdr18/Dnaja3/Zpr1/Cdc6/Wdhd1/Pole3/Prim2/Gins4/Pola2/Cenps/Ddx21/Fam111a/Twnk/Rrm2b/Traip/Eme1/Mgme1/Mcm5/Tipin/Ticrr/Atr/Zfp365/Tonsl/Fbxo5/Fancm/Lig1/Dscc1/Dna2/Pcna/E2f7
GO:0006399	tRNA metabolic process	160	-0.546493666244395	-2.45699990331417	1e-10	2.38681818181818e-08	1.7866028708134e-08	2906	tags=56%, list=27%, signal=42%	Ssb/Polr3k/Osgepl1/Elac1/Trmt12/Ftsj1/Adat1/Yars2/Exosc3/Eprs/Elp6/Ears2/Polr2l/Elp4/Hars2/Hars/Exosc7/Lars2/Elp1/Gars/Thumpd3/Mars1/Nat10/Qrsl1/Dus1l/Iars/Thumpd2/Dus2/Grsf1/Kars/Tsen15/Dtwd2/Alkbh8/Pop4/Alkbh1/Yars/Rpp30/Tyw1/Trmt112/Exosc2/Trmt13/Trmo/Exosc8/Pusl1/Rtraf/Pus7/Pop7/Tyw5/Elac2/Pop1/Qtrt1/Ddx1/Dars2/Tars2/Nsun3/Trmt61a/Rars/Trmt10a/Pus1/Qtrt2/Nsun6/Clp1/Trmt10c/Trub2/Trmt1/Cdk5rap1/Mettl2/Mto1/Dph3/Rpp25l/Ctu1/Rpp40/Trmt6/Trub1/Nsun2/Rtcb/Adat2/Ctu2/Dtd1/Hsd17b10/Mettl1/Bcdin3d/Farsa/Farsb/Pop5/Wdr4/Mars2/Vars/Aars2/Rpp25
GO:0009451	RNA modification	128	-0.564208407359689	-2.45652356333674	1e-10	2.38681818181818e-08	1.7866028708134e-08	2283	tags=52%, list=21%, signal=41%	Mepce/Mettl5/Elp1/Thumpd3/Nat10/Pus7l/Thumpd2/Dus2/Mettl15/Dtwd2/Alkbh8/Emg1/Naf1/Tsr3/Alkbh1/Tyw1/Trmt112/Trmt13/Zcchc4/Trmo/Tfb2m/Pusl1/Pus7/Tyw5/Dkc1/Qtrt1/Dnajb11/Nsun3/Trmt61a/Trmt10a/Pus1/Qtrt2/Nsun6/Trmt10c/Trub2/Trmt1/Cdk5rap1/Mettl2/Mto1/Dph3/Ctu1/Trmt6/Dimt1/Trub1/Nsun2/Adat2/Ctu2/Hsd17b10/Mettl1/Ftsj3/Bcdin3d/Tfb1m/Bud23/Mrm3/Nop10/Nsun5/Gar1/Fdxacb1/Hnrnpab/Nop2/Rpusd2/Wdr4/Nhp2/Tgs1/Aars2/Apobec3
