ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007059	chromosome segregation	262	-0.788308454904477	-3.14151802230923	1e-10	4.31157024793388e-09	3.04480208786429e-09	1092	tags=45%, list=10%, signal=41%	Pds5b/Kpnb1/Sfpq/Rrs1/Mcmbp/Ercc2/Ncapd3/Smc3/Macroh2a1/Ube2i/Slf1/Ska2/Brca2/Akap8/Mis12/Baz1b/Stag1/Rad21/Ctcf/Bub3/Rcc2/Zcwpw1/Nde1/Ska1/Ndc1/Zw10/Cenpc1/Cep85/M1ap/Terf1/Cep192/Slf2/Rad18/Ccne1/Pmf1/Fen1/Ccne2/Psmc3ip/Kntc1/Brip1/Cenpk/Recql4/Ddx11/Fam83d/Rmi2/Ncapd2/Gen1/Smc4/Eme1/Incenp/Cdt1/Chtf18/Zwint/Cenpq/Bub1/Cenps/Cenpn/Cenph/Trip13/Ska3/Msh5/Smc2/Gem/Cit/Birc5/Ncaph/Ncapg2/Mis18a/Zwilch/Ncapg/Fancd2/Dscc1/Dsn1/Nsl1/Cdca8/Haspin/Mad2l1/Kif22/Cenpt/Cenpw/Fancm/Spc25/Spdl1/Top2a/Kif18a/Cdca2/Ndc80/Ube2c/Spag5/Nek2/Ttk/Kif14/Cdc6/Espl1/Knstrn/Ccnb1/Racgap1/Aurkb/Knl1/Tacc3/Brca1/Fbxo5/Nuf2/Prc1/Dlgap5/Cenpf/Esco2/Mki67/Cenpe/Kif23/Ect2/Sgo1/Cdca5/Cdc20/Kif18b/Kif2c/Plk1
GO:0098813	nuclear chromosome segregation	211	-0.795145141097596	-3.09562487711986	1e-10	4.31157024793388e-09	3.04480208786429e-09	1092	tags=46%, list=10%, signal=42%	Pds5b/Kpnb1/Sfpq/Rrs1/Mcmbp/Ncapd3/Smc3/Macroh2a1/Slf1/Brca2/Akap8/Mis12/Baz1b/Stag1/Rad21/Bub3/Rcc2/Zcwpw1/Ndc1/Zw10/Cenpc1/M1ap/Terf1/Cep192/Slf2/Ccne1/Fen1/Ccne2/Psmc3ip/Kntc1/Brip1/Cenpk/Recql4/Ddx11/Fam83d/Rmi2/Ncapd2/Gen1/Smc4/Eme1/Incenp/Cdt1/Zwint/Cenpq/Bub1/Cenps/Trip13/Msh5/Smc2/Gem/Cit/Birc5/Ncaph/Ncapg2/Zwilch/Ncapg/Fancd2/Dscc1/Dsn1/Nsl1/Cdca8/Haspin/Mad2l1/Kif22/Fancm/Spc25/Spdl1/Top2a/Kif18a/Ndc80/Ube2c/Spag5/Nek2/Ttk/Kif14/Cdc6/Espl1/Knstrn/Ccnb1/Racgap1/Aurkb/Knl1/Tacc3/Fbxo5/Nuf2/Prc1/Cenpf/Esco2/Cenpe/Kif23/Ect2/Sgo1/Cdca5/Cdc20/Kif18b/Kif2c/Plk1
GO:0000070	mitotic sister chromatid segregation	138	-0.80426119949583	-3.02148622293628	1e-10	4.31157024793388e-09	3.04480208786429e-09	415	tags=48%, list=4%, signal=47%	Pds5b/Kpnb1/Rrs1/Ncapd3/Smc3/Macroh2a1/Slf1/Akap8/Mis12/Baz1b/Rad21/Bub3/Zw10/Cenpc1/Cep192/Slf2/Kntc1/Cenpk/Ncapd2/Gen1/Smc4/Incenp/Cdt1/Zwint/Bub1/Trip13/Smc2/Cit/Birc5/Ncaph/Ncapg2/Zwilch/Ncapg/Dscc1/Dsn1/Nsl1/Cdca8/Haspin/Mad2l1/Kif22/Spdl1/Kif18a/Ndc80/Ube2c/Spag5/Nek2/Ttk/Kif14/Cdc6/Espl1/Knstrn/Ccnb1/Racgap1/Aurkb/Tacc3/Fbxo5/Nuf2/Prc1/Cenpe/Kif23/Sgo1/Cdca5/Cdc20/Kif18b/Kif2c/Plk1
GO:0000819	sister chromatid segregation	160	-0.792255482923535	-3.02072605919926	1e-10	4.31157024793388e-09	3.04480208786429e-09	1092	tags=47%, list=10%, signal=43%	Pds5b/Kpnb1/Sfpq/Rrs1/Mcmbp/Ncapd3/Smc3/Macroh2a1/Slf1/Akap8/Mis12/Baz1b/Stag1/Rad21/Bub3/Zw10/Cenpc1/Cep192/Slf2/Fen1/Kntc1/Cenpk/Recql4/Ddx11/Rmi2/Ncapd2/Gen1/Smc4/Incenp/Cdt1/Zwint/Bub1/Trip13/Smc2/Cit/Birc5/Ncaph/Ncapg2/Zwilch/Ncapg/Dscc1/Dsn1/Nsl1/Cdca8/Haspin/Mad2l1/Kif22/Spdl1/Top2a/Kif18a/Ndc80/Ube2c/Spag5/Nek2/Ttk/Kif14/Cdc6/Espl1/Knstrn/Ccnb1/Racgap1/Aurkb/Tacc3/Fbxo5/Nuf2/Prc1/Esco2/Cenpe/Kif23/Sgo1/Cdca5/Cdc20/Kif18b/Kif2c/Plk1
GO:0006261	DNA-templated DNA replication	129	-0.814218357996757	-3.00910307407061	1e-10	4.31157024793388e-09	3.04480208786429e-09	740	tags=53%, list=7%, signal=50%	Baz1a/Rtel1/Brca2/Etaa1/Pole3/Rfc4/Prim2/Atr/Gins4/Nucks1/Zfp365/Poln/Atad5/Cdk2/Rfc2/Pcna/Pold1/Wdr18/Gins3/Tipin/Ccne1/Lig1/Blm/Topbp1/Mgme1/Wdhd1/Ccne2/Mcm6/Pola1/Rfc5/Rpa1/Pole2/Mcm2/Zranb3/Timeless/Gins2/Mms22l/Mcm3/Recql4/Pole/Gen1/Rrm1/Eme1/Cdt1/Gins1/Chtf18/Tonsl/Pola2/Cenps/Rad51/Prim1/Mcm7/Mcm4/Orc1/Fam111a/Dscc1/Mcm5/Cdc45/Dbf4/Fancm/Mcm10/Ticrr/Traip/Polq/Cdc6/E2f7/Fbxo5/Dna2/E2f8
GO:0000280	nuclear division	313	-0.723868020642309	-2.94294094667129	1e-10	4.31157024793388e-09	3.04480208786429e-09	829	tags=35%, list=8%, signal=34%	Mis12/Baz1b/Msx2/Cdc25b/Stag1/Rad21/Bub3/Zcwpw1/Nde1/Cyp26b1/Reep4/Fzr1/Ndc1/Zw10/Mzt1/Cenpc1/Cep85/Mtbp/Met/Ranbp1/Aaas/Sphk1/M1ap/Terf1/Piwil2/Cep192/Slf2/Ccne1/Topbp1/Ccne2/Chek2/Psmc3ip/Rad51ap1/Rad54l/Kntc1/Mybl1/Brip1/Cenpk/Ncapd2/Gen1/Smc4/Chek1/Eme1/Incenp/Cdt1/Chtf18/Zwint/Fanca/Ccsap/Pdgfb/Bub1/Cenps/Rad51/Trip13/Msh5/Smc2/Cit/Birc5/Ncaph/Ncapg2/Cks2/Zwilch/Rad54b/Ncapg/Fancd2/Dscc1/Dsn1/Nsl1/Aurka/Cdca8/Haspin/Mad2l1/Mybl2/Kif22/Fancm/Spdl1/Tpx2/Kif20b/Top2a/Kif18a/Cdca2/Ndc80/Bora/Ube2c/Spag5/Nek2/Ttk/Kif14/Cdc6/Espl1/Knstrn/Ccnb1/Mastl/Racgap1/Aurkb/Tacc3/Fbxo5/Nuf2/Aspm/Prc1/Mki67/Cenpe/Kif23/Sgo1/Cdca5/Kif11/Cdc20/Kif18b/Kif2c/Plk1/Ccnb2
GO:0006260	DNA replication	247	-0.736271440019001	-2.92685155381097	1e-10	4.31157024793388e-09	3.04480208786429e-09	1113	tags=43%, list=10%, signal=40%	Twnk/Ccdc88a/Poli/Trp53/Ruvbl2/Mcmbp/Smc3/Baz1a/Uchl5/Rtel1/Brca2/Obi1/Cacybp/Etaa1/Grwd1/Pole3/Rfc4/Prim2/Mcm8/Cdan1/Atr/Gins4/Nucks1/Dnajc2/Ttf1/Rpa3/Zfp365/Poln/Met/Atad5/Cdk2/Dhx9/Ctc1/Rfc2/Pcna/Pold1/Terf1/Chaf1b/Polh/Wdr18/Gins3/Rpa2/Tipin/Ccne1/Lig1/Blm/Topbp1/Mgme1/Jade3/Wdhd1/Fen1/Ccne2/Mcm6/Pola1/Gmnn/Rfc5/Rpa1/Pole2/Mcm2/Zranb3/Timeless/Gins2/Mms22l/Mcm3/Recql4/Ddx11/Pole/Rmi2/Gen1/Rrm1/Nasp/Eme1/Cdt1/Gins1/Chtf18/Tonsl/Dtl/Pola2/Pdgfb/Cenps/Rad51/Prim1/Mcm7/Mcm4/Chaf1a/Orc1/Fam111a/Dscc1/Mcm5/Cdc45/Cdk1/Dbf4/Pclaf/Fancm/Mcm10/Ticrr/Traip/Polq/Cdc6/Pif1/E2f7/Fbxo5/Dna2/Esco2/Rrm2/Ccna2/E2f8
GO:0140013	meiotic nuclear division	112	-0.802822780468715	-2.9075539632259	1e-10	4.31157024793388e-09	3.04480208786429e-09	825	tags=46%, list=8%, signal=43%	Msx2/Cdc25b/Rad21/Zcwpw1/Cyp26b1/Fzr1/Ndc1/Cenpc1/M1ap/Terf1/Piwil2/Ccne1/Topbp1/Ccne2/Psmc3ip/Rad51ap1/Rad54l/Mybl1/Brip1/Smc4/Eme1/Incenp/Chtf18/Fanca/Bub1/Cenps/Rad51/Trip13/Msh5/Smc2/Birc5/Ncaph/Cks2/Rad54b/Fancd2/Aurka/Haspin/Fancm/Top2a/Kif18a/Ndc80/Ttk/Espl1/Mastl/Fbxo5/Nuf2/Aspm/Cenpe/Sgo1/Cdc20/Plk1/Ccnb2
GO:0051321	meiotic cell cycle	165	-0.74782194638907	-2.85641285641744	1e-10	4.31157024793388e-09	3.04480208786429e-09	1149	tags=45%, list=11%, signal=41%	Stag2/Stk35/Tubgcp6/Suv39h2/Ncapd3/Smc3/Hus1/Brca2/Hmga2/Msx2/Cdc25b/Rad21/Bub3/Pdik1l/Zcwpw1/Rbbp8/Cyp26b1/Fzr1/Ndc1/Rad50/Cenpc1/Cdk2/Cdc25a/M1ap/Terf1/Piwil2/Ccne1/Topbp1/Ccne2/Psmc3ip/Rad51ap1/Rad54l/Mns1/Mybl1/Brip1/Rpa1/Ncapd2/Smc4/Eme1/Incenp/Chtf18/Fanca/Bub1/Cenps/Rad51/Trip13/Msh5/Smc2/Birc5/Ncaph/Cks2/Rad54b/Fancd2/Exo1/Aurka/Haspin/Fancm/Cdc25c/Pms2/Top2a/Kif18a/Ndc80/Nek2/Ttk/Espl1/Mastl/Fbxo5/Nuf2/Aspm/Mki67/Cenpe/Sgo1/Cdc20/Plk1/Ccnb2
GO:0048285	organelle fission	357	-0.690249747815262	-2.84863218988512	1e-10	4.31157024793388e-09	3.04480208786429e-09	829	tags=32%, list=8%, signal=30%	Mis12/Baz1b/Msx2/Cdc25b/Stag1/Rad21/Bub3/Zcwpw1/Nde1/Cyp26b1/Gdap1/Reep4/Fzr1/Ndc1/Zw10/Mzt1/Cenpc1/Cep85/Mtbp/Met/Ranbp1/Aaas/Sphk1/M1ap/Terf1/Piwil2/Cep192/Slf2/Ccne1/Topbp1/Ccne2/Chek2/Psmc3ip/Rad51ap1/Rad54l/Kntc1/Mybl1/Brip1/Cenpk/Ncapd2/Gen1/Smc4/Chek1/Eme1/Incenp/Cdt1/Chtf18/Zwint/Fanca/Ccsap/Pdgfb/Bub1/Cenps/Rad51/Trip13/Msh5/Smc2/Cit/Birc5/Ncaph/Ncapg2/Cks2/Zwilch/Rad54b/Ncapg/Fancd2/Dscc1/Dsn1/Nsl1/Aurka/Cdca8/Mtfr2/Haspin/Mad2l1/Mybl2/Kif22/Fancm/Spdl1/Tpx2/Kif20b/Top2a/Kif18a/Cdca2/Ndc80/Bora/Ube2c/Spag5/Nek2/Ttk/Kif14/Cdc6/Espl1/Knstrn/Ccnb1/Mastl/Racgap1/Aurkb/Tacc3/Fbxo5/Nuf2/Aspm/Prc1/Mki67/Cenpe/Kif23/Sgo1/Cdca5/Kif11/Cdc20/Kif18b/Kif2c/Plk1/Ccnb2
