ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0000070	mitotic sister chromatid segregation	138	-0.649283169087836	-2.56041827654534	1e-10	2.28304347826087e-08	1.90205949656751e-08	2399	tags=54%, list=22%, signal=43%	Pds5b/Psrc1/Incenp/Zwint/Becn1/Slf2/Seh1l/Akap8/Nudc/Cdt1/Birc5/Pogz/Anapc1/Ncapd2/Hnrnpu/Kntc1/Tpr/Bub3/Atm/Dis3l2/Cenpc1/Zw10/Macroh2a1/Pcid2/Rad21/Smc1a/Pds5a/Cep192/Nup62/Naa50/Smc3/Rrs1/Haspin/Pinx1/Ube2c/Cdk5rap2/Nek2/Apc/Smc2/Zwilch/Ccnb1/Trip13/Mad2l1/Gen1/Spag5/Hecw2/Kif22/Cit/Rb1/Nuf2/Ncapg2/Dsn1/Ndc80/Ncaph/Spdl1/Kif18a/Aurkb/Kif14/Knstrn/Tacc3/Sgo1/Cdca5/Cenpe/Espl1/Prc1/Ttk/Racgap1/Kif18b/Fbxo5/Dscc1/Cdc20/Kif2c/Kif23/Plk1/Cdc6
GO:0007059	chromosome segregation	262	-0.588378508531121	-2.54265643802576	1e-10	2.28304347826087e-08	1.90205949656751e-08	1773	tags=39%, list=16%, signal=34%	Kntc1/Tpr/Ube2i/Bub3/Atm/Pmf1/Lats1/Dis3l2/Cenpc1/Eme2/Cenpq/Cenpw/Sirt2/Actr2/Ska3/Zw10/Brd4/Esco2/Macroh2a1/Ercc2/Pcid2/Rad21/Smc1a/Pds5a/Cep192/Axin2/Nup62/Naa50/Ccne1/Smc3/Rrs1/Haspin/Mcmbp/Rcc1/Cenps/Pinx1/Top2b/Rcc2/Rad18/Ube2c/Cdk5rap2/Slc25a5/Nek2/Eme1/Apc/Ddx11/Ndc1/Smc2/Zwilch/Ccnb1/Trip13/Mad2l1/Cenph/Gen1/Chtf18/Spag5/Brip1/Hecw2/Fancm/Cdca2/Kif22/Cit/Knl1/Rb1/Fancd2/Nuf2/Ncapg2/Dsn1/Ndc80/Mis18a/Ncaph/Cenpf/Spdl1/Kif18a/Rmi2/Aurkb/Kif14/Recql4/Top2a/Knstrn/Spc25/Tacc3/Msh5/Sgo1/Cdca5/Cenpe/Cenpt/Espl1/Ect2/Prc1/Mki67/Ttk/Racgap1/Brca1/Kif18b/Dlgap5/Fbxo5/Dscc1/Cdc20/Kif2c/Kif23/Plk1/Cdc6
GO:0000819	sister chromatid segregation	161	-0.625351846519028	-2.53817530214871	1e-10	2.28304347826087e-08	1.90205949656751e-08	1773	tags=43%, list=16%, signal=36%	Kntc1/Tpr/Bub3/Atm/Lats1/Dis3l2/Cenpc1/Zw10/Esco2/Macroh2a1/Pcid2/Rad21/Smc1a/Pds5a/Cep192/Axin2/Nup62/Naa50/Smc3/Rrs1/Haspin/Mcmbp/Pinx1/Top2b/Ube2c/Cdk5rap2/Nek2/Apc/Ddx11/Smc2/Zwilch/Ccnb1/Trip13/Mad2l1/Gen1/Spag5/Hecw2/Kif22/Cit/Rb1/Nuf2/Ncapg2/Dsn1/Ndc80/Ncaph/Spdl1/Kif18a/Rmi2/Aurkb/Kif14/Recql4/Top2a/Knstrn/Tacc3/Sgo1/Cdca5/Cenpe/Espl1/Prc1/Ttk/Racgap1/Kif18b/Fbxo5/Dscc1/Cdc20/Kif2c/Kif23/Plk1/Cdc6
GO:0006261	DNA-templated DNA replication	129	-0.643619365626281	-2.53193709083717	1e-10	2.28304347826087e-08	1.90205949656751e-08	1745	tags=54%, list=16%, signal=46%	Etaa1/Ciz1/Pole3/Thoc1/Cdt1/Samhd1/Lig3/Rfc4/Wiz/Gins2/Recql/Eme2/Noc3l/Zranb3/Lig1/Mcm6/Baz1a/Twnk/Rfc5/Wdr18/Rfc3/Prim2/Ccne1/Blm/Rrm1/Dnaja3/Pola2/Mcmbp/Cenps/Atad5/Timeless/Topbp1/Eme1/Orc1/Mms22l/Ddx21/Polg2/Pole/Prim1/Gen1/Mgme1/Pold1/Chtf18/Atg7/Mcm7/Fancm/Atr/Wdhd1/Mcm2/Mcm10/Mcm4/Mcm3/Pola1/Polq/Zfp365/Pole2/Gins1/Tonsl/Traip/Mcm5/Ticrr/Recql4/Dbf4/Cdc45/E2f7/Fbxo5/Dscc1/Dna2/E2f8/Cdc6
GO:0098813	nuclear chromosome segregation	211	-0.60010479780251	-2.51295510563767	1e-10	2.28304347826087e-08	1.90205949656751e-08	1695	tags=40%, list=16%, signal=34%	Bub3/Atm/Lats1/Dis3l2/Cenpc1/Eme2/Cenpq/Sirt2/Actr2/Zw10/Esco2/Macroh2a1/Pcid2/Rad21/Smc1a/Pds5a/Cep192/Axin2/Nup62/Naa50/Ccne1/Smc3/Rrs1/Haspin/Mcmbp/Cenps/Pinx1/Top2b/Rcc2/Ube2c/Cdk5rap2/Nek2/Eme1/Apc/Ddx11/Ndc1/Smc2/Zwilch/Ccnb1/Trip13/Mad2l1/Gen1/Spag5/Brip1/Hecw2/Fancm/Kif22/Cit/Knl1/Rb1/Fancd2/Nuf2/Ncapg2/Dsn1/Ndc80/Ncaph/Cenpf/Spdl1/Kif18a/Rmi2/Aurkb/Kif14/Recql4/Top2a/Knstrn/Spc25/Tacc3/Msh5/Sgo1/Cdca5/Cenpe/Espl1/Ect2/Prc1/Ttk/Racgap1/Kif18b/Fbxo5/Dscc1/Cdc20/Kif2c/Kif23/Plk1/Cdc6
GO:0006260	DNA replication	247	-0.574190456697767	-2.45626327047037	1e-10	2.28304347826087e-08	1.90205949656751e-08	1745	tags=38%, list=16%, signal=33%	Gins2/Recql/Tbrg1/Jun/Eme2/Noc3l/Kctd13/Zranb3/Lig1/Lpin1/Mcm6/Ssrp1/Esco2/Mcm8/Ttf1/Baz1a/Zbtb38/Twnk/Rfc5/Wdr18/Pds5a/Rfc3/Prim2/Ccne1/Blm/Rrm1/Dnaja3/Smc3/Grwd1/Pola2/Mcmbp/Usp37/Cenps/Atad5/Timeless/Gtpbp4/Repin1/Topbp1/Eme1/Orc1/Ddx11/Mms22l/Dnajc2/Ddx21/Nasp/Pif1/Met/Polg2/Ctc1/Pole/Gli1/Prim1/Gen1/Mgme1/Pold1/Chtf18/Atg7/Jade3/Mcm7/Fancm/Trp53/Atr/Wdhd1/Mcm2/Mcm10/Pclaf/Mcm4/Cdk1/Mcm3/Pola1/Ruvbl2/Polq/Zfp365/Pole2/Chaf1a/Gins1/Tonsl/Traip/Rmi2/Mcm5/Dtl/Ticrr/Recql4/Dbf4/Cdc45/E2f7/Ccna2/Fbxo5/Dscc1/Pdgfb/Dna2/Rrm2/E2f8/Cdc6
GO:0051304	chromosome separation	82	-0.670437521856142	-2.45342283075247	1e-10	2.28304347826087e-08	1.90205949656751e-08	1773	tags=48%, list=16%, signal=40%	Kntc1/Tpr/Bub3/Atm/Dis3l2/Eme2/Zw10/Pcid2/Rad21/Cep192/Cenps/Top2b/Ube2c/Cdk5rap2/Eme1/Apc/Smc2/Zwilch/Ccnb1/Trip13/Mad2l1/Gen1/Hecw2/Fancm/Cit/Rb1/Ncapg2/Ndc80/Ncaph/Spdl1/Aurkb/Top2a/Tacc3/Cenpe/Espl1/Ttk/Fbxo5/Plk1/Cdc6
GO:0051983	regulation of chromosome segregation	80	-0.665250625839142	-2.42149605226631	1e-10	2.28304347826087e-08	1.90205949656751e-08	2115	tags=55%, list=20%, signal=45%	Cdt1/Birc5/Anapc1/Ncapd2/Hnrnpu/Kntc1/Tpr/Bub3/Atm/Sirt2/Zw10/Pcid2/Rad21/Cep192/Rcc2/Rad18/Ube2c/Cdk5rap2/Apc/Smc2/Zwilch/Ccnb1/Trip13/Mad2l1/Gen1/Chtf18/Hecw2/Cdca2/Cit/Rb1/Ncapg2/Ndc80/Ncaph/Spdl1/Rmi2/Aurkb/Tacc3/Cenpe/Mki67/Ttk/Fbxo5/Kif2c/Plk1/Cdc6
GO:0140014	mitotic nuclear division	228	-0.564212765464838	-2.38705087441212	1e-10	2.28304347826087e-08	1.90205949656751e-08	1429	tags=31%, list=13%, signal=27%	Macroh2a1/Ranbp1/Pcid2/Rad21/Smc1a/Arhgef10/Pds5a/Cep192/Mtbp/Nup62/Naa50/Smc3/Rrs1/Haspin/Rcc1/Pinx1/Flna/Ube2c/Cdk5rap2/Nek2/Bora/Apc/Smc2/Zwilch/Ccnb1/Tpx2/Trip13/Met/Mad2l1/Gen1/Spag5/Hecw2/Cdca2/Kif22/Cit/Rb1/Nuf2/Kif20b/Chek1/Ncapg2/Dsn1/Ndc80/Ncaph/Smpd3/Spdl1/Kif18a/Tgfa/Aurkb/Kif14/Knstrn/Tacc3/Sgo1/Cdca5/Cenpe/Espl1/Prc1/Mki67/Ttk/Racgap1/Kif18b/Fbxo5/Dscc1/Kif11/Pdgfb/Cdc20/Kif2c/Kif23/Plk1/Mybl2/Cdc6
GO:0000280	nuclear division	313	-0.536969807327947	-2.3596552134939	1e-10	2.28304347826087e-08	1.90205949656751e-08	1695	tags=33%, list=16%, signal=29%	Bub3/Atm/Washc5/Dis3l2/Reep4/Cenpc1/Eme2/Sirt2/Actr2/Zw10/Macroh2a1/Ranbp1/Pcid2/Rad21/Smc1a/Arhgef10/Pds5a/Piwil2/Cep192/Mtbp/Nup62/Naa50/Ccne1/Smc3/Rrs1/Haspin/Rcc1/Cenps/Pinx1/Top2b/Flna/Ube2c/Cdk5rap2/Msx2/Nek2/Bora/Topbp1/Eme1/Apc/Ndc1/Smc2/Zwilch/Ccnb1/Tpx2/Trip13/Met/Mad2l1/Rps6ka2/Gen1/Mybl1/Chtf18/Spag5/Brip1/Hecw2/Fancm/Cdca2/Kif22/Cit/Cyp26b1/Rb1/Rad54b/Fancd2/Nuf2/Kif20b/Chek1/Ncapg2/Dsn1/Ndc80/Ncaph/Lif/Smpd3/Spdl1/Aspm/Kif18a/Tgfa/Aurkb/Kif14/Fanca/Top2a/Knstrn/Tacc3/Msh5/Sgo1/Cdca5/Cenpe/Espl1/Prc1/Mki67/Ttk/Racgap1/Ccnb2/Kif18b/Fbxo5/Dscc1/Mastl/Kif11/Pdgfb/Cdc20/Kif2c/Kif23/Plk1/Mybl2/Cdc6
