ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006281	DNA repair	440	-0.438231956239002	-1.90852869506682	1.82409103294208e-10	9.56188519468236e-07	8.38313836823695e-07	2751	tags=40%, list=26%, signal=31%	Marf1/Usp7/Faap20/Babam1/Twist1/Pnkp/Inip/Herc2/Spire1/Rad18/Rexo4/Ung/Taok1/Wdr70/Ercc4/Ino80/Pds5a/Rad54b/Tmem161a/Mus81/Usp1/Hinfp/Mta1/Shld3/Smc3/Ascc2/Hdac10/Mms22l/Rad21/Ino80e/Zranb3/Mcm8/Bod1l/Ubqln4/Slf2/Rad23b/Dclre1a/Ascc3/Cul4a/Fbxw7/Rfc4/Ep400/Emsy/Rad51c/Rad9a/Ier3/Wdhd1/Parp2/Epc1/Ube2t/Aunip/Kmt5c/Fancg/Chaf1b/Gtf2h2/Mlh3/Cdca5/Cebpg/Xrn2/Smc1a/Ercc2/Nabp1/Prkdc/Gins2/Polk/Ino80c/Smc2/Fan1/Mrnip/Mcm7/Paxip1/Fam111a/Ercc1/Rad51ap1/Rad50/Rif1/Eme1/Brca2/Rnf169/Rad51d/Exo5/Parpbp/Dtl/Rfc5/Smc5/Brd8/Zcwpw1/Rad51/Pola1/Mms19/Recql5/Topbp1/Mcm4/Parp9/Pclaf/Rfc3/Axin2/Dot1l/Traip/Dclre1c/Poln/Rad54l/Atm/Iffo1/Rrm1/Pold1/Pogz/Pole2/Mgme1/Taok3/Rad52/Dtx3l/Fus/Atr/Mdc1/Ddb2/Spidr/Rev1/Kif22/Mgmt/Exo1/Hus1/Chd1l/Msh6/Clspn/Mcm2/Neil2/Ercc6/Timeless/Pml/Helq/Rtel1/Polm/Cep164/Palb2/Blm/Eme2/Fignl1/Chaf1a/Foxm1/Trp53/Cyren/Recql/Trip13/Mrgbp/Ticrr/Cenps/Fancd2/Chek1/Mcm3/Esco2/Parp3/Polq/Pif1/Parp10/Ruvbl2/Neil3/Hrob/Fanci/Xrcc3/Ddx11/Uhrf1/Mcm5/Fanca/Cgas/Pole/Bard1/Cdc45/Brca1/Recql4/Msh5/Gen1/Dna2/Tonsl/Zfp365/Hmga2/Pms2/Rmi2
GO:0007059	chromosome segregation	262	-0.500180098451662	-2.07325085124072	4.12720835307099e-10	1.08174130933991e-06	9.4838903523726e-07	2807	tags=46%, list=26%, signal=35%	Mad2l1/Brip1/Incenp/Bub3/Dync1h1/Anapc4/Bub1/Zwint/Ube2i/Rad18/Hnrnpu/Ercc4/Ino80/Pds5a/Mcmbp/Lats1/Mus81/Sgo1/Smc3/Rad21/Pcid2/Srpk1/Slf2/Seh1l/Top2b/Ehmt2/Fbxw7/Brd4/Kif18a/Rad51c/Becn1/Ncapg2/Fam83d/Mlh3/Dsn1/Cdca5/Smc1a/Ercc2/Cdt1/Rcc1/Smc2/Nup62/Cep192/Pinx1/Zwilch/Sirt2/Tacc3/Aurkb/Ube2c/Eme1/Brca2/Ccne1/Haspin/Smc5/Akap8l/Zcwpw1/Naa50/Ska3/Mms19/Apc/Akap8/Recql5/Axin2/Atm/Cenpc1/Kif2c/Birc5/Macroh2a1/Pogz/Chtf18/Kntc1/Plk1/Cdk5rap2/Knstrn/Kif22/Mis18a/Cenpf/Dscc1/Mki67/Ndc1/Top2a/Fbxo5/Ndc80/Eme2/Racgap1/Spdl1/Kif14/Ncapd2/Cdc20/Cdca2/Trip13/Kif23/Cenps/Fancd2/Nek8/Nuf2/Cenpe/Esco2/Dlgap5/Ncaph/Prc1/Ttk/Ect2/Cdc6/Cit/Xrcc3/Ddx11/Knl1/Rb1/Brca1/Kif18b/Cenph/Spc25/Recql4/Msh5/Espl1/Gen1/Cenpt/Hecw2/Psrc1/Rmi2
GO:0006260	DNA replication	247	-0.495456432287776	-2.0377141406066	1.12204389314697e-09	1.96058469595881e-06	1.71889250437884e-06	2800	tags=46%, list=26%, signal=35%	Ereg/Orc2/Srpk2/Rbbp6/Top1mt/Wiz/Zbtb38/Orc4/Ino80/Pds5a/Brpf3/Mcmbp/Mus81/Smc3/Mms22l/Gins3/Senp2/Ing5/Thoc1/Ciz1/Ino80e/Zranb3/Mcm8/Bod1l/Ehmt2/Wdr18/Ccdc88a/Rfc4/Wdhd1/Stn1/Pola2/Chaf1b/Jun/Tk2/Cdt1/Gins2/Polk/Ino80c/Dnaja3/Usp37/Mcm7/Fam111a/Atad5/Rbms1/Eme1/Brca2/Noc3l/Dtl/Gtpbp4/Ccne1/Rfc5/Ing4/Rad51/Pola1/Recql5/Topbp1/Mcm4/Pclaf/Dnajc2/Rfc3/Grwd1/Traip/Poln/Ttf1/Rrm1/Ddx21/Pold1/Chtf18/Pole2/Mgme1/Atr/Tspyl2/Atg7/Mcm2/Dscc1/Timeless/E2f7/Fbxo5/Orc1/Rtel1/Blm/Eme2/Chaf1a/Trp53/Ccna2/Recql/Cdk1/Ticrr/Cenps/Repin1/Mcm3/Esco2/Polq/Pif1/Ruvbl2/Cdc6/Ddx11/Mcm5/Lpin1/Ctc1/Dbf4/Pole/Cdc45/Mcm10/Recql4/Met/Gen1/Gli1/Dna2/Rrm2/Tonsl/Zfp365/E2f8/Rmi2
GO:0000226	microtubule cytoskeleton organization	467	-0.412344605546306	-1.80520192974367	7.78830130180741e-09	1.02065688560186e-05	8.94834828518188e-06	2440	tags=34%, list=23%, signal=28%	Rttn/Rassf7/Akap9/Ccp110/Xpo1/Kif2a/BC034090/Tubgcp3/Arl2/Map6/Map4/Odf2/Sik3/Trim46/Cntln/Tubgcp2/Ints13/Ccdc88a/Kif18a/Dnaaf5/Katnal1/Ttll1/Dvl1/Limk2/Phldb2/Fer/Ccdc120/Ift88/Son/Aurka/Srgap2/Aunip/Atxn3/Myh9/Washc5/Lrrc49/Efhc1/Mdm1/Ccdc84/Tubgcp6/Smc1a/Gnai1/Mapre2/Cep295/Ttbk2/Cntrob/Cnp/Arhgef2/Rcc1/Nup62/Mybl2/Cep192/Sac3d1/Dlg1/Tacc3/Aurkb/Kif20a/Brca2/Tle6/Clip3/Traf3ip1/Kif3a/Spata7/Gas8/Trpv4/Ska3/Ccdc88b/Pard6g/Smn1/Apc/Fes/Pclaf/Cep43/Nav1/Cep135/Kif2c/Birc5/Cenpj/Ttc12/Plk1/Cdk5rap2/Knstrn/Crocc/Ripor2/Tubb2b/Ccnb2/Sass6/Nubp1/Nat10/Patj/Sgk1/Aspm/Ift172/Fbxo5/Dclk2/Tpx2/Ezr/Ndc80/Mapt/Racgap1/Cep152/Kif11/Mid1ip1/Spdl1/Cdc20/Cep72/Wdr62/Kif23/Stil/Tube1/Cep70/Nuf2/Nav3/Cenpe/Chek1/Agrn/Dlgap5/Cenpa/Prc1/Cfap157/Ckap2/Parp3/Gas2l3/Ccnf/Atf5/Xrcc3/Mtcl1/Kat2a/Iqcg/Aaas/Cep250/Cep290/4933427D14Rik/Brca1/Cep126/Kif18b/Cenph/Prkcz/Spc25/Met/Espl1/Gen1/Mns1/Pard3b/Plk3/Fsd1/Efna5/Cfap69/Dnah17/Hoatz/Map2/Map7d2/Psrc1/Zmynd10/Map7/Crmp1/Dnah2/Disc1/Tppp
GO:0006302	double-strand break repair	233	-0.481326805394637	-1.97262703278735	1.23325260810754e-08	1.29294203433995e-05	1.13355387094685e-05	2751	tags=42%, list=26%, signal=32%	Marf1/Babam1/Twist1/Pnkp/Inip/Spire1/Wdr70/Ercc4/Ino80/Rad54b/Mus81/Mta1/Shld3/Mms22l/Rad21/Mcm8/Ubqln4/Slf2/Dclre1a/Ep400/Rad51c/Parp2/Epc1/Aunip/Kmt5c/Cdca5/Nabp1/Prkdc/Gins2/Fan1/Mrnip/Mcm7/Ercc1/Rad51ap1/Rad50/Rif1/Eme1/Brca2/Rnf169/Rad51d/Parpbp/Smc5/Brd8/Zcwpw1/Rad51/Pola1/Mms19/Recql5/Mcm4/Parp9/Dclre1c/Poln/Rad54l/Atm/Iffo1/Pogz/Rad52/Dtx3l/Fus/Spidr/Mgmt/Hus1/Mcm2/Ercc6/Timeless/Pml/Helq/Rtel1/Polm/Palb2/Blm/Eme2/Fignl1/Foxm1/Trp53/Cyren/Recql/Trip13/Mrgbp/Fancd2/Chek1/Mcm3/Esco2/Parp3/Polq/Ruvbl2/Xrcc3/Mcm5/Cgas/Cdc45/Brca1/Recql4/Gen1/Dna2/Tonsl/Zfp365/Hmga2/Rmi2
GO:0000819	sister chromatid segregation	161	-0.540478438260218	-2.1164236948288	1.65981541909881e-08	1.45012540448599e-05	1.27136037189217e-05	2764	tags=51%, list=26%, signal=38%	Mad2l1/Incenp/Bub3/Anapc4/Bub1/Zwint/Hnrnpu/Ino80/Pds5a/Mcmbp/Lats1/Sgo1/Smc3/Rad21/Pcid2/Slf2/Seh1l/Top2b/Fbxw7/Kif18a/Rad51c/Becn1/Ncapg2/Dsn1/Cdca5/Smc1a/Cdt1/Smc2/Nup62/Cep192/Pinx1/Zwilch/Tacc3/Aurkb/Ube2c/Haspin/Smc5/Akap8l/Naa50/Apc/Akap8/Axin2/Atm/Cenpc1/Kif2c/Birc5/Macroh2a1/Pogz/Kntc1/Plk1/Cdk5rap2/Knstrn/Kif22/Dscc1/Top2a/Fbxo5/Ndc80/Racgap1/Spdl1/Kif14/Ncapd2/Cdc20/Trip13/Kif23/Nuf2/Cenpe/Esco2/Ncaph/Prc1/Ttk/Cdc6/Cit/Xrcc3/Ddx11/Rb1/Kif18b/Recql4/Espl1/Gen1/Hecw2/Psrc1/Rmi2
GO:0098813	nuclear chromosome segregation	211	-0.503090396949951	-2.04007555517549	2.4303600961923e-08	1.59249345303e-05	1.39617791841784e-05	2807	tags=49%, list=26%, signal=37%	Mad2l1/Brip1/Incenp/Bub3/Dync1h1/Anapc4/Bub1/Zwint/Hnrnpu/Ercc4/Ino80/Pds5a/Mcmbp/Lats1/Mus81/Sgo1/Smc3/Rad21/Pcid2/Slf2/Seh1l/Top2b/Ehmt2/Fbxw7/Kif18a/Rad51c/Becn1/Ncapg2/Fam83d/Mlh3/Dsn1/Cdca5/Smc1a/Cdt1/Smc2/Nup62/Cep192/Pinx1/Zwilch/Sirt2/Tacc3/Aurkb/Ube2c/Eme1/Brca2/Ccne1/Haspin/Smc5/Akap8l/Zcwpw1/Naa50/Apc/Akap8/Axin2/Atm/Cenpc1/Kif2c/Birc5/Macroh2a1/Pogz/Kntc1/Plk1/Cdk5rap2/Knstrn/Kif22/Cenpf/Dscc1/Ndc1/Top2a/Fbxo5/Ndc80/Eme2/Racgap1/Spdl1/Kif14/Ncapd2/Cdc20/Trip13/Kif23/Cenps/Fancd2/Nuf2/Cenpe/Esco2/Ncaph/Prc1/Ttk/Ect2/Cdc6/Cit/Xrcc3/Ddx11/Knl1/Rb1/Kif18b/Spc25/Recql4/Msh5/Espl1/Gen1/Hecw2/Psrc1/Rmi2
GO:0006310	DNA recombination	240	-0.489761244616987	-2.01213824758798	2.27797189495641e-08	1.59249345303e-05	1.39617791841784e-05	1909	tags=42%, list=18%, signal=36%	Inip/Foxp1/Rad18/Ung/Ercc4/Ino80/Rad54b/Mus81/Shld3/Hdac10/Mms22l/Rad21/Thoc1/Zranb3/Mcm8/Ubqln4/Top2b/Ep400/Rad51c/Epc1/Aunip/Kmt5c/Xrn2/Ercc2/Nabp1/Prkdc/Gins2/Ino80c/Fan1/Mrnip/Mcm7/Paxip1/Ercc1/Rad51ap1/Atad5/Rad50/Rif1/Eme1/Brca2/Rad51d/Parpbp/Smc5/Brd8/Zcwpw1/Rad51/Mms19/Recql5/Topbp1/Mcm4/Dclre1c/Poln/Rad54l/Atm/Pogz/Chtf18/Rad52/Fus/Spidr/Exo1/Hus1/Msh6/Mcm2/Ercc6/Timeless/Top2a/Helq/Rtel1/Polm/Bcl11b/Palb2/Blm/Eme2/Fignl1/Cyren/Recql/Trip13/Mrgbp/Cenps/Fancd2/Clcf1/Chek1/Mcm3/Parp3/Polq/Pif1/Ruvbl2/Hrob/Xrcc3/Mcm5/Ankle1/Cgas/Cdc45/Brca1/Tfrc/Recql4/Msh5/Gen1/Tonsl/Zfp365/Pms2/Rmi2/Cd40
GO:0006261	DNA-templated DNA replication	129	-0.567227599466592	-2.15691687818488	3.7437181837454e-08	2.18050785768816e-05	1.91170451347748e-05	2688	tags=54%, list=25%, signal=41%	Wiz/Orc4/Ino80/Mcmbp/Mus81/Mms22l/Gins3/Senp2/Thoc1/Ciz1/Zranb3/Bod1l/Wdr18/Rfc4/Wdhd1/Pola2/Tk2/Cdt1/Gins2/Dnaja3/Mcm7/Fam111a/Atad5/Eme1/Brca2/Noc3l/Ccne1/Rfc5/Rad51/Pola1/Recql5/Topbp1/Mcm4/Rfc3/Traip/Poln/Rrm1/Ddx21/Pold1/Chtf18/Pole2/Mgme1/Atr/Atg7/Mcm2/Dscc1/Timeless/E2f7/Fbxo5/Orc1/Rtel1/Blm/Eme2/Recql/Ticrr/Cenps/Mcm3/Polq/Cdc6/Mcm5/Dbf4/Pole/Cdc45/Mcm10/Recql4/Gen1/Dna2/Tonsl/Zfp365/E2f8
GO:0000070	mitotic sister chromatid segregation	138	-0.547436912518951	-2.10489578754666	1.55185044751178e-07	8.13480004585673e-05	7.13197795140675e-05	2807	tags=51%, list=26%, signal=38%	Mad2l1/Incenp/Bub3/Anapc4/Bub1/Zwint/Hnrnpu/Ino80/Pds5a/Sgo1/Smc3/Rad21/Pcid2/Slf2/Seh1l/Kif18a/Becn1/Ncapg2/Dsn1/Cdca5/Smc1a/Cdt1/Smc2/Nup62/Cep192/Pinx1/Zwilch/Tacc3/Aurkb/Ube2c/Haspin/Smc5/Akap8l/Naa50/Apc/Akap8/Atm/Cenpc1/Kif2c/Birc5/Macroh2a1/Pogz/Kntc1/Plk1/Cdk5rap2/Knstrn/Kif22/Dscc1/Fbxo5/Ndc80/Racgap1/Spdl1/Kif14/Ncapd2/Cdc20/Trip13/Kif23/Nuf2/Cenpe/Ncaph/Prc1/Ttk/Cdc6/Cit/Xrcc3/Rb1/Kif18b/Espl1/Gen1/Hecw2/Psrc1
