ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0098813	nuclear chromosome segregation	211	-0.734345708511561	-2.68828239348312	1e-10	1.16088888888889e-08	1.01894736842105e-08	870	tags=36%, list=8%, signal=34%	Zcwpw1/Cenpc1/Psmc3ip/Terf1/Kntc1/Cenpq/Cenps/Gen1/Trip13/Slf2/Fancd2/Cep192/Rmi2/Recql4/Cdt1/Smc4/Ncapg2/Ncapd2/Ddx11/Nsl1/Smc2/Zwilch/Bub1/Hecw2/Psrc1/Incenp/Cdca8/Brip1/Gem/Spdl1/Birc5/Ncaph/Zwint/Cit/Nuf2/Kif14/Kif22/Espl1/Eme1/Haspin/Ncapg/Mad2l1/Nek2/Dsn1/Racgap1/Fancm/Ttk/Ndc80/Cenpf/Fam83d/Cdc6/Aurkb/Dscc1/Spc25/Msh5/Spag5/Sgo1/Ect2/Knl1/M1ap/Kif18a/Ccnb1/Knstrn/Cenpe/Esco2/Ube2c/Cdca5/Top2a/Fbxo5/Kif23/Tacc3/Kif18b/Plk1/Prc1/Cdc20/Kif2c
GO:0000070	mitotic sister chromatid segregation	138	-0.760640467595487	-2.68707013610092	1e-10	1.16088888888889e-08	1.01894736842105e-08	673	tags=38%, list=6%, signal=36%	Gen1/Trip13/Slf2/Cep192/Cdt1/Smc4/Ncapg2/Ncapd2/Nsl1/Smc2/Zwilch/Bub1/Hecw2/Psrc1/Incenp/Cdca8/Spdl1/Birc5/Ncaph/Zwint/Cit/Nuf2/Kif14/Kif22/Espl1/Haspin/Ncapg/Mad2l1/Nek2/Dsn1/Racgap1/Ttk/Ndc80/Cdc6/Aurkb/Dscc1/Spag5/Sgo1/Kif18a/Ccnb1/Knstrn/Cenpe/Ube2c/Cdca5/Fbxo5/Kif23/Tacc3/Kif18b/Plk1/Prc1/Cdc20/Kif2c
GO:0007059	chromosome segregation	262	-0.715877423985742	-2.67203803764605	1e-10	1.16088888888889e-08	1.01894736842105e-08	929	tags=34%, list=9%, signal=32%	Cenpk/Rad18/Ska2/Zcwpw1/Cenpc1/Psmc3ip/Terf1/Kntc1/Cenpq/Cenps/Gen1/Trip13/Slf2/Fancd2/Cep192/Rmi2/Chtf18/Recql4/Cdt1/Smc4/Ncapg2/Ncapd2/Ddx11/Ska3/Nsl1/Smc2/Zwilch/Bub1/Hecw2/Psrc1/Incenp/Cdca8/Cenpn/Brip1/Gem/Spdl1/Birc5/Ncaph/Zwint/Cenph/Cit/Nuf2/Kif14/Kif22/Espl1/Eme1/Mis18a/Haspin/Ncapg/Mad2l1/Nek2/Dsn1/Racgap1/Fancm/Ttk/Ndc80/Cenpf/Fam83d/Cenpw/Cdc6/Mki67/Aurkb/Dscc1/Cdca2/Spc25/Msh5/Spag5/Cenpt/Sgo1/Ect2/Knl1/M1ap/Kif18a/Ccnb1/Brca1/Knstrn/Cenpe/Esco2/Ube2c/Cdca5/Top2a/Fbxo5/Kif23/Tacc3/Kif18b/Dlgap5/Plk1/Prc1/Cdc20/Kif2c
GO:0000819	sister chromatid segregation	160	-0.743937349450029	-2.65738489121992	1e-10	1.16088888888889e-08	1.01894736842105e-08	673	tags=36%, list=6%, signal=34%	Gen1/Trip13/Slf2/Cep192/Rmi2/Recql4/Cdt1/Smc4/Ncapg2/Ncapd2/Ddx11/Nsl1/Smc2/Zwilch/Bub1/Hecw2/Psrc1/Incenp/Cdca8/Spdl1/Birc5/Ncaph/Zwint/Cit/Nuf2/Kif14/Kif22/Espl1/Haspin/Ncapg/Mad2l1/Nek2/Dsn1/Racgap1/Ttk/Ndc80/Cdc6/Aurkb/Dscc1/Spag5/Sgo1/Kif18a/Ccnb1/Knstrn/Cenpe/Esco2/Ube2c/Cdca5/Top2a/Fbxo5/Kif23/Tacc3/Kif18b/Plk1/Prc1/Cdc20/Kif2c
GO:0140013	meiotic nuclear division	112	-0.753817574396801	-2.57771990109308	1e-10	1.16088888888889e-08	1.01894736842105e-08	870	tags=43%, list=8%, signal=40%	Zcwpw1/Cenpc1/Psmc3ip/Terf1/Rad54l/Topbp1/Ereg/Cenps/Trip13/Gpr3/Fancd2/Chtf18/Bcl2l11/Smc4/Cks2/Fanca/Smc2/Bub1/Incenp/Rad51/Brip1/Birc5/Ncaph/Nuf2/Espl1/Msx2/Eme1/Aurka/Haspin/Fancm/Ttk/Rad54b/Ndc80/Mybl1/Piwil2/Cyp26b1/Aspm/Msh5/Sgo1/M1ap/Kif18a/Cenpe/Mastl/Top2a/Fbxo5/Plk1/Cdc20/Ccnb2
GO:0006261	DNA-templated DNA replication	129	-0.72690627600684	-2.54535374677242	1e-10	1.16088888888889e-08	1.01894736842105e-08	1188	tags=45%, list=11%, signal=40%	Pold1/Poln/Pcna/Tipin/Gins4/Atad5/Mcm2/Nucks1/Cdk2/Rfc5/Mms22l/Lig1/Pole/Wdr18/Pola1/Mcm3/Gins3/Rpa1/Mgme1/Topbp1/Cenps/Rfc2/Gen1/Wdhd1/Mcm6/Orc1/Pola2/Timeless/Gins2/Zranb3/Chtf18/Recql4/Cdt1/Gins1/Pole2/Zfp365/Rad51/Mcm5/Fam111a/Prim1/Mcm7/Dbf4/Mcm4/Tonsl/Rrm1/Cdc45/Eme1/Mcm10/Fancm/E2f7/Cdc6/Traip/Polq/Dscc1/Ticrr/Fbxo5/Dna2/E2f8
GO:1903046	meiotic cell cycle process	126	-0.726367076921958	-2.53961884662583	1e-10	1.16088888888889e-08	1.01894736842105e-08	870	tags=48%, list=8%, signal=45%	Ndc1/Rad21/Actr2/Wnt4/Cdc25a/Msx1/Rad51ap1/Fzr1/Cdc25b/Plcb1/Zcwpw1/Cenpc1/Psmc3ip/Terf1/Rad54l/Topbp1/Ereg/Cenps/Trip13/Ercc1/Gpr3/Fancd2/Chtf18/Bcl2l11/Smc4/Ncapd2/Cks2/Fanca/Smc2/Bub1/Incenp/Rad51/Brip1/Birc5/Ncaph/Nuf2/Espl1/Msx2/Eme1/Aurka/Haspin/Fancm/Ttk/Rad54b/Ndc80/Mybl1/Piwil2/Cyp26b1/Cdc25c/Aspm/Msh5/Sgo1/M1ap/Kif18a/Cenpe/Mastl/Top2a/Fbxo5/Plk1/Cdc20/Ccnb2
GO:0000280	nuclear division	314	-0.668160992295671	-2.52535365870046	1e-10	1.16088888888889e-08	1.01894736842105e-08	1482	tags=39%, list=14%, signal=34%	Apc/Ndc1/Rad21/Akap8/Actr2/Bub3/Stag1/Zw10/Wnt4/Msx1/Rad51ap1/Chek2/Smpd3/Reep3/Phip/Cep97/Rb1/Fzr1/Cep85/Cdc25b/Plcb1/Nde1/Stag2/Cenpk/Zcwpw1/Cenpc1/Psmc3ip/Terf1/Kntc1/Rad54l/Met/Topbp1/Ereg/Cenps/Mybl2/Gen1/Ccsap/Trip13/Fgfr2/Fgfr3/Gpr3/Slf2/Fancd2/Mzt1/Cep192/Chtf18/Tgfa/Cdt1/Bcl2l11/Chek1/Smc4/Aaas/Ncapg2/Ncapd2/Cks2/Fanca/Nsl1/Smc2/Zwilch/Bub1/Hecw2/Psrc1/Incenp/Rad51/Cdca8/Brip1/Spdl1/Birc5/Ncaph/Zwint/Cit/Nuf2/Kif14/Kif22/Espl1/Msx2/Eme1/Aurka/Haspin/Ncapg/Mad2l1/Nek2/Dsn1/Racgap1/Fancm/Ttk/Rad54b/Ndc80/Mybl1/Piwil2/Tpx2/Cdc6/Mki67/Cyp26b1/Aspm/Kif20b/Aurkb/Dscc1/Cdca2/Msh5/Spag5/Kif11/Sgo1/Bora/M1ap/Kif18a/Ccnb1/Knstrn/Cenpe/Mastl/Ube2c/Cdca5/Top2a/Fbxo5/Kif23/Tacc3/Kif18b/Plk1/Prc1/Cdc20/Kif2c/Ccnb2
GO:0051321	meiotic cell cycle	165	-0.702499555040919	-2.52243405926823	1e-10	1.16088888888889e-08	1.01894736842105e-08	1476	tags=44%, list=14%, signal=38%	Ndc1/Rad21/Actr2/Bub3/Wnt4/Cdc25a/Msx1/Rad51ap1/Pdik1l/Fzr1/Cdc25b/Plcb1/Sun2/Cdk2/Stag2/Zcwpw1/Cenpc1/Psmc3ip/Terf1/Rad54l/Rpa1/Topbp1/Ereg/Cenps/Trip13/Ercc1/Gpr3/Fancd2/Mns1/Chtf18/Bcl2l11/Smc4/Ncapd2/Cks2/Fanca/Smc2/Bub1/Incenp/Rad51/Brip1/Exo1/Birc5/Hmga2/Ncaph/Nuf2/Espl1/Msx2/Eme1/Aurka/Haspin/Nek2/Fancm/Ttk/Rad54b/Ndc80/Mybl1/Piwil2/Mki67/Cyp26b1/Cdc25c/Aspm/Msh5/Sgo1/M1ap/Kif18a/Cenpe/Mastl/Top2a/Fbxo5/Plk1/Cdc20/Ccnb2
GO:0051304	chromosome separation	83	-0.764547069555664	-2.48745422389193	1e-10	1.16088888888889e-08	1.01894736842105e-08	803	tags=42%, list=8%, signal=39%	Kntc1/Cenps/Gen1/Trip13/Cep192/Cdt1/Smc4/Ncapg2/Ncapd2/Smc2/Zwilch/Bub1/Hecw2/Spdl1/Birc5/Ncaph/Zwint/Cit/Espl1/Eme1/Ncapg/Mad2l1/Fancm/Ttk/Ndc80/Cdc6/Aurkb/M1ap/Ccnb1/Cenpe/Ube2c/Top2a/Fbxo5/Tacc3/Plk1
