ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006281	DNA repair	482	-0.376959654142074	-1.83835870066954	1e-10	5.794e-07	4.94526315789474e-07	3655	tags=41%, list=26%, signal=31%	Eepd1/Hmgb1/Smc2/Rfwd3/Dntt/Nthl1/Tmem161a/Usp1/Ssrp1/Polh/Rnaseh2a/Ercc2/Babam1/Rpa3/Xrcc5/Ino80c/Exo1/Cep164/Cdc5l/Mcm7/Ep400/Shprh/Gins2/Pold2/Mlh1/Fam168a/Chek1/Ier3/Babam2/Trp53/Marf1/Rfc1/Npas2/Cdca5/Xrcc1/Recql4/Rad18/Mad2l2/Parp3/Smchd1/Pwwp3a/Dmap1/Parp1/Pole/Zfp365/Prkdc/Ttc5/Topbp1/Pold3/Hdac10/Fan1/Eme1/Ercc6/Smc6/Ascc1/Ino80b/Cdk2/Rtel1/Helq/Nono/Fh1/Ing3/Arid2/Rad50/Xrcc3/Fancc/Chaf1a/Mlh3/Exd2/Rfc3/Fto/Dot1l/Mrgbp/Uimc1/Mcm6/Npm1/Atrx/Wrn/Mcm5/Kmt5c/Mcm2/Was/Ddx11/Polm/Rfc5/Ufl1/Smc5/Fancf/Msh3/Smc4/Smc3/Fbxo6/Apex2/Parp2/Rev3l/Dclre1b/Recql5/Fancg/Clspn/Brip1/Pogz/Mcm3/Lig3/Traip/Paxip1/Hus1/Uhrf1/Fignl1/Pclaf/Hinfp/Polg2/Foxm1/Dclre1a/Aplf/Mcm8/Rfc4/Epc1/Lig1/Bach1/Mbd4/Esco2/Mms19/Cebpg/Palb2/Neil2/Ung/Mcm4/Dek/Dna2/Wdhd1/Atr/Brd8/Fanca/Etaa1/Poll/Faap20/Pds5b/Recql/Prkcg/Msh6/Blm/Brca2/Poli/Rad21/Mta1/Rev1/Timeless/Kif22/Ruvbl2/Primpol/Rif1/Smc1a/Mbtd1/Polq/Hrob/Pole2/Ticrr/Mdc1/Twist1/Dtl/Atm/Mgme1/Fancd2/Rad21l/Parpbp/Rad54l/Rad52/Pif1/Rps3/Neil1/Bard1/Zranb3/Ercc6l2/Rad51d/Faap100/Exo5/Rad51c/Brca1/Rmi2/Spidr/Pold1/Ddb2/Cgas/Hmga1/Gen1/Fanci/Cdc45/Pola1/Zcwpw1/Neil3/Dmc1/Mutyh/Tonsl/Chd1l/Nop53/Kash5/Msh5/Tex12/Eya2
GO:0006261	DNA-templated DNA replication	136	-0.537871748107959	-2.26846528847204	3.79316389118052e-10	7.32586386183331e-07	6.25273121430389e-07	2859	tags=43%, list=21%, signal=35%	Zgrf1/Pole/Zfp365/Topbp1/Pold3/Eme1/Atg7/Tipin/Dnaja3/Cdk2/Rtel1/Exd2/Gins1/Rfc3/Mcm6/Npm1/Atrx/Wrn/Dbf4/Mcm5/Mcm2/Atad5/Rfc5/Mcm10/Recql5/Mcm3/Lig3/Traip/E2f7/Polg2/Rfc4/Mcmbp/Endog/Lig1/Mcm4/Dna2/Wdhd1/Atr/Etaa1/Recql/Prim1/Blm/Brca2/Timeless/Cdc6/Primpol/Polq/Pole2/Dscc1/Ticrr/Mgme1/Fbxo5/Zranb3/Pold1/Gen1/Cdc45/Pola1/Tonsl/E2f8
GO:0007059	chromosome segregation	297	-0.400361651497288	-1.84788499675824	2.91683333565228e-10	7.32586386183331e-07	6.25273121430389e-07	3121	tags=38%, list=23%, signal=30%	Cep85/Cdca5/Cenpq/Recql4/Rad18/1700028K03Rik/Syce2/Cdc23/Phb2/Numa1/Kntc1/Anapc1/Stag2/Ube2c/Eme1/Pibf1/Pcid2/Smc6/Nek2/Naa50/Xrcc3/Birc5/Mlh3/2610002M06Rik/Tacc3/Cep192/Atrx/Sun1/Ddx11/Smc5/Smc4/Smc3/Macroh2a1/Stag1/Recql5/Top3b/Brip1/Pogz/Oip5/Mad2l1/Akap8l/Cenpc1/Ncapg2/Bub1b/Mcmbp/Lats1/Seh1l/Spice1/Top2b/Esco2/Mms19/Plk1/Sgo2a/Dsn1/Pds5b/Ncapg/Dis3l2/Spc25/Aurkb/Brca2/Rad21/Cdca2/Kif2c/Kif22/Cdc6/Sgo1/Ttk/Ect2/Cdk5rap2/Knl1/Smc1a/Mei1/Cdc20/Dscc1/Atm/Ndc80/Fancd2/Ncapd2/Cenpe/Espl1/Nusap1/Rad21l/Nuf2/Cenpf/Rps3/Rb1/Cenpt/Fbxo5/Nek8/Sirt2/Rad51c/Brca1/Mis18a/Rmi2/Cenph/Kif18b/Cit/Racgap1/Gen1/Hjurp/Prc1/Ncaph/Zcwpw1/Kif14/Mki67/Dmc1/Kif23/Top2a/Dlgap5/Knstrn/Kash5/Msh5/Tex12
GO:0000819	sister chromatid segregation	175	-0.46810268284462	-2.0105376035282	9.15693448618914e-10	1.3263819603245e-06	1.13208626884517e-06	2930	tags=42%, list=21%, signal=33%	Cdc23/Phb2/Numa1/Kntc1/Anapc1/Stag2/Ube2c/Pibf1/Pcid2/Nek2/Naa50/Xrcc3/Birc5/2610002M06Rik/Tacc3/Cep192/Atrx/Ddx11/Smc5/Smc4/Smc3/Macroh2a1/Stag1/Pogz/Mad2l1/Akap8l/Cenpc1/Ncapg2/Bub1b/Mcmbp/Lats1/Seh1l/Top2b/Esco2/Plk1/Sgo2a/Dsn1/Pds5b/Ncapg/Dis3l2/Aurkb/Rad21/Kif2c/Kif22/Cdc6/Sgo1/Ttk/Cdk5rap2/Smc1a/Cdc20/Dscc1/Atm/Ndc80/Ncapd2/Cenpe/Espl1/Nusap1/Rad21l/Nuf2/Rb1/Fbxo5/Rad51c/Rmi2/Kif18b/Cit/Racgap1/Gen1/Prc1/Ncaph/Kif14/Kif23/Top2a/Knstrn
GO:0007186	G protein-coupled receptor signaling pathway	447	0.484121654301162	1.68863864820188	9.8700113442748e-09	1.14373691457456e-05	9.76196069376906e-06	2180	tags=33%, list=16%, signal=28%	Crhr2/Mrgprb3/Tshr/Lgr6/Adgrb1/Ecel1/Adra2c/Chga/Chrm2/Adra1a/Hrh3/Ccl2/Calcb/Adgrl3/Olfr957/Npvf/Npb/Gpr171/Gas2l2/Ereg/Gna15/Gprc5a/Adgre4/Rgs20/Nppa/Acpp/Rims2/Areg/Tacr3/Ackr4/Gpr1/Gpr68/Ptgdr2/Ccl20/Grk5/Grk1/Pde5a/Mc1r/Gpr158/Edn1/Npy5r/Anxa1/Xcl1/Pthlh/Kcnk2/Gpr62/Gpr160/Rgs5/Rgs9/Homer2/Rgs7/Nmu/Grm4/P2ry14/Camk2b/Apoe/Ccl7/Gpr52/Rxfp1/Spns2/Tas1r2/F2r/Galr2/Pik3cb/Rgs16/Drd1/Mgll/Ccl11/Olfr985/Bdkrb1/Adcy8/Celsr3/Ednra/Rgs4/Cysltr2/Adcy1/Gper1/Adgrf5/Rapgef4/Gpr4/Gpr75/Adra2a/Bdkrb2/Cngb1/Opn1sw/Rxfp4/Pth2/Rgs17/Ano1/Penk/Cck/Tmod2/Adgrg6/Plcb1/Sctr/Adra2b/Opn3/Gpr17/Esr1/Fzd8/Fzd5/Gipc1/Ptgir/Opn4/P2ry10b/Lpar3/Lpar2/Nppb/Nmb/Prex2/Gpr63/Lhb/Gpr135/Gng3/Aplp1/Tgm2/Cacna1d/Adcy5/Htr2a/Gng4/Gal/Adora1/Mrap/Ada/Gabbr2/Rgs3/Nmbr/Gnat1/Ntsr2/Cckar/Ece1/Adra1d/Oxtr/Alox8/Htr5b/Adcy9/Cx3cl1/Homer3/Bcar1/Akap12/Adrb2/Vipr2/Grk4/Olfr92/Ptgfr/Agt
GO:0006260	DNA replication	258	-0.398266058176663	-1.81710488942989	1.53022197727504e-08	1.47768435605526e-05	1.26122506126985e-05	4189	tags=49%, list=30%, signal=35%	Fam111a/Ccdc88a/Cdt1/Polb/Mcm9/Rbbp6/Pds5a/Faf1/Pola2/Meaf6/Mre11a/Jun/Terf1/Wiz/Sin3a/Atf1/Twnk/Cenps/Rfwd3/Nfix/Ssrp1/Polh/Rnaseh2a/Jade3/Rpa3/Ino80c/Chtf18/Mcm7/Tbrg1/Obi1/Gins2/Pold2/Tspyl2/Ehmt2/Trp53/Rfc1/Lrwd1/Recql4/Ing4/Zgrf1/Pole/Zfp365/Topbp1/Stn1/Pold3/Eme1/Atg7/Tipin/Ino80b/Dnaja3/Cdk2/Rtel1/Chaf1a/Exd2/Gins1/Rfc3/Dtd1/Ing5/Mcm6/Npm1/Atrx/Wrn/Dbf4/Mcm5/Mcm2/Atad5/Ddx11/Gli1/Rfc5/Smc3/Nfic/Mcm10/Rev3l/Recql5/Mcm3/Lig3/Traip/E2f7/Egf/Pclaf/Polg2/Mcm8/Rfc4/Mcmbp/Endog/Usp37/Lig1/Esco2/Mcm4/Dna2/Wdhd1/Atr/Etaa1/Poll/Recql/Prim1/Blm/Brca2/Poli/Met/Nfia/Timeless/Cdc6/Ruvbl2/Primpol/Polq/Pole2/Dscc1/Ticrr/Ccna2/Ttf1/Dtl/Mgme1/Pif1/Fbxo5/Repin1/Gli2/Zranb3/Rmi2/Pold1/Gen1/Cdc45/Pola1/Cdk1/Ctc1/Tonsl/E2f8
GO:0000070	mitotic sister chromatid segregation	151	-0.466779288005496	-1.97880453418714	2.49507535833085e-08	2.06520951802414e-05	1.7626863208178e-05	2930	tags=41%, list=21%, signal=33%	Cdc23/Numa1/Kntc1/Anapc1/Ube2c/Pibf1/Pcid2/Nek2/Naa50/Xrcc3/Birc5/2610002M06Rik/Tacc3/Cep192/Atrx/Smc5/Smc4/Smc3/Macroh2a1/Pogz/Mad2l1/Akap8l/Cenpc1/Ncapg2/Bub1b/Seh1l/Plk1/Sgo2a/Dsn1/Pds5b/Ncapg/Dis3l2/Aurkb/Rad21/Kif2c/Kif22/Cdc6/Sgo1/Ttk/Cdk5rap2/Smc1a/Cdc20/Dscc1/Atm/Ndc80/Ncapd2/Cenpe/Espl1/Nusap1/Rad21l/Nuf2/Rb1/Fbxo5/Kif18b/Cit/Racgap1/Gen1/Prc1/Ncaph/Kif14/Kif23/Knstrn
GO:0098813	nuclear chromosome segregation	238	-0.390363394013645	-1.77443889766135	7.05349375022238e-08	5.10849284859856e-05	4.36017284717694e-05	3282	tags=42%, list=24%, signal=33%	Phf13/Mlh1/Ehmt2/Ndc1/Cdca5/Cenpq/Recql4/1700028K03Rik/Syce2/Cdc23/Phb2/Numa1/Kntc1/Anapc1/Stag2/Ube2c/Eme1/Pibf1/Pcid2/Nek2/Naa50/Xrcc3/Birc5/Mlh3/2610002M06Rik/Tacc3/Cep192/Atrx/Sun1/Ddx11/Smc5/Smc4/Smc3/Macroh2a1/Stag1/Brip1/Pogz/Mad2l1/Akap8l/Cenpc1/Ncapg2/Bub1b/Mcmbp/Lats1/Seh1l/Spice1/Top2b/Esco2/Plk1/Sgo2a/Dsn1/Pds5b/Ncapg/Dis3l2/Spc25/Aurkb/Brca2/Rad21/Kif2c/Kif22/Cdc6/Sgo1/Ttk/Ect2/Cdk5rap2/Knl1/Smc1a/Mei1/Cdc20/Dscc1/Atm/Ndc80/Fancd2/Ncapd2/Cenpe/Espl1/Nusap1/Rad21l/Nuf2/Cenpf/Rb1/Fbxo5/Sirt2/Rad51c/Rmi2/Kif18b/Cit/Racgap1/Gen1/Prc1/Ncaph/Zcwpw1/Kif14/Dmc1/Kif23/Top2a/Knstrn/Kash5/Msh5/Tex12
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	81	0.664169224313014	2.0597660594501	1.66955154663393e-07	9.67338166119698e-05	8.25637175377494e-05	1516	tags=42%, list=11%, signal=38%	Pcdh15/Pecam1/Cadm3/Cdh20/Clstn2/Cdh22/Cdhr3/Pcdh1/Pcdha9/Pcdh19/Kirrel3/Ret/Cdh5/Cdh2/Cdh23/Nrcam/Dsc2/Esam/L1cam/Pik3cb/Dscaml1/Celsr3/Igfn1/Pcdhb6/Sdk1/Pcdh10/Cdh6/Dscam/Fat4/Nectin1/Ptprm/Myot/Mypn/Nptn
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	152	0.577173751833107	1.89925876725946	1.66136421580412e-07	9.67338166119698e-05	8.25637175377494e-05	1546	tags=36%, list=11%, signal=32%	Pcdh15/Jaml/Pecam1/Mmp24/Cadm3/Cdh20/Selp/Adgrl3/Clstn2/Unc5d/Cdh22/Cdhr3/Ntng2/Pcdh1/Pcdha9/Sele/Lrrc4c/Mdga2/Pcdh19/Mpz/Kirrel3/Ret/Cdh5/Cdh2/Cd24a/Cdh23/Nrcam/Dsc2/Esam/Epcam/L1cam/Pik3cb/Dscaml1/Celsr3/Grid2/Igfn1/Pcdhb6/Sdk1/Nlgn1/Pcdh10/Mdga1/Cldn1/Wnk1/Nrxn1/Cdh6/Colec10/Dscam/Fat4/Nectin1/Ptprm/Myot/Mypn/Nptn/Ptprd
