ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0007059	chromosome segregation	295	-0.767784860267996	-3.3473536762897	1e-10	4.36212121212121e-09	3.39234449760766e-09	808	tags=45%, list=6%, signal=43%	Smc6/Brca2/Pum2/Kpnb1/Macroh2a1/Mis12/Gem/Usp44/Stag2/Naa50/Hnrnpu/Spc24/Akap8/Bub3/Zcwpw1/Nup62/Baz1b/Sfpq/Nek11/Rrs1/Pds5b/Ran/Nde1/Slf1/Nup43/Ndc1/Smc3/Cep85/Zw10/Mei1/Smc1b/Mcmbp/Slf2/Rcc2/Ncapd3/Rad51c/Cenpc1/Kntc1/Terf1/Ska2/Rad21/Ctcf/Rad18/Pmf1/Ccne1/Psmc3ip/Msh5/Cep192/Zwint/Ska1/Zwilch/Fancd2/Recql4/Ncapd2/Chtf18/Gen1/Cenpk/Stag1/Cit/Ddx11/Cenpt/Cdt1/Cenph/Cenps/Cenpq/Fen1/Ccne2/Cenpw/Eme1/Bub1/Cenpn/Ska3/Smc2/Cdca8/Trip13/Ube2c/Nsl1/Smc4/Brip1/Incenp/Fam83d/Ncapg2/Ncaph/Dsn1/Fancm/Nek2/Mis18a/Spc25/Knstrn/Ccnb1/Bub1b/Birc5/Spdl1/Spag5/Mad2l1/Cenpe/Cdca2/Kif18a/Haspin/Kif22/Ncapg/Nusap1/Ndc80/Kif18b/Nuf2/Dlgap5/Top2a/Racgap1/Oip5/Espl1/Ttk/Rmi2/Tacc3/Kif14/Ect2/Brca1/Prc1/Knl1/Cdc20/Cenpf/Dscc1/Cdca5/Sgo1/Mki67/Cdc6/Kif23/Kif2c/Aurkb/Plk1/Hjurp/Sgo2a/Esco2/Fbxo5
GO:0098813	nuclear chromosome segregation	236	-0.774448875837063	-3.30992059394302	1e-10	4.36212121212121e-09	3.39234449760766e-09	1110	tags=46%, list=8%, signal=43%	Kpnb1/Macroh2a1/Mis12/Gem/Usp44/Stag2/Naa50/Hnrnpu/Spc24/Akap8/Bub3/Zcwpw1/Nup62/Baz1b/Sfpq/Rrs1/Pds5b/Ran/Slf1/Ndc1/Smc3/Zw10/Mei1/Smc1b/Mcmbp/Slf2/Rcc2/Ncapd3/Rad51c/Cenpc1/Kntc1/Terf1/Rad21/Ccne1/Psmc3ip/Msh5/Cep192/Zwint/Zwilch/Fancd2/Recql4/Ncapd2/Gen1/Cenpk/Stag1/Cit/Ddx11/Cdt1/Cenps/Cenpq/Fen1/Ccne2/Eme1/Bub1/Smc2/Cdca8/Trip13/Ube2c/Nsl1/Smc4/Brip1/Incenp/Fam83d/Ncapg2/Ncaph/Dsn1/Fancm/Nek2/Spc25/Knstrn/Ccnb1/Bub1b/Birc5/Spdl1/Spag5/Mad2l1/Cenpe/Kif18a/Haspin/Kif22/Ncapg/Nusap1/Ndc80/Kif18b/Nuf2/Top2a/Racgap1/Espl1/Ttk/Rmi2/Tacc3/Kif14/Ect2/Prc1/Knl1/Cdc20/Cenpf/Dscc1/Cdca5/Sgo1/Cdc6/Kif23/Kif2c/Aurkb/Plk1/Sgo2a/Esco2/Fbxo5
GO:0006261	DNA-templated DNA replication	136	-0.819729626839486	-3.24625992196131	1e-10	4.36212121212121e-09	3.39234449760766e-09	1262	tags=57%, list=9%, signal=52%	Baz1a/Rfwd3/Mettl4/Helb/Rfc3/Brca2/Pole3/Poln/Orc6/Atr/Alyref/Prim2/Wdr18/Zranb3/Rpa1/Gins4/Mcmbp/Cdc7/Etaa1/Nucks1/Rfc2/Cdk2/Pold3/Ccne1/Topbp1/Mgme1/Gins2/Rfc4/Atad5/Pole/Gins3/Pold1/Blm/Tipin/Mms22l/Recql4/Pola2/Chtf18/Rad51/Rfc5/Rrm1/Gen1/Orc1/Pola1/Lig1/Pcna/Cdt1/Wdhd1/Mcm2/Cenps/Timeless/Tonsl/Ccne2/Eme1/Pole2/Mcm3/Zgrf1/Mcm7/Prim1/Fam111a/Dbf4/Mcm6/Fancm/Mcm4/Mcm5/Traip/Mcm10/Gins1/Cdc45/Polq/E2f7/Ticrr/Dscc1/Cdc6/E2f8/Dna2/Fbxo5
GO:0006260	DNA replication	258	-0.753017388732511	-3.23084725388902	1e-10	4.36212121212121e-09	3.39234449760766e-09	1586	tags=51%, list=12%, signal=46%	Jun/Rfc1/Wrnip1/Ctc1/Donson/Pold2/Supt16/Pds5a/Ccdc88a/Usp37/Trp53/Ttf1/Id3/Rbbp4/Twnk/Rbbp7/Nfic/Actl6a/Baz1a/Ruvbl2/Ing5/Rfwd3/Mettl4/Helb/Ssrp1/Rfc3/Brca2/Gli2/Uchl5/Cacybp/Atf1/Pole3/Dnajc2/Poln/Orc6/Grwd1/Atr/Alyref/Meaf6/Mcm8/Prim2/Dhx9/Met/Smc3/Wdr18/Zranb3/Cdan1/Rpa1/Gins4/Rpa3/Mcmbp/Cdc7/Etaa1/Obi1/Nucks1/Gli1/Terf1/Rfc2/Cdk2/Pold3/Ccne1/Polh/Topbp1/Jade3/Mgme1/Gins2/Rfc4/Rpa2/Atad5/Pole/Gins3/Pold1/Blm/Tipin/Mms22l/Recql4/Pola2/Chtf18/Rad51/Rfc5/Rrm1/Gen1/Orc1/Pola1/Ddx11/Chaf1b/Lig1/Pcna/Cdt1/Wdhd1/Mcm2/Cenps/Timeless/Tonsl/Fen1/Gmnn/Ccne2/Nasp/Eme1/Pole2/Mcm3/Zgrf1/Mcm7/Dtl/Prim1/Fam111a/Cdk1/Dbf4/Chaf1a/Mcm6/Fancm/Mcm4/Mcm5/Traip/Mcm10/Gins1/Cdc45/Pclaf/Polq/Rmi2/E2f7/Ticrr/Dscc1/Pif1/Cdc6/Rrm2/E2f8/Ccna2/Esco2/Dna2/Fbxo5
GO:0000819	sister chromatid segregation	174	-0.794843809635031	-3.22519923150613	1e-10	4.36212121212121e-09	3.39234449760766e-09	1110	tags=49%, list=8%, signal=46%	Kpnb1/Macroh2a1/Mis12/Usp44/Stag2/Naa50/Hnrnpu/Akap8/Bub3/Nup62/Baz1b/Sfpq/Rrs1/Pds5b/Ran/Slf1/Smc3/Zw10/Smc1b/Mcmbp/Slf2/Ncapd3/Rad51c/Cenpc1/Kntc1/Rad21/Cep192/Zwint/Zwilch/Recql4/Ncapd2/Gen1/Cenpk/Stag1/Cit/Ddx11/Cdt1/Fen1/Bub1/Smc2/Cdca8/Trip13/Ube2c/Nsl1/Smc4/Incenp/Ncapg2/Ncaph/Dsn1/Nek2/Knstrn/Ccnb1/Bub1b/Birc5/Spdl1/Spag5/Mad2l1/Cenpe/Kif18a/Haspin/Kif22/Ncapg/Nusap1/Ndc80/Kif18b/Nuf2/Top2a/Racgap1/Espl1/Ttk/Rmi2/Tacc3/Kif14/Prc1/Cdc20/Dscc1/Cdca5/Sgo1/Cdc6/Kif23/Kif2c/Aurkb/Plk1/Sgo2a/Esco2/Fbxo5
GO:0000070	mitotic sister chromatid segregation	151	-0.794759625764514	-3.19804397277074	1e-10	4.36212121212121e-09	3.39234449760766e-09	1110	tags=50%, list=8%, signal=46%	Kpnb1/Macroh2a1/Mis12/Usp44/Naa50/Hnrnpu/Akap8/Bub3/Nup62/Baz1b/Rrs1/Pds5b/Ran/Slf1/Smc3/Zw10/Smc1b/Slf2/Ncapd3/Cenpc1/Kntc1/Rad21/Cep192/Zwint/Zwilch/Ncapd2/Gen1/Cenpk/Cit/Cdt1/Bub1/Smc2/Cdca8/Trip13/Ube2c/Nsl1/Smc4/Incenp/Ncapg2/Ncaph/Dsn1/Nek2/Knstrn/Ccnb1/Bub1b/Birc5/Spdl1/Spag5/Mad2l1/Cenpe/Kif18a/Haspin/Kif22/Ncapg/Nusap1/Ndc80/Kif18b/Nuf2/Racgap1/Espl1/Ttk/Tacc3/Kif14/Prc1/Cdc20/Dscc1/Cdca5/Sgo1/Cdc6/Kif23/Kif2c/Aurkb/Plk1/Sgo2a/Fbxo5
GO:0140014	mitotic nuclear division	254	-0.712324534885017	-3.0673106484461	1e-10	4.36212121212121e-09	3.39234449760766e-09	1110	tags=39%, list=8%, signal=36%	Kpnb1/Macroh2a1/Sphk1/Cep97/Fgfr2/Mis12/Phip/Usp44/Stag2/Naa50/Hnrnpu/Akap8/Bub3/Nup62/Baz1b/Rrs1/Pds5b/Ran/Nde1/Slf1/Met/Smc3/Reep4/Cep85/Zw10/Smc1b/Slf2/Mtbp/Ncapd3/Cenpc1/Ube2s/Kntc1/Ranbp1/Mzt1/Rad21/Ccsap/Cep192/Zwint/Zwilch/Ncapd2/Gen1/Cenpk/Stag1/Cit/Cdt1/Aurka/Bub1/Smc2/Cdca8/Chek1/Trip13/Ube2c/Nsl1/Smc4/Incenp/Ncapg2/Ncaph/Dsn1/Tpx2/Nek2/Knstrn/Ccnb1/Bub1b/Birc5/Spdl1/Spag5/Mad2l1/Cenpe/Cdca2/Kif18a/Mybl2/Haspin/Kif22/Ncapg/Nusap1/Ndc80/Kif20b/Kif18b/Nuf2/Racgap1/Bora/Espl1/Ttk/Tacc3/Kif14/Prc1/Cdc20/Dscc1/Cdca5/Sgo1/Mki67/Cdc6/Kif23/Kif2c/Aurkb/Kif11/Plk1/Sgo2a/Fbxo5
GO:0000280	nuclear division	365	-0.685133002701235	-3.03681306271338	1e-10	4.36212121212121e-09	3.39234449760766e-09	1110	tags=36%, list=8%, signal=34%	Kpnb1/Macroh2a1/Sphk1/Cep97/Fgfr2/Mis12/Phip/Usp44/Stag2/Naa50/Hnrnpu/Akap8/Bub3/Zcwpw1/Nup62/Cdc25b/Baz1b/Rrs1/Suv39h2/Pds5b/Ran/Nde1/Slf1/Ndc1/Cyp26b1/Met/Smc3/Reep4/Cep85/Zw10/Mei1/Smc1b/Fignl1/Fzr1/Slf2/Mtbp/Ncapd3/Rad51c/Cenpc1/Ube2s/Kntc1/Ranbp1/Terf1/Mzt1/Rad21/Ccne1/Topbp1/Psmc3ip/Msh5/Ccsap/Rad54l/Cep192/Zwint/Zwilch/Fancd2/Ncapd2/Chtf18/Rad51/Mnd1/Gen1/Fanca/Cenpk/Stag1/Cit/Cdt1/Rad51ap1/Cenps/Ccne2/Eme1/Aurka/Bub1/Smc2/Cdca8/Chek1/Trip13/Ube2c/Nsl1/Smc4/Cks2/Rad54b/Brip1/Incenp/Ncapg2/Ncaph/Dsn1/Fancm/Tpx2/Nek2/Knstrn/Ccnb1/Bub1b/Birc5/Mastl/Spdl1/Spag5/Mad2l1/Cenpe/Cdca2/Kif18a/Mybl2/Haspin/Kif22/Ncapg/Nusap1/Ndc80/Kif20b/Kif18b/Nuf2/Top2a/Racgap1/Bora/Espl1/Ttk/Tacc3/Kif14/Prc1/Aspm/Cdc20/Dscc1/Cdca5/Sgo1/Mki67/Cdc6/Kif23/Kif2c/Aurkb/Kif11/Ccnb2/Plk1/Sgo2a/Fbxo5
GO:0051983	regulation of chromosome segregation	86	-0.819381499256299	-3.00709678141783	1e-10	4.36212121212121e-09	3.39234449760766e-09	588	tags=45%, list=4%, signal=44%	Zw10/Rcc2/Ncapd3/Kntc1/Rad21/Rad18/Cep192/Zwint/Zwilch/Ncapd2/Chtf18/Gen1/Cit/Cdt1/Bub1/Smc2/Trip13/Ube2c/Smc4/Ncapg2/Ncaph/Ccnb1/Bub1b/Birc5/Spdl1/Mad2l1/Cenpe/Cdca2/Ncapg/Ndc80/Ttk/Rmi2/Tacc3/Mki67/Cdc6/Kif2c/Aurkb/Plk1/Fbxo5
GO:0007051	spindle organization	173	-0.732289090224604	-2.96427758514407	1e-10	4.36212121212121e-09	3.39234449760766e-09	1110	tags=32%, list=8%, signal=30%	Kpnb1/Haus1/Cep97/Stag2/Hnrnpu/Pcnt/Haus8/Nup62/Ckap5/Haus6/Cenpj/Smc3/Mei1/Aurkc/Haus5/Ranbp1/Mzt1/Wdr62/Poc1a/Ccsap/Cep192/Haus4/Stag1/Aunip/Cenph/Gpsm2/Cep72/Aurka/Incenp/Tpx2/Nek2/Stmn1/Spc25/Knstrn/Ccnb1/Spag5/Cenpe/Kif4/Mybl2/Stil/Ndc80/Nuf2/Dlgap5/Racgap1/Bora/Espl1/Tacc3/Prc1/Aspm/Cdc20/Kif23/Aurkb/Kif11/Ccnb2/Plk1/Fbxo5
