ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0000070	mitotic sister chromatid segregation	162	-0.669663558027631	-2.48473925943139	1e-10	2.13076923076923e-08	1.85182186234818e-08	1234	tags=28%, list=8%, signal=26%	RAD21L1/KIF22/SMC4/NCAPD2/ZWINT/CDT1/CENPK/MAD2L1/RACGAP1/CENPE/TRIP13/NCAPG2/HASPIN/FBXO5/ESPL1/PSRC1/KIF23/CDC6/SGO2/CDCA5/KIF2C/TACC3/SPAG5/CENPF/CCNB1/TTK/NCAPG/SGO1/KIF4A/PRC1/UBE2C/PLK1/KIF14/NEK2/CDCA8/BUB1/NUF2/BUB1B/NCAPH/CDC20/KIFC1/NDC80/DLGAP5/AURKB/KIF18B
GO:0000819	sister chromatid segregation	187	-0.653997320627541	-2.48045938321905	1e-10	2.13076923076923e-08	1.85182186234818e-08	733	tags=26%, list=5%, signal=25%	RAD21L1/KIF22/SMC4/NCAPD2/ZWINT/CDT1/CENPK/AXIN2/MAPK15/MAD2L1/RACGAP1/CENPE/TRIP13/NCAPG2/HASPIN/FBXO5/ESPL1/PSRC1/KIF23/CDC6/SGO2/CDCA5/KIF2C/TACC3/SPAG5/CENPF/CCNB1/TTK/NCAPG/ESCO2/SGO1/KIF4A/PRC1/UBE2C/PLK1/KIF14/TOP2A/NEK2/CDCA8/BUB1/NUF2/BUB1B/NCAPH/CDC20/KIFC1/NDC80/DLGAP5/AURKB/KIF18B
GO:0042254	ribosome biogenesis	293	0.556662814550116	2.43921906163011	1e-10	2.13076923076923e-08	1.85182186234818e-08	3704	tags=56%, list=25%, signal=43%	RRP12/PINX1/RRS1/NOL6/MPV17L2/RCL1/RRP9/GTPBP4/USP36/RRP15/BYSL/DCAF13/RPS27L/ZNF622/WDR43/BOP1/EIF6/FBLL1/NOP2/MYBBP1A/GNL2/NSUN5/PDCD11/SRFBP1/NIFK/DDX21/NHP2/TFB1M/FTSJ3/UTP3/RRP36/EXOSC1/POP5/NVL/MRM3/MRTO4/NOC2L/FDXACB1/NPM3/GTF3A/URB2/IMP4/WDR12/MAK16/DDX31/BUD23/DDX49/PELP1/MRPS11/URB1/RPF2/PES1/WDR3/RRN3/NOP56/NOP58/PA2G4/FRG1/WDR74/MRPL20/LSG1/PAK1IP1/RPS19/UTP14A/DIS3/LTO1/DDX10/DHX29/NOP10/DIMT1/FASTKD2/NOP16/LTV1/RIOK1/EBNA1BP2/TBL3/NOP14/RPUSD2/EXOSC5/RIOX2/RRP8/NGRN/ZNHIT6/NLE1/WDR46/SURF6/RRP1/RPP40/PIN4/WDR75/ERAL1/WDR36/UTP4/BMS1/UTP15/RIOK3/SLX9/ZCCHC4/REXO4/SDAD1/POP4/DDX56/POP7/CHD7/SIRT7/RPF1/ABCE1/GNL3L/UTP11/C1QBP/ESF1/MRM1/DDX52/TFB2M/RRP1B/RRP7A/UTP6/NUP88/MTG2/GAR1/MPHOSPH6/RPLP0P6/MRPS7/EFL1/TSR3/NOL9/RAN/NIP7/DHX37/DDX28/LAS1L/UTP20/DDX18/RPL27/MPHOSPH10/IMP3/RPL35/SBDS/TSR1/NOLC1/MRPL36/NOP9/RIOK2/ISG20L2/YBEY/RPUSD1/DDX54/EMG1/NGDN/SART1/NMD3/DDX27/PWP1/AATF/NSUN3/UTP23/SHQ1/MDN1/SNU13/DHX30/TENT4B/HELQ/NAF1/BRIX1/HEATR1
GO:0044784	metaphase/anaphase transition of cell cycle	61	-0.753662698985455	-2.4323805958271	1e-10	2.13076923076923e-08	1.85182186234818e-08	878	tags=33%, list=6%, signal=31%	ZWINT/CDT1/MAPK15/MAD2L1/CENPE/TRIP13/FBXO5/ESPL1/CDC6/TACC3/CENPF/CCNB1/TTK/UBE2C/PLK1/BUB1/BUB1B/NDC80/DLGAP5/AURKB
GO:0051983	regulation of chromosome segregation	82	-0.720450238276092	-2.43167663123269	1e-10	2.13076923076923e-08	1.85182186234818e-08	878	tags=28%, list=6%, signal=27%	ZWINT/CDT1/MAPK15/MAD2L1/CENPE/TRIP13/FBXO5/ESPL1/CDC6/CDCA2/KIF2C/TACC3/CENPF/CCNB1/TTK/UBE2C/PLK1/BUB1/BUB1B/NDC80/DLGAP5/MKI67/AURKB
GO:0051306	mitotic sister chromatid separation	63	-0.748668815847888	-2.42405412712967	1e-10	2.13076923076923e-08	1.85182186234818e-08	878	tags=30%, list=6%, signal=28%	ZWINT/CDT1/MAD2L1/CENPE/TRIP13/FBXO5/ESPL1/CDC6/TACC3/CENPF/CCNB1/TTK/UBE2C/PLK1/BUB1/BUB1B/NDC80/DLGAP5/AURKB
GO:0007059	chromosome segregation	299	-0.607166995571989	-2.42126496635342	1e-10	2.13076923076923e-08	1.85182186234818e-08	1255	tags=22%, list=8%, signal=21%	RMI1/RAD21L1/PLSCR1/KIF22/SYCP2/SMC4/INCENP/NCAPD2/ZWINT/CDT1/BRCA1/CENPK/AXIN2/MAPK15/MAD2L1/RACGAP1/CENPE/TRIP13/NCAPG2/HASPIN/FBXO5/FANCD2/FAM83D/ESPL1/PSRC1/KIF23/CDC6/CENPH/CDCA2/SGO2/CDCA5/SKA3/KIF2C/TACC3/SPAG5/CENPF/CCNB1/SPC24/CCNE2/TTK/DMC1/NCAPG/SKA1/ESCO2/SGO1/KIF4A/PRC1/UBE2C/SPC25/PLK1/KIF14/TOP2A/NEK2/CDCA8/BUB1/NUF2/BUB1B/KNL1/NCAPH/CDC20/KIFC1/NDC80/DLGAP5/MKI67/AURKB/HJURP/KIF18B
GO:0051304	chromosome separation	86	-0.710865292613786	-2.41718399548851	1e-10	2.13076923076923e-08	1.85182186234818e-08	1255	tags=28%, list=8%, signal=26%	RMI1/PLSCR1/ZWINT/CDT1/MAPK15/MAD2L1/CENPE/TRIP13/FBXO5/ESPL1/CDC6/TACC3/CENPF/CCNB1/TTK/UBE2C/PLK1/TOP2A/BUB1/BUB1B/NCAPH/NDC80/DLGAP5/AURKB
GO:0010965	regulation of mitotic sister chromatid separation	60	-0.749929796580748	-2.41482911351936	1e-10	2.13076923076923e-08	1.85182186234818e-08	878	tags=32%, list=6%, signal=30%	ZWINT/CDT1/MAD2L1/CENPE/TRIP13/FBXO5/ESPL1/CDC6/TACC3/CENPF/CCNB1/TTK/UBE2C/PLK1/BUB1/BUB1B/NDC80/DLGAP5/AURKB
GO:0033045	regulation of sister chromatid segregation	66	-0.739769913915961	-2.41452011908558	1e-10	2.13076923076923e-08	1.85182186234818e-08	878	tags=30%, list=6%, signal=29%	ZWINT/CDT1/MAPK15/MAD2L1/CENPE/TRIP13/FBXO5/ESPL1/CDC6/TACC3/CENPF/CCNB1/TTK/UBE2C/PLK1/BUB1/BUB1B/NDC80/DLGAP5/AURKB
