ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0051607	defense response to virus	215	0.568401548278708	1.92085315547345	3.84676709682807e-08	0.000108536533637004	9.75459151185139e-05	1247	tags=16%, list=9%, signal=15%	Itgax/Ccl5/Oasl1/Rsad2/Ptpn22/Ifit1/Cxcl10/Ifit3b/Ifit3/Ddx60/Oasl2/Zbp1/Isg15/Spn/Mx2/Pmaip1/Fgl2/Rtp4/Cd40/Ifi27l2b/Il15/Gbp7/Cd37/Ifih1/Dhx58/Trim34a/Oas1a/Pml/Unc13d/Apobec1/Trim11/Nlrp3/Oas3/Irf7
GO:0140546	defense response to symbiont	215	0.568401548278708	1.92085315547345	3.84676709682807e-08	0.000108536533637004	9.75459151185139e-05	1247	tags=16%, list=9%, signal=15%	Itgax/Ccl5/Oasl1/Rsad2/Ptpn22/Ifit1/Cxcl10/Ifit3b/Ifit3/Ddx60/Oasl2/Zbp1/Isg15/Spn/Mx2/Pmaip1/Fgl2/Rtp4/Cd40/Ifi27l2b/Il15/Gbp7/Cd37/Ifih1/Dhx58/Trim34a/Oas1a/Pml/Unc13d/Apobec1/Trim11/Nlrp3/Oas3/Irf7
GO:0060070	canonical Wnt signaling pathway	249	-0.445115144799443	-1.80901064769619	1.74672282039381e-07	0.000302209718155291	0.000271607379813311	1378	tags=20%, list=10%, signal=19%	Siah2/Fzd6/Nphp3/Cthrc1/Bcl9/Tcf7l1/Prickle1/Gpc3/Porcn/Tbl1xr1/Dkk3/Rbms3/Plekha4/Bicc1/Mgat3/Fzd2/Bcl9l/Reck/Plpp3/Tmem64/Trpm4/Fzd1/Tpbg/Gli1/Ptpru/Fgfr2/Thra/Cdh1/Fzd4/Scel/Egr1/Grem1/Wnt4/Daam2/Ednra/Sostdc1/Cdh3/Tle2/Draxin/Dact1/Fgf10/Nkd1/Nkd2/Tbx18/Nog/Rspo2/Tnn/Sfrp1/Lgr5/Ednrb/Rspo3
GO:0001655	urogenital system development	302	-0.414438675796955	-1.71242312388278	2.14219187067369e-07	0.000302209718155291	0.000271607379813311	1475	tags=24%, list=11%, signal=22%	Ahr/Aldh1a2/Bmper/Angpt2/Id3/Wdpcp/Rdh10/Nphp3/Nfia/Osr1/Timeless/Gpc3/Tgfbr1/Bicc1/Arid5b/Maged1/Smad6/C1galt1/Irx1/Vangl2/Hs3st3a1/Pbx1/Pkhd1/Agtr1b/Hs3st3b1/Ephb3/Pdgfrb/Cys1/Foxc1/Fgfr2/Pdgfra/Hdac5/Schip1/Bmp4/Cdkn1b/Ephb2/Spry1/Egr1/Grem1/Lama5/Wnt4/Cdkn1c/Slit2/Sox8/Ace/Ednra/Mtss1/Robo2/Ovol1/Hoxc11/Itga8/Rbp4/Plce1/Id4/Kif26b/Fgf10/Igf1/Serpinb5/Tbx18/Nog/Adamts1/Dll1/Gli2/Klf15/Sim1/Ret/Agtr1a/Gsta3/Tacstd2/Sfrp1/Lgr5/Agt/Ednrb
GO:0001649	osteoblast differentiation	173	-0.489235365055271	-1.89956254972636	3.50860009324441e-07	0.000395980606523564	0.000355882847352665	1867	tags=34%, list=13%, signal=29%	Id1/Spp1/Fignl1/H3f3a/Lox/Pthlh/Twist2/Lrp3/Bmpr1a/Ahr/Atf4/Id3/Asf1a/Sema4d/Ccn4/Cthrc1/Rassf2/Acvr2a/Ccn1/Smad6/H3f3b/Glis1/Ifi204/Tmem64/Trpm4/Fzd1/Il6/Tnfaip6/Gli1/Jund/Il6st/Hdac5/Chrd/Shox2/Bmp4/Sp7/Grem1/Junb/Wnt4/Fbxo5/Sox8/Cebpa/Cebpb/Fbn2/Id4/Sox11/Tmem119/Smoc1/Igf1/Tgfbr3/Cebpd/Nog/Gli2/Rspo2/Tnn/Pth1r/Igfbp5/Sfrp1
GO:0009615	response to virus	256	0.519395458267	1.77832571711041	8.3040129709384e-07	0.000780992419916757	0.000701907622701425	1247	tags=15%, list=9%, signal=14%	Itgax/Ccl5/Oasl1/Rsad2/Ptpn22/Ifit1/Cxcl10/Ifit3b/Ifit3/Ddx60/Oasl2/Zbp1/Isg15/Spn/Mx2/Pmaip1/Fgl2/Rtp4/Cd40/Tgtp1/Ifi27l2b/Hyal1/Il15/Gbp7/Cd37/Ifih1/Dhx58/Trim34a/Igtp/Oas1a/Pml/Unc13d/Apobec1/Trim11/Itgb6/Nlrp3/Oas3/Vwce/Irf7
GO:0072001	renal system development	270	-0.418944740544708	-1.72622203579441	1.01723390662767e-06	0.000820035847871421	0.000736997437914605	1475	tags=25%, list=11%, signal=23%	Ahr/Aldh1a2/Bmper/Angpt2/Id3/Wdpcp/Rdh10/Nphp3/Nfia/Osr1/Timeless/Gpc3/Tgfbr1/Bicc1/Arid5b/Maged1/Smad6/C1galt1/Irx1/Vangl2/Hs3st3a1/Pbx1/Pkhd1/Agtr1b/Hs3st3b1/Pdgfrb/Cys1/Foxc1/Fgfr2/Pdgfra/Hdac5/Schip1/Bmp4/Spry1/Egr1/Grem1/Lama5/Wnt4/Cdkn1c/Slit2/Sox8/Ace/Ednra/Mtss1/Robo2/Ovol1/Hoxc11/Itga8/Rbp4/Plce1/Kif26b/Fgf10/Tbx18/Nog/Adamts1/Dll1/Gli2/Klf15/Sim1/Ret/Agtr1a/Gsta3/Tacstd2/Sfrp1/Lgr5/Agt/Ednrb
GO:0060828	regulation of canonical Wnt signaling pathway	210	-0.447917447007725	-1.79924069928799	1.26968517571331e-06	0.000895604180818774	0.000804913575866672	1446	tags=20%, list=10%, signal=18%	Cdk14/Siah2/Fzd6/Nphp3/Cthrc1/Prickle1/Gpc3/Tbl1xr1/Dkk3/Rbms3/Plekha4/Bicc1/Reck/Tmem64/Trpm4/Fzd1/Tpbg/Gli1/Ptpru/Fgfr2/Thra/Cdh1/Fzd4/Scel/Egr1/Grem1/Daam2/Sostdc1/Cdh3/Tle2/Draxin/Dact1/Fgf10/Nkd1/Nkd2/Tbx18/Nog/Rspo2/Tnn/Sfrp1/Lgr5/Rspo3
GO:0001503	ossification	324	-0.395907901771723	-1.65209641803401	2.28195276251336e-06	0.00143078438209587	0.00128590039880577	1808	tags=29%, list=13%, signal=26%	Spp1/Fignl1/H3f3a/Lox/Plxnb1/Pthlh/Twist2/Gfra4/Adamts12/Lrp3/Bmpr1a/Ahr/Atf4/Id3/Asf1a/Dhrs3/Sema4d/Clec11a/Suv39h1/Ccn4/Cthrc1/Col2a1/Osr1/Rassf2/Tmem38b/Acvr2a/Gpc3/Ccn1/Smad6/H3f3b/Runx1/Hif1a/Glis1/Pbx1/Ifi204/Tmem64/Trpm4/Fzd1/Fbxl15/Tnfrsf11a/Il6/Tnfaip6/Gli1/Jund/Foxc1/Ifitm1/Il6st/Fgfr2/Hdac5/Chrd/Thra/Shox2/Xylt1/Bmp4/Sp7/Grem1/Egr2/Junb/Wnt4/Csgalnact1/Slc8a1/Fbxo5/Atp6v1b1/Sox8/Cebpa/Pkdcc/Cebpb/Mtss1/Vdr/Ppargc1b/Mgp/Fbn2/Tac1/Id4/Sox11/Tmem119/Smoc1/Igf1/Tgfbr3/Cebpd/Nog/Gli2/Rspo2/Comp/Tnn/Igsf10/Lrrc17/Ptn/Pth1r/Stc1/Igfbp5/Alpl/Sfrp1/Aspn
GO:0006261	DNA-templated DNA replication	141	-0.496732758190777	-1.88709621943806	3.47746233649103e-06	0.00196233199648189	0.00176362247760145	3427	tags=43%, list=25%, signal=32%	Rpain/Orc6/Mre11a/Exd2/Gins4/E2f7/Traip/Alyref/Topbp1/Eme1/Zfp830/Pole4/Cdk2/Mms22l/Cdt1/Mcm2/Lig3/Gins3/Etaa1/Donson/Alyref2/Kat7/Pola1/Blm/Wrnip1/Samhd1/Tipin/Mcm10/Rfc5/Mcmbp/Mettl4/Mcm4/Mcm9/Rfc3/Ticrr/Pold2/Mcm3/Mcm5/Wdhd1/Recql4/Timeless/Cdc6/Dna2/Helb/Pold3/Atad5/Cdc7/Pold1/Pcna/Lig1/Cdc45/Mcm6/Pole2/Gins1/Rfc4/Endog/Nuggc/Fbxo5/Dach1/Dscc1
