ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0006261	DNA-templated DNA replication	141	-0.616730497589968	-2.70947588704504	1e-10	1.88e-07	1.68947368421053e-07	2570	tags=52%, list=18%, signal=43%	Recql4/Topbp1/Baz1a/Fancm/Pole4/Upf1/Chtf18/Kat7/Mgme1/Twnk/Traip/Zfp830/Mre11a/Endog/Cdk2/Wrnip1/Brca2/Cdt1/Stoml2/Mcm7/Ddx21/Pola2/Helb/Lig3/Prim1/Gins3/Dnaja3/Fam111a/Dbf4/Rfc3/Orc1/Mcm9/Pole2/Orc6/Gen1/Pole/Alyref/Mcmbp/Donson/Polq/Timeless/Mms22l/Mcm10/Atad5/Wdhd1/Rfc5/Pola1/Cenps/Rfc4/Pold1/Ticrr/Ccne1/Mcm4/Tipin/Etaa1/Lig1/E2f7/Cdc7/Cdc45/Blm/Mcm5/Pcna/Mcm2/Mcm3/Dscc1/Pold3/Mcm6/E2f8/Pold2/Gins1/Cdc6/Ccne2/Dna2/Fbxo5
GO:0000819	sister chromatid segregation	174	-0.509469201870211	-2.32498985609024	1e-10	1.88e-07	1.68947368421053e-07	2771	tags=45%, list=19%, signal=37%	Phf13/Tacc3/Cdc26/Nudc/Zw10/Ncaph2/Top2a/Tubg1/Recql4/Baz1b/Dsn1/Ddx11/Cdc23/Mis12/Chmp6/Slf1/Mre11a/Kpnb1/Smarca5/Pds5b/Sgo2a/Hnrnpu/Nek2/Atm/Seh1l/Cdt1/Naa50/Pinx1/Naa10/Kif2c/Sfpq/Bub1/Cdca8/Smc3/Rad21/Gen1/Nup62/Mcmbp/Smc2/Mad2l1/Ncaph/Ran/Ndc80/Nsl1/Psmg2/Rrs1/Haspin/Ncapg/Incenp/Cdca5/Bub1b/Cenpk/Ncapd3/Eml4/Smc4/Racgap1/Birc5/Kif22/Spdl1/Plk1/Kif23/Ttk/Ncapg2/Nek6/Trip13/Sgo1/Stag1/Rad51c/Espl1/Dscc1/Nuf2/Fen1/Kif14/Cdc6/Aurkb/Esco2/Rmi2/Fbxo5
GO:0006399	tRNA metabolic process	167	-0.501301966729078	-2.28363357642973	1e-10	1.88e-07	1.68947368421053e-07	3353	tags=46%, list=23%, signal=36%	Lcmt2/Rars2/Ears2/Mettl2/Tprkb/Hsd17b10/Qrsl1/Gatb/Dus1l/Fars2/Thada/Iars/Dus2/Elac2/Rpp30/Dars/Mars2/Pop5/Farsa/Elp4/Ftsj1/Tarbp1/Thumpd1/Grsf1/Elp3/Lsm6/Rpusd4/Mars1/Lars/Aars/Pop7/Yars/Farsb/Rpp38/Slfn8/Trmo/Sars/Gatc/Trmt61a/Thg1l/Pus1/Tsen15/Dars2/Exosc3/Tars/Osgep/Trmt10c/Nsun2/Tsen2/Pars2/Ssb/Dtd1/Exosc8/Mto1/Rpp14/Pus7/Elp6/Ctu1/Qtrt1/Exosc7/Dus4l/Vars/Nat10/Nars2/Ctu2/Trmt11/Yars2/Trmt112/Exosc2/Qtrt2/Eprs/Wdr4/Pop1/Mettl1/Rpp40/Slfn9/Rpp25
GO:0007186	G protein-coupled receptor signaling pathway	389	0.548094915431101	1.63058713464067	1.9344228218442e-09	2.72753617880032e-06	2.45111733873153e-06	2607	tags=38%, list=18%, signal=32%	Agtr1b/Gna15/Areg/Tshr/Gpr20/Adcy8/Ccr1/Cxcr4/Gpr75/Sorl1/Vipr1/Lgr6/Sag/C5ar1/Gpr50/Pth2r/Camk2b/Olfr1314/Adra2b/Adora1/Ano1/Grm7/Ltb4r2/Adgrg5/Frmpd1/Cck/Glp2r/Cnr1/Nos1/Gpr149/Adgrv1/Olfr1318/Adgrg7/Gper1/Gpr4/Sort1/Rgs17/Akap5/Adgrg3/Adra2a/Spns2/Ecel1/Tac1/Cxcr6/Gpr68/Ccl5/Kctd12/Olfr920/Rxfp1/Adgrg1/Pde6h/Rgs9/Cngb1/Mgll/Edn2/Gprc5a/C3ar1/Rgs5/Qrfpr/Gnb4/Tafa5/Gpr45/Vmn1r43/Ucn2/Ereg/Pik3r5/Nppb/Gpr3/Ccl17/Kctd8/Adrb2/Adcy7/Adgrf5/Iqgap2/Acpp/Pomc/Dgka/Rgs20/Ptk2b/Cmklr1/Lpar2/Opn1sw/Homer3/P2ry6/Olfr456/Rgs12/Itgb3/Kctd12b/Camk2a/Ccl8/Rgs16/Nmb/Ptger4/Entpd1/Kcnk2/Calcrl/Rgs4/Gnat2/Ccl2/Npff/Adgrb2/Hcar1/Adra1b/Adgre5/Celsr3/Grk4/Rgs10/Akap12/Adgrl4/Adrb3/Ltb4r1/Dagla/Ramp1/Plcb1/Ramp3/Prokr2/Arrdc3/Tmod2/Gngt2/Abca1/Gng8/Hrh1/Gng2/Rpgrip1l/Vmn1r40/Tpra1/Kiss1r/Olfr78/Tas1r2/Gpr156/Ptger1/Esr1/Usp20/S1pr3/Adcy2/Pick1/Adcy9/Prex1/Gnaq/Cav1/Gna14/Itpr3/Anxa1/Mrgprd/Npy1r/Cish
GO:0032200	telomere organization	139	-0.492202798739922	-2.15705362331012	3.15654465617318e-09	2.96715197680279e-06	2.66644956481998e-06	2687	tags=38%, list=19%, signal=31%	Cct8/Nabp2/Cct5/Recql4/Cct3/Apex1/Cct6a/Upf1/Hnrnpa2b1/Ezh2/Dclre1b/Naf1/Mre11a/Dcp2/Actl6a/Hnrnpu/Nek2/Atm/Wrap53/Nhp2/Hat1/Brca2/Pinx1/Smc6/Telo2/Hus1/Slx1b/Parp1/H3f3b/Uchl5/Nat10/Ptges3/Xrcc6/Ruvbl1/Tinf2/Gnl3/Ruvbl2/Mcrs1/Nbn/Pif1/Rpa2/Ccne1/Blm/Rif1/Hnrnpd/Gar1/Pcna/Rad51c/Myc/Dkc1/Aurkb/Ccne2/Dna2
GO:0000070	mitotic sister chromatid segregation	151	-0.489490836585788	-2.15267774092308	3.11051159592906e-09	2.96715197680279e-06	2.66644956481998e-06	2771	tags=44%, list=19%, signal=36%	Phf13/Tacc3/Cdc26/Nudc/Zw10/Ncaph2/Tubg1/Baz1b/Dsn1/Cdc23/Mis12/Chmp6/Slf1/Kpnb1/Smarca5/Pds5b/Sgo2a/Hnrnpu/Nek2/Atm/Seh1l/Cdt1/Naa50/Pinx1/Naa10/Kif2c/Bub1/Cdca8/Smc3/Rad21/Gen1/Nup62/Smc2/Mad2l1/Ncaph/Ran/Ndc80/Nsl1/Psmg2/Rrs1/Haspin/Ncapg/Incenp/Cdca5/Bub1b/Cenpk/Ncapd3/Eml4/Smc4/Racgap1/Birc5/Kif22/Spdl1/Plk1/Kif23/Ttk/Ncapg2/Nek6/Trip13/Sgo1/Espl1/Dscc1/Nuf2/Kif14/Cdc6/Aurkb/Fbxo5
GO:0006270	DNA replication initiation	29	-0.7869015373077	-2.4988012873403	2.26729205560856e-08	1.61461692974998e-05	1.45098553877307e-05	1866	tags=79%, list=13%, signal=69%	Topbp1/Kat7/Cdk2/Wrnip1/Cdt1/Mcm7/Pola2/Prim1/Gins3/Orc1/Orc6/Mcm10/Pola1/Ticrr/Ccne1/Mcm4/Cdc45/Mcm5/Mcm2/Mcm3/Mcm6/Cdc6/Ccne2
GO:0000723	telomere maintenance	134	-0.484965405567899	-2.10126109955783	2.2902367797872e-08	1.61461692974998e-05	1.45098553877307e-05	2687	tags=37%, list=19%, signal=31%	Cct8/Nabp2/Cct5/Recql4/Cct3/Apex1/Cct6a/Upf1/Hnrnpa2b1/Dclre1b/Naf1/Mre11a/Dcp2/Actl6a/Hnrnpu/Nek2/Atm/Wrap53/Nhp2/Brca2/Pinx1/Smc6/Telo2/Hus1/Slx1b/Parp1/Uchl5/Nat10/Ptges3/Xrcc6/Ruvbl1/Tinf2/Gnl3/Ruvbl2/Mcrs1/Nbn/Pif1/Rpa2/Ccne1/Blm/Rif1/Hnrnpd/Gar1/Pcna/Rad51c/Myc/Dkc1/Aurkb/Ccne2/Dna2
GO:0000725	recombinational repair	149	-0.458876144613836	-2.03930270745044	4.04004781131465e-08	2.53176329509051e-05	2.27518482005614e-05	2891	tags=46%, list=20%, signal=37%	Psmd14/Rfwd3/Kdm1a/Nucks1/Ubqln4/Mad2l2/Rhno1/Morf4l2/Arid2/Rad51b/Nabp2/Recql4/Fancm/Inip/Ing3/Vps72/Rpa3/Mre11a/Rad54l/Morf4l1/Actl6a/Meaf6/Atm/Wrap53/Brca2/Mcm7/Smc6/Helb/Rev3l/Hus1/Slx1b/Spidr/Sfpq/Palb2/Hrob/Rad21/Nsmce1/Parp1/Rbbp8/Mcm9/Gen1/Parpbp/Brca1/Ruvbl1/Polq/Timeless/Mms22l/Ruvbl2/Aunip/Xrcc2/Nbn/Rpa2/Chek1/Mcm4/Cdc7/Cdc45/Blm/Rif1/H2ax/Mcm5/Mcm2/Mcm3/Cgas/Rad51c/Fignl1/Fancb/Rad51ap1/Mcm6/Rmi2
GO:0008033	tRNA processing	116	-0.487446224119756	-2.07728062691853	8.70782099435671e-08	4.91121104081719e-05	4.41349032503448e-05	3353	tags=42%, list=23%, signal=33%	Lcmt2/Mettl2/Tprkb/Hsd17b10/Dus1l/Fars2/Thada/Dus2/Elac2/Rpp30/Pop5/Elp4/Ftsj1/Tarbp1/Thumpd1/Grsf1/Elp3/Lsm6/Rpusd4/Aars/Pop7/Rpp38/Trmo/Trmt61a/Thg1l/Pus1/Tsen15/Osgep/Trmt10c/Nsun2/Tsen2/Ssb/Mto1/Rpp14/Pus7/Elp6/Ctu1/Qtrt1/Dus4l/Nat10/Ctu2/Trmt11/Trmt112/Qtrt2/Wdr4/Pop1/Mettl1/Rpp40/Rpp25
