ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001817	regulation of cytokine production	405	-0.438144179123883	-1.90510638831955	1e-10	5.262e-07	4.77789473684211e-07	1662	tags=29%, list=15%, signal=25%	Smad3/Nptn/Ddit3/App/Akap12/Nlrx1/Ager/Bsg/Src/Sulf1/Cuedc2/P2ry2/Rasgrp1/Bmpr1a/Rgcc/Appl2/Irak1/Hdac7/Per1/Flot1/Zc3hav1/Jak3/Ptger4/Axl/Klf2/Rabgef1/Hilpda/Ifnar1/Cactin/Prnp/Abcd1/Cd14/Tspo/Irf1/Hmox1/Cd34/Errfi1/Gba/Vsir/Hpse/Nfatc4/Scamp5/Ripk3/Gas6/Zfp36/Ly96/Litaf/Lrp1/Zc3h12a/Twist1/Cmklr1/Bst2/Atp2b1/Gata6/Lyn/Il6/Tnfrsf1a/Pla2r1/Lrrk2/Rab7b/Il17d/Sod1/Ifih1/Tnfsf9/Syt11/Trim56/Cyba/Ereg/Casp8/Ripk2/Socs5/Irf7/Irf5/Gpam/S1pr3/Gpsm3/Ephb2/Eif2ak2/Socs1/Lurap1/Nod1/Angpt1/Fzd5/Il4ra/Il1r1/Pde4b/Wnt5a/Heg1/Il17ra/Pparg/Isg15/Tlr6/Il6ra/Cd24a/Fbln1/F2r/Adora2b/Inhbb/Tlr3/Il27ra/Apod/Irak3/Nlrc3/Unc93b1/Lrrc32/P2rx7/Csf1r/Rel/F3/Cyp1b1/Sting1/Mapk13/Mapk11/Cxcl5/Il1rl1/Spon2/C3
GO:0001816	cytokine production	448	-0.419204237739565	-1.84013634769379	7.85711457852698e-10	2.06720684561045e-06	1.87702331957547e-06	1662	tags=28%, list=15%, signal=24%	Smad3/Nptn/Ddit3/App/Akap12/Nlrx1/Ager/Maf/Bsg/Src/Sulf1/Cuedc2/P2ry2/Rasgrp1/Bmpr1a/Rgcc/Appl2/Irak1/Hdac7/Per1/Flot1/Zc3hav1/Jak3/Ptger4/Axl/Klf2/Rabgef1/Hilpda/Ifnar1/Col3a1/Cactin/Prnp/Abcd1/Cd14/Tspo/Irf1/Hmox1/Irak4/Pcsk5/Cd34/Errfi1/Gba/Vsir/Hpse/Nfatc4/Scamp5/Ripk3/Gas6/Zfp36/Ly96/Litaf/Lrp1/Zc3h12a/Twist1/Cmklr1/Bst2/Atp2b1/Gata6/Lyn/Prkcd/Il6/Tnfrsf1a/Pla2r1/Lrrk2/Rab7b/Nfatc2/Il17d/Sod1/Ifih1/Tnfsf9/Syt11/Trim56/Cyba/Ereg/Casp8/Ripk2/Socs5/Irf7/Irf5/Mr1/Gpam/S1pr3/Gpsm3/Ephb2/Eif2ak2/Socs1/Lurap1/Nod1/Angpt1/Fzd5/Il4ra/Il1r1/Pde4b/Wnt5a/Heg1/Il17ra/Pparg/Isg15/Tlr6/Il6ra/Cd24a/Fbln1/F2r/Adora2b/Inhbb/Tlr3/Il27ra/Apod/Irak3/Nlrc3/Unc93b1/Lrrc32/P2rx7/Csf1r/Rel/F3/Cyp1b1/Sting1/Mapk13/Mapk11/Cxcl5/Il1rl1/Spon2/C3
GO:0006954	inflammatory response	359	-0.425742868862803	-1.82664134163895	1.36474606339328e-08	2.39376459519182e-05	2.17353767780425e-05	1837	tags=32%, list=17%, signal=27%	Tirap/Ext1/Rora/Tnfrsf1b/Gpx4/Bdkrb1/Cyp26b1/Pld3/Adam8/Il34/Nr1d1/Smad3/App/Socs3/Ptges/Rps6ka5/Nlrx1/Ager/Shpk/Vamp8/Cuedc2/Rasgrp1/Sbno2/Dusp10/Grn/Appl2/Hdac7/Lgals1/Itgb1/Per1/Ptger4/Myo5a/Axl/Rabgef1/Abhd12/Abcd1/Cd14/Smo/Ecm1/Hmox1/Hpse/Ifngr2/Fem1a/Sdc1/Ldlr/Aldh2/Zfp36/Ly96/Ctsc/Serpinf1/Lrp1/Csf1/Zc3h12a/Nkiras2/Cmklr1/Ccn3/Ptgfr/Timp1/Loxl3/Lyn/Il6/Tnfrsf1a/Clcf1/Lrrk2/Il17d/Sod1/Irak2/Syt11/Wfdc1/Cyba/Ulk4/Socs5/Irf5/S1pr3/Gpsm3/Ephb2/Pmp22/Apoe/Nfkbiz/Lxn/Il4ra/Il1r1/Wnt5a/Il17ra/Pparg/Slit2/Tbxa2r/Ptgir/Tlr6/Adcy1/Cd24a/Esr1/Rarres2/F8/F2r/Adora2b/Pstpip1/Ptgis/Tlr3/Nr1h3/Apod/Nlrc3/P2rx7/C1qtnf12/Itga2/Csf1r/Foxf1/Rel/F3/Sting1/Abi3bp/Cxcl5/Il1rl1/C3
GO:0032635	interleukin-6 production	84	-0.618666610500479	-2.19005624216039	2.13735780321627e-08	2.811694190131e-05	2.55301764968385e-05	796	tags=44%, list=7%, signal=41%	App/Nlrx1/Ager/Bsg/Klf2/Rabgef1/Gba/Gas6/Zc3h12a/Twist1/Il6/Tnfrsf1a/Rab7b/Il17d/Ifih1/Tnfsf9/Syt11/Cyba/Ereg/Ripk2/Socs5/Nod1/Wnt5a/Il17ra/Tlr6/Il6ra/Cd24a/F2r/Adora2b/Tlr3/Il27ra/Irak3/Nlrc3/Unc93b1/P2rx7/Mapk13/Spon2
GO:0032675	regulation of interleukin-6 production	79	-0.630780465520269	-2.21865500278311	3.35889680512063e-08	3.53490299770895e-05	3.20969107335632e-05	796	tags=47%, list=7%, signal=44%	App/Nlrx1/Ager/Bsg/Klf2/Rabgef1/Gba/Gas6/Zc3h12a/Twist1/Il6/Tnfrsf1a/Rab7b/Il17d/Ifih1/Tnfsf9/Syt11/Cyba/Ereg/Ripk2/Socs5/Nod1/Wnt5a/Il17ra/Tlr6/Il6ra/Cd24a/F2r/Adora2b/Tlr3/Il27ra/Irak3/Nlrc3/Unc93b1/P2rx7/Mapk13/Spon2
GO:0045214	sarcomere organization	26	0.832370032721616	2.34851560403773	5.79747389851483e-08	5.0843846089975e-05	4.61662000444891e-05	425	tags=38%, list=4%, signal=37%	Ttn/Myom2/Synpo2l/Casq1/Tnnt1/Neb/Fhod3/Mef2c/Ldb3/Edn1
GO:0032755	positive regulation of interleukin-6 production	54	-0.686191678718378	-2.28338000839514	6.88008101878245e-08	5.17185518869046e-05	4.69604326981256e-05	786	tags=39%, list=7%, signal=36%	Twist1/Il6/Rab7b/Il17d/Ifih1/Tnfsf9/Cyba/Ereg/Ripk2/Nod1/Wnt5a/Il17ra/Tlr6/Il6ra/F2r/Adora2b/Tlr3/Unc93b1/P2rx7/Mapk13/Spon2
GO:0001819	positive regulation of cytokine production	254	-0.452570670861996	-1.87303630848609	1.25141713774457e-07	8.23119622351492e-05	7.47392419502975e-05	1662	tags=30%, list=15%, signal=26%	Smad3/Ddit3/App/Akap12/Ager/Bsg/Src/Sulf1/P2ry2/Rasgrp1/Bmpr1a/Rgcc/Irak1/Flot1/Zc3hav1/Ptger4/Hilpda/Ifnar1/Cd14/Irf1/Cd34/Hpse/Nfatc4/Scamp5/Ly96/Lrp1/Twist1/Gata6/Il6/Tnfrsf1a/Pla2r1/Lrrk2/Rab7b/Il17d/Sod1/Ifih1/Tnfsf9/Trim56/Cyba/Ereg/Casp8/Ripk2/Irf7/Irf5/Gpsm3/Ephb2/Eif2ak2/Lurap1/Nod1/Fzd5/Il4ra/Il1r1/Pde4b/Wnt5a/Heg1/Il17ra/Isg15/Tlr6/Il6ra/F2r/Adora2b/Tlr3/Il27ra/Irak3/Unc93b1/P2rx7/Csf1r/Rel/F3/Cyp1b1/Sting1/Mapk13/Mapk11/Il1rl1/Spon2/C3
GO:0006081	cellular aldehyde metabolic process	41	-0.723826813337615	-2.25748215015518	2.5291957919702e-07	0.000147873647303858	0.000134269236254418	1262	tags=46%, list=12%, signal=41%	Idh1/Pdxk/Rdh10/Aldh2/Grhpr/Esd/Hagh/Tkfc/Aldh3a2/Abca4/Rdh11/Haghl/Pnpo/Wnt4/Rbp4/Kcnma1/Aldh3b1/Aldh1a2/Cyp1b1
GO:0098542	defense response to other organism	466	-0.380958724099489	-1.67665798986815	4.05552545111552e-07	0.000213401749237699	0.000193768737080141	1733	tags=23%, list=16%, signal=21%	Pld3/Adam8/Il34/Polr3k/Fes/Ptk2b/App/Fam3a/Nlrx1/Src/Ifnar2/Vamp8/Zdhhc1/Zyx/Elf4/Hpx/Rasgrp1/Dusp10/Grn/Appl2/Irak1/Lyst/Zc3hav1/Jak3/Tifa/Axl/Ifnar1/Capg/Cactin/Cd14/Irf1/Irak4/Serinc3/Emilin1/Msrb1/Dtx3l/Ripk3/Ifngr2/Parp9/Serping1/Ly96/Cnpy3/Parp14/Csf1/Cxcl16/Zc3h12a/Bst2/Mlkl/Lyn/Prkcd/Tkfc/Il6/Tnfrsf1a/Rab7b/Rab11fip5/Ifih1/Syt11/Trim56/Cyba/Ereg/Adamts5/Casp8/Nectin2/Ripk2/Irf7/Irf5/Mr1/Gpam/C2/Rnasel/Eif2ak2/Socs1/Apoe/Nod1/Il4ra/Wnt5a/Dapk1/Il17ra/Pparg/Emilin2/Isg15/Bcl2/Tlr6/Ptx3/Cd24a/Rarres2/Samhd1/Isg20/C1rl/Pstpip1/Fgl2/Tlr3/Il27ra/Irak3/Nlrc3/Unc93b1/P2rx7/Mfap4/Ch25h/Csf1r/C1s1/Rel/Ifit2/Sting1/C1ra/Cxcl5/Spon2/C3/Plac8
