ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0032675	regulation of interleukin-6 production	79	-0.648292218293164	-2.19940447247282	2.29461025298156e-08	6.03711957559448e-05	5.62058743019798e-05	1243	tags=43%, list=12%, signal=38%	Nlrx1/Il17ra/Syt11/Tslp/Tnfrsf1a/Rabgef1/Il17d/Tnfsf9/Trpv4/Cyba/Wnt5a/Zc3h12a/Klf2/Tlr3/Rab7b/Twist1/Socs5/Nod1/Il6/Ripk2/Ifih1/Il27ra/Ereg/Il6ra/Tlr6/Adora2b/F2r/Irak3/Unc93b1/P2rx7/Nlrc3/Cd24a/Mapk13/Spon2
GO:0001817	regulation of cytokine production	405	-0.417994604663067	-1.72903252054928	1.66402025480493e-08	6.03711957559448e-05	5.62058743019798e-05	1783	tags=29%, list=17%, signal=25%	Map2k3/Apod/Stat3/Hspa1b/Tnfaip3/Flot1/Gprc5b/Cd276/Tek/Irak1/Cuedc2/Pml/Errfi1/Cd14/Psen1/Socs1/Casp1/Scamp5/Akap12/Abcd1/Cd34/Zc3hav1/Gba/Sulf1/Hmox1/Irf5/Jak3/Lgr4/Ifnar1/Lyn/Nlrx1/Chuk/Il17ra/Snai2/Smad3/Src/Lrp1/Gpam/Syt11/Hdac7/Tslp/Adam8/Tnfrsf1a/Per1/Il4ra/Cactin/Rabgef1/Angpt1/Il17d/Tnfsf9/Prnp/Sod1/Trpv4/Casp8/Pparg/Cyba/Litaf/Nfatc4/Pla2r1/Wnt5a/Ly96/Trim56/Lurap1/Gpsm3/Zc3h12a/Ripk3/Trib2/Rasgrp1/Klf2/Ltbp1/Vsir/Tlr3/Bst2/Irf7/Rab7b/Gata6/Twist1/Socs5/Atp2b1/Eif2ak2/S1pr3/Pde4b/Nod1/Il1r1/Isg15/Lrrk2/Heg1/Il6/Ripk2/Ifih1/Il27ra/Zfp36/Ereg/Egr1/Il6ra/Ephb2/Tlr6/Adora2b/F2r/Irak3/Unc93b1/Csf1r/P2rx7/Cxcl5/Nlrc3/Mapk11/Inhbb/Cd24a/Lrrc32/Mapk13/Rel/F3/Il1rl1/Spon2/C3/Sting1/Cyp1b1
GO:0032635	interleukin-6 production	84	-0.631222900662229	-2.14674638911426	1.17608402824913e-07	0.000206285138554897	0.00019205245850777	1243	tags=40%, list=12%, signal=36%	Nlrx1/Il17ra/Syt11/Tslp/Tnfrsf1a/Rabgef1/Il17d/Tnfsf9/Trpv4/Cyba/Wnt5a/Zc3h12a/Klf2/Tlr3/Rab7b/Twist1/Socs5/Nod1/Il6/Ripk2/Ifih1/Il27ra/Ereg/Il6ra/Tlr6/Adora2b/F2r/Irak3/Unc93b1/P2rx7/Nlrc3/Cd24a/Mapk13/Spon2
GO:0032755	positive regulation of interleukin-6 production	54	-0.675490354729185	-2.15135097864611	2.04856441322821e-07	0.000269488648560171	0.000250895231030634	1214	tags=43%, list=11%, signal=38%	Il17ra/Tslp/Il17d/Tnfsf9/Trpv4/Cyba/Wnt5a/Tlr3/Rab7b/Twist1/Nod1/Il6/Ripk2/Ifih1/Ereg/Il6ra/Tlr6/Adora2b/F2r/Unc93b1/P2rx7/Mapk13/Spon2
GO:0006954	inflammatory response	359	-0.419736800230891	-1.72154948491563	2.59877275415829e-07	0.000273494844647618	0.000254625018902161	2105	tags=36%, list=20%, signal=30%	App/Serpine1/Tirap/Mecom/Pbxip1/Uaca/Tcirg1/Ager/Appl2/Cd81/Axl/Adamts12/Serpinf1/Mvk/Ext1/Ptger4/Map2k3/Apod/Stat3/Tnfaip3/Tyro3/Gprc5b/Cd276/Cuedc2/Cd14/Psen1/Smo/Myo5a/Casp1/Abhd12/Ctsc/Itgb1/Abcd1/Socs3/Ldlr/Sdc1/Hmox1/Sbno2/Irf5/Bcr/Ndst1/Lyn/Nlrx1/Vamp8/Il17ra/Ptgir/Smad3/Aldh2/Ifngr2/Lrp1/Ephx2/Ccn3/Syt11/Hdac7/Ptges/Tslp/F8/Adam8/Tnfrsf1a/Hck/Per1/Abcc1/Lgals1/Il4ra/Csf1/Rabgef1/Il17d/Ecm1/Fem1a/Tnc/Wfdc1/Ptgfr/Sod1/Pmp22/Trpv4/Ptgs1/Pparg/Ulk4/Dusp10/Cyba/Rps6ka5/Wnt5a/Ly96/Gpsm3/Zc3h12a/Timp1/Rasgrp1/Tbxa2r/Nkiras2/Tlr3/Irak2/Loxl3/Socs5/Adcy1/S1pr3/Il34/Il1r1/Lxn/Lrrk2/Clcf1/Il6/Nfkbiz/Zfp36/Nr1h3/Tnfrsf11a/Ephb2/Tlr6/Slit2/Pstpip1/Esr1/Adora2b/F2r/C1qtnf12/Itga2/Csf1r/P2rx7/Rarres2/Cxcl5/Nlrc3/Ptgis/Cd24a/Abi3bp/Foxf1/Rel/F3/Il1rl1/C3/Sting1
GO:0001816	cytokine production	448	-0.39543145037155	-1.6550569875708	4.36740294185117e-07	0.000383021238000348	0.000356594619146936	2105	tags=32%, list=20%, signal=27%	App/Nptn/Serpine1/Tirap/Nfatc3/Tcirg1/Ager/Nfatc2/Fzd5/Nfat5/Appl2/Rgcc/Cd81/Axl/Tbk1/Prkd2/Cgas/Ext1/Tsku/Ptger4/Map2k3/Apod/Stat3/Hspa1b/Tnfaip3/Flot1/Gprc5b/Cd276/Tek/Irak1/Cuedc2/Pml/Errfi1/Cd14/Psen1/Socs1/Casp1/Scamp5/Akap12/Abcd1/Cd34/Zc3hav1/Gba/Sulf1/Hmox1/Irf5/Jak3/Lgr4/Ifnar1/Lyn/Nlrx1/Chuk/Il17ra/Snai2/Smad3/Src/Lrp1/Gpam/Syt11/Hdac7/Tslp/Adam8/Tnfrsf1a/Irak4/Per1/Il4ra/Cactin/Rabgef1/Angpt1/Il17d/Tnfsf9/Dysf/Prnp/Maf/Sod1/Trpv4/Casp8/Pparg/Prkcd/Cyba/Litaf/Nfatc4/Pla2r1/Wnt5a/Ly96/Trim56/Lurap1/Gpsm3/Zc3h12a/Ripk3/Trib2/Rasgrp1/Klf2/Ltbp1/Vsir/Tlr3/Bst2/Irf7/Rab7b/Gata6/Twist1/Mr1/Socs5/Atp2b1/Eif2ak2/S1pr3/Pde4b/Nod1/Il1r1/Isg15/Lrrk2/Heg1/Il6/Ripk2/Ifih1/Il27ra/Zfp36/Ereg/Egr1/Il6ra/Ephb2/Tlr6/Adora2b/F2r/Irak3/Unc93b1/Csf1r/P2rx7/Cxcl5/Nlrc3/Mapk11/Inhbb/Cd24a/Lrrc32/Mapk13/Rel/F3/Il1rl1/Spon2/C3/Sting1/Cyp1b1
GO:0045214	sarcomere organization	26	0.803623699591277	2.24764704896951	6.0263983312348e-07	0.000453012971699393	0.00042175726065514	229	tags=31%, list=2%, signal=30%	Ttn/Myom2/Synpo2l/Casq1/Fhod3/Tnnt1/Neb/Mef2c
GO:0032103	positive regulation of response to external stimulus	232	-0.452306856701738	-1.78032403309834	3.22000023965567e-06	0.0019473980260021	0.00181303695073192	1216	tags=26%, list=11%, signal=23%	Vamp8/Il17ra/Snai2/Smad3/Nrg1/Lrp1/Tpbg/Tslp/Adam8/Tnfrsf1a/Abcc1/Lgals1/Hpx/Pdgfrb/Csf1/Sema5a/Fem1a/Dysf/Lgmn/Trpv4/Cyba/Nectin2/Wnt5a/Ly96/Trim56/S1pr1/Gpsm3/Cxcl12/Rasgrp1/Tlr3/Irf7/Ptk2b/Il34/Nod1/Lpar1/Masp1/Lrrk2/Il6/Ripk2/Nfkbiz/Ereg/Nrp1/Pgf/Pdgfd/Emilin2/Tnfrsf11a/Tlr6/Slit2/Cxcl14/Adora2b/Stx3/Fgf2/Ripor2/Itga2/Csf1r/Rarres2/Cd24a/Il1rl1/C3/Sting1
GO:0001819	positive regulation of cytokine production	254	-0.436794170080235	-1.72857793525715	3.33078339681089e-06	0.0019473980260021	0.00181303695073192	1745	tags=30%, list=16%, signal=26%	Stat3/Hspa1b/Flot1/Gprc5b/Cd276/Tek/Irak1/Cd14/Psen1/Casp1/Scamp5/Akap12/Cd34/Zc3hav1/Sulf1/Irf5/Ifnar1/Chuk/Il17ra/Smad3/Src/Lrp1/Tslp/Adam8/Tnfrsf1a/Il4ra/Il17d/Tnfsf9/Sod1/Trpv4/Casp8/Cyba/Nfatc4/Pla2r1/Wnt5a/Ly96/Trim56/Lurap1/Gpsm3/Rasgrp1/Tlr3/Irf7/Rab7b/Gata6/Twist1/Eif2ak2/Pde4b/Nod1/Il1r1/Isg15/Lrrk2/Heg1/Il6/Ripk2/Ifih1/Il27ra/Ereg/Egr1/Il6ra/Ephb2/Tlr6/Adora2b/F2r/Irak3/Unc93b1/Csf1r/P2rx7/Mapk11/Mapk13/Rel/F3/Il1rl1/Spon2/C3/Sting1/Cyp1b1
GO:0098542	defense response to other organism	466	-0.379416470795453	-1.59227171489943	4.37143234915478e-06	0.00230024770212524	0.00214154170031225	1344	tags=20%, list=12%, signal=19%	Parp9/Cnpy3/Stxbp1/Polr3k/Jak3/Lgr4/Ifnar1/Tfeb/Lyn/Nlrx1/Chuk/Vamp8/Il17ra/Cdc42ep4/Src/Ifngr2/Tnk2/Rab27a/Gpam/Syt11/Tslp/Adam8/Mlkl/Tnfrsf1a/Irak4/Hck/Hpx/Il4ra/Parp14/Csf1/Cactin/Rnasel/Zyx/Msrb1/C2/Tkfc/Casp8/Pparg/Dusp10/Prkcd/Cyba/Nectin2/Wnt5a/Ly96/Trim56/Zc3h12a/Ripk3/Rasgrp1/Dapk1/Tlr3/Bst2/Irf7/Rab7b/Ptk2b/Mr1/Mfap4/Eif2ak2/Il34/Fgl2/Rab11fip5/Nod1/Masp1/Isg15/Il6/Ripk2/Ifih1/Samhd1/Il27ra/Adamts5/Isg20/Ereg/C1s1/Ptx3/Emilin2/Styk1/Bcl2/C1rl/Tlr6/Pstpip1/Irak3/Unc93b1/Csf1r/P2rx7/Rarres2/Cxcl5/Nlrc3/C1ra/Cd24a/Plac8/Ifit2/Rel/Spon2/C3/Sting1/Ch25h
