FileName	Batch	Timepoint	Species	CellLine	Treatment	Replicate	Note	Assigned	Unassigned_Unmapped	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Total	PassesQC
ACO_12d_ASM10_10Gy	11_12dASM10_10Gy_R1	2	12d	ACO	ASM10	10Gy	R1		41825275	604987	2420844	3008575	1076668	48936349	TRUE
ACO_12d_ASM10_20Gy	12_12dASM10_20Gy_R1	2	12d	ACO	ASM10	20Gy	R1		35275666	722151	1333936	4922547	935023	43189323	TRUE
ACO_12d_ASM10_Con	10_12dASM10_CON_F_R1	2	12d	ACO	ASM10	Con	R1		28393526	430581	1459698	2373693	737776	33395274	TRUE
ACO_12d_ASM10_ConP	9_ASM10_CON_P_R1	2	12d	ACO	ASM10	ConP	R1	Passaged until d12	28348273	473433	1184558	2873246	753831	33633341	TRUE
ACO_12d_ASM11_10Gy	15_12dASM11_10Gy_R1	2	12d	ACO	ASM11	10Gy	R1		32690230	460990	1849592	3313729	802022	39116563	TRUE
ACO_12d_ASM11_20Gy	16_12dASM11_20Gy_R1	2	12d	ACO	ASM11	20Gy	R1		34376850	624474	1790830	4490880	882550	42165584	TRUE
ACO_12d_ASM11_Con	14_12dASM11_CON_F_R1	2	12d	ACO	ASM11	Con	R1		34540763	543329	1626952	3707013	863994	41282051	TRUE
ACO_12d_ASM11_ConP	13_ASM11_CON_P_R1	2	12d	ACO	ASM11	ConP	R1	Passaged until d12	27593133	429391	1384571	2971401	711528	33090024	TRUE
ACO_12d_ASM8_10Gy	3_12dASM8_10Gy_R1	2	12d	ACO	ASM8	10Gy	R1		28620471	484649	1154180	2874031	753194	33886525	TRUE
ACO_12d_ASM8_20Gy	4_12dASM8_20Gy_R1	2	12d	ACO	ASM8	20Gy	R1		31679889	654636	1294018	3837560	848286	38314389	TRUE
ACO_12d_ASM8_Con	2_12dASM8_CON_F_R1	2	12d	ACO	ASM8	Con	R1		29123115	472472	1445704	2614625	745050	34400966	TRUE
ACO_12d_ASM8_ConP	1_ASM8_CON_P_R1	2	12d	ACO	ASM8	ConP	R1	Passaged until d12	25552727	472164	1098723	3042842	656788	30823244	TRUE
ACO_12d_ASM9_10Gy	7_12dASM9_10Gy_R1	2	12d	ACO	ASM9	10Gy	R1		30262807	510049	1464750	2465678	801133	35504417	TRUE
ACO_12d_ASM9_20Gy	8_12dASM9_20Gy_R1	2	12d	ACO	ASM9	20Gy	R1		33259928	624182	1343177	3343296	834266	39404849	TRUE
ACO_12d_ASM9_Con	6_12dASM9_CON_F_R1	2	12d	ACO	ASM9	Con	R1		34236350	461074	2068451	2789036	875615	40430526	TRUE
ACO_12d_ASM9_ConP	5_ASM9_CON_P_R1	2	12d	ACO	ASM9	ConP	R1	Passaged until d12	28861678	482938	1216682	3087342	747589	34396229	TRUE
ACO_24h_ASM10_10Gy	98_24h_ASM10_10Gy_R1	1	24h	ACO	ASM10	10Gy	R1		41460929	664659	2175530	3615551	1069086	48985755	TRUE
ACO_24h_ASM10_20Gy	99_24h_ASM10_20Gy_R1	1	24h	ACO	ASM10	20Gy	R1		47020384	758007	2425653	4243515	1233208	55680767	TRUE
ACO_24h_ASM10_Con	97_24h_ASM10_Con_R1	1	24h	ACO	ASM10	Con	R1		39114911	599426	2159137	3245793	1010677	46129944	TRUE
ACO_24h_ASM11_10Gy	101_24h_ASM11_10Gy_R1	1	24h	ACO	ASM11	10Gy	R1		39530663	661558	1799945	3281595	1028718	46302479	TRUE
ACO_24h_ASM11_20Gy	102_24h_ASM11_20Gy_R1	1	24h	ACO	ASM11	20Gy	R1		52857478	823629	3060975	3819294	1390842	61952218	TRUE
ACO_24h_ASM11_Con	100_24h_ASM11_Con_R1	1	24h	ACO	ASM11	Con	R1		44156327	606771	2319955	3336749	1120959	51540761	TRUE
ACO_24h_ASM8_10Gy	92_24h_ASM8_10Gy_R1	1	24h	ACO	ASM8	10Gy	R1		31319435	598018	1539490	2811847	811823	37080613	TRUE
ACO_24h_ASM8_20Gy	93_24h_ASM8_20Gy_R1	1	24h	ACO	ASM8	20Gy	R1		29688598	521123	1449195	2837053	745705	35241674	TRUE
ACO_24h_ASM8_Con	91_24h_ASM8_Con_R1	1	24h	ACO	ASM8	Con	R1		33430512	542039	1458573	2894494	848301	39173919	TRUE
ACO_24h_ASM9_10Gy	95_24h_ASM9_10Gy_R1	1	24h	ACO	ASM9	10Gy	R1		46244583	700781	2327158	3659916	1150070	54082508	TRUE
ACO_24h_ASM9_20Gy	96_24h_ASM9_20Gy_R1	1	24h	ACO	ASM9	20Gy	R1		48319873	764204	2344277	4157274	1197117	56782745	TRUE
ACO_24h_ASM9_Con	94_24h_ASM9_Con_R1	1	24h	ACO	ASM9	Con	R1		28612709	488269	1331772	2440475	713895	33587120	TRUE
HSA_24h_HDF1_10Gy	71_24h_HDF1_10Gy_R1	1	24h	HSA	HDF1	10Gy	R1		41318616	553951	2373922	1116725	3685963	49049177	TRUE
HSA_24h_HDF1_20Gy	72_24h_HDF1_20Gy_R1	1	24h	HSA	HDF1	20Gy	R1		30685127	399135	1813195	593852	2773201	36264510	TRUE
HSA_24h_HDF1_Con	70_24h_HDF1_Con_R1	1	24h	HSA	HDF1	Con	R1		33150480	409089	1958190	641391	2960642	39119792	TRUE
HSA_24h_HDF2_10Gy	74_24h_HDF2_10Gy_R1	1	24h	HSA	HDF2	10Gy	R1		37146071	427643	2248020	966597	3161181	43949512	TRUE
