FileName	SampleName	Species	Treatment
1_AC_M1	MusCtrl1	Mus	Acetone
2_AC_M2_1	MusCtrl2	Mus	Acetone
3_AC_M3	MusCtrl3	Mus	Acetone
4_AC_M4	MusCtrl4	Mus	Acetone
5_DT_M1	MusDT1	Mus	DMBA_TPA
6_DT_M2	MusDT2	Mus	DMBA_TPA
7_DT_M3	MusDT3	Mus	DMBA_TPA
8_DT_M4	MusDT4	Mus	DMBA_TPA
9_AC_A1	AcoCtrl1	Aco	Acetone
10_AC_A2	AcoCtrl2	Aco	Acetone
11_AC_A3	AcoCtrl3	Aco	Acetone
12_AC_A4	AcoCtrl4	Aco	Acetone
13_DT_A1	AcoDT1	Aco	DMBA_TPA
14_DT_A2	AcoDT2	Aco	DMBA_TPA
15_DT_A3	AcoDT3	Aco	DMBA_TPA
16_DT_A4	AcoDT4	Aco	DMBA_TPA
