"","AcoCtrl2","AcoCtrl3","AcoCtrl4","AcoDT1","AcoDT2","AcoDT3","AcoDT4","AcoCtrl1"
"Apmap",2123,2642,1984,2092,2419,2635,2053,2305
"Cst7",132,226,176,186,372,436,312,160
"Syndig1",334,369,340,75,112,81,82,336
"Cst10",0,0,0,0,0,0,0,0
"Cst3",6803,8112,5587,4109,6932,5992,5612,8231
"Cstdc2",1,1,0,0,0,0,0,0
"Cst9",0,3,3,2,1,4,1,0
"Cst13",0,0,0,0,0,0,0,0
"Cst8",0,0,0,0,0,0,0,0
"Cst12",1,5,2,0,0,0,0,1
"Cstdc1",0,0,0,0,1,0,0,0
"Cst11",0,0,0,0,0,0,0,0
"Cstl1",3,2,4,3,0,0,0,2
"Napb",204,278,207,166,223,163,149,250
"Gzf1",590,866,569,415,629,574,439,785
"Nxt1",361,497,277,581,556,540,464,447
"Cd93",1362,1583,1377,1799,2049,2472,1862,1450
"Thbd",1522,1519,1199,1713,2443,3319,2043,1623
"Sstr4",1,0,0,0,1,3,1,0
"Foxa2",0,0,0,0,0,0,0,0
"Pax1",7,5,3,5,10,1,18,1
"Nkx2-2",0,0,1,0,0,0,0,0
"Nkx2-4",0,0,1,0,1,0,0,0
"Xrn2",2288,2781,1976,2848,3483,3413,2462,2761
"Kiz",130,208,124,107,139,135,109,206
"Ralgapa2",1656,2495,1668,2184,2841,2309,2163,2399
"Insm1",3,5,3,1,6,1,1,2
"Cfap61",15,23,23,20,19,17,26,21
"Ptges3-ps",4,5,0,8,2,8,3,5
"Crnkl1",933,1253,853,902,1159,1154,886,1264
"Naa20",1213,1447,1013,1506,1877,1633,1292,1432
"Rin2",2935,3909,2374,2483,2917,2934,2767,3661
"Slc24a3",889,1159,882,596,783,589,515,1071
"Gm14092",6,8,8,7,4,8,6,7
"Scp2d1",0,0,0,4,0,0,0,1
"Dtd1",485,464,359,259,326,361,236,449
"Smim26",187,206,162,187,209,184,146,201
"Sec23b",1287,1389,1129,2065,2625,2415,2019,1426
"Rbbp9",323,417,253,282,327,335,226,398
"Polr3f",551,533,389,514,592,576,433,541
"Dzank1",45,67,32,32,27,49,33,38
"Kat14",451,470,340,332,378,378,287,458
"Pet117",0,0,0,0,0,0,0,0
"Ovol2",32,61,32,26,37,34,37,28
"Mgme1",135,137,101,198,195,195,182,141
"Snx5",2949,3675,2713,4290,4888,5393,4591,3207
"Banf2",0,0,1,0,0,0,1,0
"Rrbp1",1593,1701,1356,2325,2872,2635,2436,2013
"Dstn",12673,13760,10425,17260,20476,20224,14867,15477
"Bfsp1",151,78,69,150,128,171,73,162
"Pcsk2",4,1,3,1,2,2,4,10
"Otor",0,0,0,0,0,0,0,0
"Snrpb2",669,871,613,890,1070,1105,807,836
"Kif16b",1267,1825,1250,952,1292,1314,899,1760
"Macrod2",31,69,43,43,35,33,32,43
"Flrt3",2506,3288,2219,1966,2408,2663,1775,3352
"Sel1l2",0,0,0,0,0,0,0,0
"Ndufaf5",160,168,114,149,174,162,157,161
"Esf1",455,549,448,461,588,586,401,598
"Tasp1",195,247,190,184,217,194,139,216
"Ism1",826,1140,825,209,438,609,296,1047
"Sptlc3",1139,2816,1582,1134,1293,1357,860,1714
"Btbd3",2063,3187,1840,4147,5420,3501,3625,2854
"Jag1",7156,6058,5207,5162,5982,6261,5233,8414
"Slx4ip",238,232,193,282,258,283,270,236
"Mkks",704,875,559,775,1063,960,685,744
"Snap25",29,36,18,2,4,0,0,29
"Ankef1",34,0,29,9,1,0,13,20
"Pak5",1,5,5,2,5,0,4,1
"Lamp5",0,0,0,0,1,0,2,0
"Plcb4",565,996,854,968,1104,1056,815,893
"Plcb1",261,316,304,279,359,346,303,341
"Tmx4",1331,1385,1126,958,1197,1248,920,1563
"Hao1",39,6,2,2,1,3,3,44
"Bmp2",1012,738,547,271,295,374,336,812
"Fermt1",1092,1526,973,1304,1416,1415,1244,1398
"Lrrn4",2,4,4,18,11,10,16,7
"Crls1",812,860,726,710,873,794,686,814
"Mcm8",134,119,116,308,325,322,224,129
"Trmt6",452,438,360,470,588,509,371,533
"Chgb",0,0,0,0,0,0,0,1
"Shld1",309,415,247,219,278,302,205,381
"Gpcpd1",1462,1971,1411,1326,1845,1568,1186,1965
"Prokr2",42,107,59,62,82,43,68,63
"Cds2",2215,2652,2373,2170,2411,2445,2005,2557
"Pcna",1831,1927,1379,2329,2855,2639,2115,1760
"Tmem230",619,699,545,541,620,653,565,708
"Slc23a2",1102,1119,865,904,986,1098,812,1333
"Rassf2",677,815,674,867,1100,1314,968,880
"Prnd",0,0,0,0,0,0,0,0
"Prn",0,0,0,0,0,0,0,0
"Prnp",9331,12130,8409,9897,12462,9805,9896,11160
"Erv3",22,35,18,14,15,10,18,21
"Adra1d",39,24,29,24,11,10,20,48
"Gm30732",49,75,57,97,108,120,117,113
"Smox",1302,608,646,1211,1757,1705,1624,1854
"Gm30679",9,9,5,7,15,15,18,17
"Rnf24",716,890,665,633,1134,925,834,1000
"Pank2",828,813,548,709,873,687,513,776
"Mavs",801,1031,709,607,992,881,647,980
"Ap5s1",255,264,175,198,248,191,206,250
"Cdc25b",837,952,543,1715,2219,2423,1599,938
"Cenpb",5091,5632,3996,4819,5922,5547,4670,5179
"Spef1",39,64,40,24,30,26,14,39
"1700037H04Rik",932,555,487,353,420,459,417,1126
"Hspa12b",393,390,314,193,275,225,181,470
"Siglec1",362,290,340,444,521,617,831,306
"Adam33",299,246,232,137,212,155,192,280
"Gfra4",2,5,2,0,0,1,1,0
"Atrn",2351,2814,2218,1882,2119,2438,1709,3301
"4930402H24Rik",1087,1081,958,588,869,777,743,1309
"Slc4a11",32,36,29,78,97,92,81,61
"Itpa",744,868,551,994,1132,1013,1027,817
"Ddrgk1",554,678,455,442,505,478,415,534
"Lzts3",377,381,293,107,154,161,143,375
"Ubox5",423,481,340,366,484,414,303,469
"Fastkd5",285,300,233,330,372,361,340,314
"Avp",3,0,1,0,1,4,1,11
"Oxt",0,0,0,0,0,0,0,0
"Mrps26",826,722,533,820,1049,955,726,750
"Ptpra",2488,3212,2214,2104,2853,2688,2095,3105
"Vps16",872,910,688,840,1052,893,814,925
"Pced1a",190,183,137,165,236,204,188,164
"Tmem239",3,3,2,12,16,11,17,0
"1700020A23Rik",0,2,0,5,3,5,14,0
"Cpxm1",651,621,396,1104,1464,1651,1874,623
"Ebf4",79,67,53,71,108,99,78,75
"Idh3b",1640,2167,1534,1243,1852,1885,1340,2009
"Nop56",1587,1286,1110,2098,2486,2565,1676,1729
"Tmc2",7,5,10,0,0,0,0,13
"Snrpb",2183,2130,1786,2480,2874,3013,2568,2286
"Tgm6",291,31,79,11,15,162,40,504
"Tgm3",4152,312,703,211,319,1534,522,5888
"Stk35",1206,1215,1040,1384,1669,1557,1245,1294
"Pdyn",3,0,2,66,85,60,132,1
"Sirpa",3736,3999,3089,2903,4010,3755,3834,3900
"F830045P16Rik",152,330,200,0,1,2,5,184
"Il1b",79,230,115,2067,2764,2898,1387,147
"Il1a",311,400,341,222,444,422,236,552
"Ckap2l",454,377,321,948,943,936,657,551
"Slc20a1",814,743,682,1069,1310,1174,1031,972
"Chchd5",2,2,0,0,2,0,0,0
"Gm7209",0,0,0,0,0,0,0,0
"Polr1b",801,788,657,874,1040,1039,805,813
"Ttl",674,708,609,469,679,590,515,744
"Vinac1",8,19,12,7,7,8,9,13
"Zc3h6",723,1140,699,453,653,636,401,965
"Zc3h8",93,80,54,47,82,78,54,86
"Fbln7",2,0,0,0,0,2,1,1
"Tmem87b",1253,1517,1133,1390,1626,1567,1216,1428
"Mertk",858,1170,748,771,945,1109,1055,1066
"Anapc1",1674,1991,1530,2440,2738,2583,1954,2047
"Spdye4c",1,0,0,0,0,0,1,1
"Bcl2l11",511,879,570,643,886,951,767,673
"Acoxl",2,3,1,2,0,0,0,2
"Bub1",234,233,176,663,691,736,550,261
"Mtln",266,259,181,121,203,166,122,221
"Nphp1",383,448,337,267,310,320,262,461
"Mall",1313,1603,1179,906,1148,944,677,1639
"Mal",779,113,154,57,68,234,67,894
"Mrps5",573,650,474,540,750,662,505,626
"Zfp661",139,156,130,73,117,106,91,149
"Prom2",8246,11565,7522,7294,8556,7979,5541,10512
"Kcnip3",47,59,52,30,33,34,61,37
"Fahd2a",364,385,278,216,330,320,254,351
"Gpat2",3,12,12,8,5,9,7,9
