"","MusCtrl1","MusCtrl3","MusCtrl4","MusDT1","MusDT2","MusDT3","MusDT4"
"ENSMUSG00000100595",0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0
"ENSMUSG00000089037",0,0,0,0,0,0,0
"ENSMUSG00000103629",1,0,0,0,0,0,0
"ENSMUSG00000100025",0,0,0,0,0,1,0
"ENSMUSG00000051285",3792,4224,3326,1640,1728,1845,1845
"ENSMUSG00000077244",0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,0,0,0,0
"ENSMUSG00000100290",0,0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0,0
"ENSMUSG00000039748",91,119,94,250,295,357,316
"ENSMUSG00000118715",0,0,0,0,0,0,0
"ENSMUSG00000104158",0,0,1,0,0,0,0
"ENSMUSG00000057363",648,758,533,604,713,972,885
"ENSMUSG00000047216",292,386,226,40,48,72,68
"ENSMUSG00000088848",0,0,0,0,0,0,0
"ENSMUSG00000038702",1450,1551,1148,929,1200,1182,1249
"ENSMUSG00000101875",0,0,1,0,0,0,0
"ENSMUSG00000088691",0,0,0,0,0,0,0
"ENSMUSG00000099884",0,0,0,0,0,0,0
"ENSMUSG00000102105",0,0,0,0,0,0,0
"ENSMUSG00000099943",0,0,0,0,0,0,0
"ENSMUSG00000101687",0,0,0,0,0,0,0
"ENSMUSG00000033021",854,953,687,786,806,1144,1025
"ENSMUSG00000055214",19,37,30,5,4,1,3
"ENSMUSG00000102446",0,0,0,0,0,0,0
"ENSMUSG00000104021",0,0,0,0,0,0,0
"ENSMUSG00000103471",0,0,0,0,0,0,0
"ENSMUSG00000087875",0,1,0,0,0,0,0
"ENSMUSG00000033007",1,1,6,1,4,4,3
"ENSMUSG00000070695",3,0,0,1,0,1,0
"ENSMUSG00000025909",72,42,13,0,5,8,4
"ENSMUSG00000101154",0,0,0,0,0,0,0
"ENSMUSG00000065865",0,0,0,0,0,0,0
"ENSMUSG00000099571",0,0,0,0,0,0,0
"ENSMUSG00000104428",0,0,0,0,0,0,0
"ENSMUSG00000101303",0,0,0,0,0,0,0
"ENSMUSG00000065625",0,0,0,0,0,0,0
"ENSMUSG00000103411",1,0,0,0,0,1,0
"ENSMUSG00000061024",446,418,362,826,1003,1158,1154
"ENSMUSG00000099870",1,5,2,0,1,0,0
"ENSMUSG00000026374",1374,1468,1253,1242,1574,1755,1771
"ENSMUSG00000026377",659,775,552,857,1113,1375,1283
"ENSMUSG00000025911",293,280,293,60,109,88,81
"ENSMUSG00000081441",4,6,2,0,0,4,1
"ENSMUSG00000067879",19,18,19,0,2,5,3
"ENSMUSG00000057335",1174,1547,1009,549,725,718,775
"ENSMUSG00000065573",1,3,6,0,0,1,2
"ENSMUSG00000025912",152,226,170,64,92,122,93
"ENSMUSG00000045210",1705,1915,1373,1398,1779,1762,1767
"ENSMUSG00000041763",2070,2621,1757,2603,2932,3647,3030
"ENSMUSG00000026504",250,328,248,120,143,171,169
"ENSMUSG00000047343",275,255,134,8,25,40,26
"ENSMUSG00000087082",12,20,7,3,7,5,3
"ENSMUSG00000091844",13,16,14,18,9,17,3
"ENSMUSG00000026483",1448,1478,1099,1072,1248,1400,1496
"ENSMUSG00000082012",0,0,0,1,0,0,0
"ENSMUSG00000100553",0,1,0,0,1,0,0
"ENSMUSG00000098611",0,0,0,0,0,0,0
"ENSMUSG00000019699",776,932,764,366,460,551,501
