ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0045103	intermediate filament-based process	85	0.818421746912826	2.49996244311675	1e-10	2.136e-07	2.11333333333333e-07	713	tags=33%, list=4%, signal=32%	Krt33b/Krt86/Krt81/Krt87/Krt34/Krt31/Krt33a/Krt72/Krt82/Krt25/Krt73/Krt39/Krt71/Krt40/Krt27/Tchh/Krt35/Krt42/Krt7/Krt13/Krt84/Krt20/Shh/Gfap/Krt88/Krt90/Krt36/Krt2
GO:0045104	intermediate filament cytoskeleton organization	84	0.820395285350997	2.49412470224837	1e-10	2.136e-07	2.11333333333333e-07	713	tags=33%, list=4%, signal=32%	Krt33b/Krt86/Krt81/Krt87/Krt34/Krt31/Krt33a/Krt72/Krt82/Krt25/Krt73/Krt39/Krt71/Krt40/Krt27/Tchh/Krt35/Krt42/Krt7/Krt13/Krt84/Krt20/Shh/Gfap/Krt88/Krt90/Krt36/Krt2
GO:0045109	intermediate filament organization	65	0.851962948200724	2.45679699240394	1e-10	2.136e-07	2.11333333333333e-07	713	tags=43%, list=4%, signal=42%	Krt33b/Krt86/Krt81/Krt87/Krt34/Krt31/Krt33a/Krt72/Krt82/Krt25/Krt73/Krt39/Krt71/Krt40/Krt27/Tchh/Krt35/Krt42/Krt7/Krt13/Krt84/Krt20/Shh/Gfap/Krt88/Krt90/Krt36/Krt2
GO:0002218	activation of innate immune response	55	-0.779880364313671	-2.18083799799252	7.29671767264384e-09	1.16893417115754e-05	1.15652975111405e-05	1850	tags=42%, list=10%, signal=38%	Sting1/Tlr2/Aim2/Ffar2/Zbp1/Klrc3/Clec4n/Klri1/Trim30d/Ifi203/Ifi214/Mndal/Klrc2/Mbl2/Klri2/Ifi206/Ifi208/Ifi211/Ifi204/Trim30a/Ifi209/Ifi205/Ifi207
GO:0045089	positive regulation of innate immune response	136	-0.632220999851114	-1.97728340640018	1.3251458983569e-07	0.000162758396985915	0.00016103124795423	2473	tags=28%, list=13%, signal=25%	Xcl1/Hpx/Klre1/Lbp/Cd160/Il18rap/Tyrobp/Sting1/Tlr2/Aim2/Ffar2/Zbp1/Irgm1/Klrc3/Trem3/Clec4n/Sh2d1b2/Lgals9/Klri1/Usp29/Trim30d/Ifi203/Raet1e/Ifi214/Mndal/Klrc2/Mbl2/Klrb1c/H2-M3/Klri2/Ifi206/Ifi208/Ifi211/Ifi204/Trim30a/Ifi209/Ifi205/Ifi207
GO:0002833	positive regulation of response to biotic stimulus	181	-0.584536546046268	-1.86876072709552	1.77794753261768e-07	0.000162758396985915	0.00016103124795423	2473	tags=26%, list=13%, signal=23%	Xcl1/Hpx/Klre1/Lbp/Cd160/Cd24a/Cd180/Il18rap/Tyrobp/Sting1/Tlr2/Ly86/Aim2/Nlrp10/Il17f/Ffar2/Gsdme/Zbp1/Irgm1/Klrc3/Trem3/Clec4n/Pgc/Acod1/Sh2d1b2/Lgals9/Klri1/Usp29/Trim30d/Ifi203/Raet1e/Ifi214/Mndal/Klrc2/Hrg/Mbl2/Klrb1c/H2-M3/Klri2/Ifi206/Ifi208/Ifi211/Ifi204/Trim30a/Ifi209/Ifi205/Ifi207
GO:0045088	regulation of innate immune response	219	-0.551860245181838	-1.80425476017452	1.65003437597324e-07	0.000162758396985915	0.00016103124795423	2473	tags=24%, list=13%, signal=21%	Xcl1/Hpx/Serping1/Irak3/Klre1/Lbp/Cd160/Il18rap/Tyrobp/Sting1/Tlr2/Aim2/Ffar2/Isg15/Zbp1/Samhd1/Irgm1/Klrc3/Trem3/Klrb1b/Clec4n/Acod1/Dcst1/Sh2d1b2/Oas3/Lgals9/Klri1/Serpinb9b/Usp29/C3/Trim30d/Ifi203/Raet1e/Serpinb9/Ifi214/Mndal/Klrc2/Mbl2/Klrb1c/Serpinb1a/H2-M3/Klri2/Ceacam1/Ifi206/Ifi208/Ifi211/Ifi204/Trim30a/Ifi209/Ifi205/Ifi207/Cfh
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	29	-0.847136877086921	-2.10497176249651	2.68265711912693e-07	0.000191005186881838	0.000188978290391831	115	tags=21%, list=1%, signal=21%	ND4/ND3/ND1/ND6/ND2/ND5
GO:0045861	negative regulation of proteolysis	334	-0.501864737870699	-1.69670279734646	2.51895076487129e-07	0.000191005186881838	0.000188978290391831	1236	tags=17%, list=6%, signal=16%	Fetub/Wfikkn2/Serpinf2/Spink11/Cryaa/Mt3/Birc7/Mug2/Itih1/Wap/Il10/Prkcg/Rag1/Pzp/F2/Spink2/Fabp1/Spink1/Serpina7/Birc5/Kng1/Serpinb9b/Csta2/Serpina1a/Serpina10/Ttc36/Mug1/Cpb2/Serpinb9/Itih2/Serpinb3a/Cstdc4/Serpina6/Hrg/Naip5/Serpinb1a/Serpinb1c/Kng2/Serpina1d/Stfa2/Serpina3j/Ifi206/Ahsg/Naip2/Csta3/Ambp/Naip6/Ifi204/Serpina1b/Serpina1e/Ctla2a/Timp3/Serpinb3b/Ifi207/Ctsz/Csta1
GO:0006959	humoral immune response	219	-0.545348874526783	-1.7829664510379	3.58399040532407e-07	0.000229662105173166	0.000227224991697546	2470	tags=33%, list=13%, signal=29%	Hpx/Serping1/Nppb/C1qa/Defb1/Ifng/C4b/C1qb/Ccr2/Wfdc15a/Cfd/Nts/Zp3/Reg2/Wfdc18/Crp/Il17f/Leap2/Ppbp/Aire/Ifnk/C1rl/Cstdc2/Ccl28/Fcna/Colec11/Cxcl13/Pgc/Trf/Wfdc10/Wap/Acod1/Hc/Spag11a/C1rb/Mbl1/F2/Ccl27b/Fcgr2b/C9/C1s1/Kng1/Ccl25/C1ra/C1s2/C6/C3/Fgb/Apcs/Wfdc17/Ctsg/Cd59a/Spag11b/Gm13283/C8a/C8b/Hrg/Wfdc21/Mbl2/Cxcl3/Ccl19/Hamp/Ang2/Kng2/Cfhr2/Hamp2/Ang/Fga/Ppp2r3c/Ccl27a/Ccl21a/Cfh
GO:0002253	activation of immune response	299	-0.510057957415166	-1.70568208807301	3.96751549636829e-07	0.0002311258118248	0.000228673165881591	2992	tags=29%, list=16%, signal=25%	Fcer1g/Cmklr1/C4bp/Klrd1/Cd300a/Cyld/Cr2/C1qc/Ptpn22/Stap1/Nfatc2/Cblb/Klrc1/Btk/Serping1/C1qa/Klre1/Fpr1/Lax1/Ifng/C4b/C1qb/Cd160/Cfd/Tyrobp/C3ar1/Plscr2/Nfam1/Btn1a1/Sting1/Cacnb3/Tlr2/Crp/Aim2/Skint7/Ffar2/Zbp1/Skint1/Klrc3/C1rl/Ube2n/Cd79b/Gcsam/Btnl2/Fcna/Colec11/Clec4n/Cd38/Hc/C1rb/Ermap/Mbl1/Skint10/C9/C1s1/Klri1/Fyb2/C1ra/C1s2/C6/C3/Apcs/Trim30d/Fpr2/Ifi203/Cd59a/Ifi214/Mndal/Klrc2/C8a/C8b/Mbl2/Skint11/Klri2/Cfhr2/Clec2i/Skint8/Ifi206/Ifi208/Ifi211/Ifi204/Trim30a/Skint9/Ifi209/Ifi205/Ifi207/Cfh
