ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002449	lymphocyte mediated immunity	229	0.66682382813633	2.74339567678824	1e-10	6.58555555555556e-09	5.58713450292398e-09	1850	tags=46%, list=13%, signal=41%	Il4/Hpx/Cd28/Il1b/Klrc1/Prf1/Hc/Clec4g/Il31ra/Cd226/Nlrp3/Il6/Lag3/H2-T22/Cd96/Gzmb/Tbx21/Clnk/H2-Ob/C3/Nkg7/Rsad2/Cr2/Cd160/Csf2rb/Ptprc/Ccr2/Irf7/C2/Fcgr3/Fcgr1/Klrk1/H2-Q7/Fcer1g/Coro1a/Gimap5/Fut7/C1rl/Klrd1/Myo1g/Hfe/Csf2rb2/Tnfrsf1b/Cd46/Cd55/Il18rap/Btk/Fgl2/Xcl1/Cd8a/H2-Aa/Sash3/H2-Eb1/Was/Slamf6/Fas/H2-Ab1/C1s1/Havcr2/Nckap1l/Crlf2/Il13ra2/Cd74/Rab27a/H2-DMa/Tnf/Inpp5d/Clcf1/Parp3/Vav1/Stat5a/Mad2l2/Fcgr2b/Fcer2a/B2m/Il7r/Cyrib/C1qb/Pik3r6/Gm8909/Serping1/Slc11a1/Vsir/H2-Q1/Ptpn6/Tap1/Spn/Sh2d1b1/Pou2f2/Batf/Gzmm/Il21r/Icam1/Il4i1/C4b/Gapt/Il18r1/Tcirg1/C1qa/C1qc/Il20rb/Tap2/Cr1l/C1ra/Rftn1/Ripk3
GO:0002250	adaptive immune response	343	0.641593718790493	2.72685830871576	1e-10	6.58555555555556e-09	5.58713450292398e-09	1857	tags=46%, list=13%, signal=41%	Il4/Hpx/Clec4d/Cd7/Cd28/Il1b/Themis/Prf1/Trem1/Hc/Clec4g/Il31ra/Cd226/Nlrp3/Cd48/Il6/Tnfsf18/Lag3/H2-T22/Itk/Samsn1/Txk/Cd3g/Gzmb/Tbx21/Ctla4/H2-Ob/C3/Sit1/Rsad2/Cr2/Cd160/Csf2rb/Ptprc/Ccr2/Clec4n/Irf7/C2/Lat2/Ly9/Fcgr3/Fcgr1/Jak3/Bmx/Klrk1/Tnfrsf14/H2-Q7/Cd3d/Slamf7/Fcer1g/Cd3e/Gimap5/Fut7/Cd244a/Tnfrsf11a/Il6ra/C1rl/Klrd1/Myo1g/Hfe/Clec4a2/Mcoln2/Csf2rb2/Trat1/Tnfrsf1b/Cd46/Cd55/Tnfsf13b/Zap70/Il18rap/Btk/Adgre1/Fgl2/Xcl1/Cd8a/H2-Aa/Lax1/Cracr2a/Sash3/H2-Eb1/Was/Slamf6/Gpr183/Fas/H2-Ab1/C1s1/Cd86/Camk4/Irf1/Lat/Havcr2/Nckap1l/Crlf2/Il13ra2/Cd74/Il12rb1/Rab27a/Pik3cd/H2-DMa/Tnf/Inpp5d/Clcf1/Cd8b1/Parp3/Sla2/Nfkbid/Mad2l2/Fcgr2b/Fcer2a/Cd247/B2m/Il7r/Unc93b1/Cyrib/Jak2/Lyn/C1qb/Gm8909/Serping1/Slc11a1/Vsir/Prkcb/Skap1/H2-Q1/Il18bp/Ptpn6/Tap1/Cd4/Spn/Sh2d1b1/Pou2f2/Cd274/C3ar1/Batf/Gzmm/Il21r/Anxa1/Icam1/Il4i1/Rnf125/C4b/Gapt/Il18r1/Tnfrsf21/Tcirg1/Pla2g4a/C1qa/C1qc/Il20rb/Tap2/Erap1/Cr1l/C1ra/Tnfaip3/Ccr7/Rftn1/Ripk3/Irf4
GO:0002443	leukocyte mediated immunity	314	0.641232567376537	2.69397890868102	1e-10	6.58555555555556e-09	5.58713450292398e-09	1634	tags=43%, list=12%, signal=39%	Il4/Mrgprb3/Hpx/Cd28/Il1b/Klrc1/Prf1/Trem1/Hc/Clec4g/Il31ra/Cd226/Nlrp3/Il6/Lag3/H2-T22/Cd96/Stap1/Cd300a/Gzmb/Tbx21/Clnk/H2-Ob/C3/Nkg7/Rsad2/Cr2/Cd160/Csf2rb/Ptprc/Ccr2/Ptgdr/Irf7/C2/Lat2/Fcgr3/Fcgr1/Jak3/Klrk1/H2-Q7/Fcer1g/Nr4a3/Coro1a/Slamf9/Gimap5/Myo1f/Fut7/Adora2b/Tyrobp/C1rl/Klrd1/Myo1g/Hfe/Bst2/Csf2rb2/Tnfrsf1b/Tlr9/Cd46/Milr1/Cd55/Il18rap/Btk/Rac2/Ccl2/Fgl2/Mrgprx2/Xcl1/Cd8a/Ddx58/H2-Aa/Sash3/H2-Eb1/Was/Slamf6/Fas/Gata1/H2-Ab1/C1s1/Tlr4/Dnase1l3/Ptafr/Lat/Havcr2/Nckap1l/Crlf2/Il13ra2/Cd74/Fgr/Spi1/Rab27a/H2-DMa/Tnf/Inpp5d/Clcf1/Parp3/Gata2/Ms4a2/Vav1/Stat5a/Mad2l2/Fcgr2b/Fcer2a/B2m/Il7r/Fes/Cyrib/Lyn/C1qb/Pik3r6/Gm8909/Serping1/Slc11a1/Vsir/H2-Q1/Ptpn6/Tap1/Tlr2/Tlr3/Spn/Sh2d1b1/Pou2f2/Batf/Spon2/Gzmm/Il21r/Icam1/Il4i1/C4b/Gapt/Il18r1/Tcirg1/C1qa/C1qc/Il20rb
GO:0019724	B cell mediated immunity	112	0.720274832653089	2.68393508348292	1e-10	6.58555555555556e-09	5.58713450292398e-09	1767	tags=48%, list=13%, signal=42%	Il4/Hpx/Cd28/Hc/Cd226/Tbx21/H2-Ob/C3/Cr2/Csf2rb/Ptprc/Irf7/C2/Fcgr3/Fcgr1/Fcer1g/Gimap5/C1rl/Csf2rb2/Cd46/Cd55/Btk/Fgl2/Xcl1/H2-Aa/H2-Eb1/Fas/H2-Ab1/C1s1/Crlf2/Il13ra2/Cd74/H2-DMa/Tnf/Inpp5d/Clcf1/Parp3/Mad2l2/Fcgr2b/Fcer2a/B2m/C1qb/Serping1/Ptpn6/Pou2f2/Batf/Il21r/C4b/Gapt/Tcirg1/C1qa/C1qc/Cr1l/C1ra
GO:0016064	immunoglobulin mediated immune response	110	0.721240886793475	2.6747801539653	1e-10	6.58555555555556e-09	5.58713450292398e-09	1767	tags=48%, list=13%, signal=42%	Il4/Hpx/Cd28/Hc/Cd226/Tbx21/H2-Ob/C3/Cr2/Csf2rb/Ptprc/Irf7/C2/Fcgr3/Fcgr1/Fcer1g/Gimap5/C1rl/Csf2rb2/Cd46/Cd55/Btk/Fgl2/Xcl1/H2-Aa/H2-Eb1/H2-Ab1/C1s1/Crlf2/Il13ra2/Cd74/H2-DMa/Tnf/Inpp5d/Clcf1/Parp3/Mad2l2/Fcgr2b/Fcer2a/B2m/C1qb/Serping1/Ptpn6/Pou2f2/Batf/Il21r/C4b/Gapt/Tcirg1/C1qa/C1qc/Cr1l/C1ra
GO:0034341	response to interferon-gamma	112	0.711086255530959	2.64969600780324	1e-10	6.58555555555556e-09	5.58713450292398e-09	1268	tags=46%, list=9%, signal=42%	Ifitm6/Hpx/Acod1/Irgm1/Ccl4/Ccl3/Ccl9/Tgtp1/Ccl7/Ccl8/Ccl5/Txk/Mefv/Igtp/H2-Q7/Parp14/Bst2/Parp9/Mrc1/Ccl11/Stat1/Ccl2/Xcl1/H2-Aa/H2-Eb1/Was/Irgm2/Ccl12/H2-Ab1/Ccl20/Tlr4/Irf1/Trim21/Nmi/Rab20/Cd74/Il12rb1/Ciita/Irf8/Aqp4/Jak2/Slc11a1/Nlrc5/Otop1/Shfl/Rab43/Tlr2/Socs1/Ifitm3/Kynu/Cd47
GO:0002252	immune effector process	483	0.597507371331352	2.62278455185557	1e-10	6.58555555555556e-09	5.58713450292398e-09	1857	tags=40%, list=13%, signal=36%	Il4/Mrgprb3/Il10/Hpx/Clec4d/Cd28/Pglyrp1/Il1b/Klrc1/Prf1/Trem1/Hc/Clec4g/Clec4e/Il31ra/Cd226/Nlrp3/Il6/Tnfsf18/Lag3/H2-T22/Cd96/Ddx60/Cd5l/Stap1/Cd300a/C6/Gzmb/Tbx21/Clnk/H2-Ob/Cfb/C3/Cd180/Nkg7/Ptx3/Rsad2/Cr2/Cd160/Csf2rb/Tnfrsf4/Ptprc/Cd27/Ccr2/Ptgdr/Pck1/Irf7/C2/Lat2/Ly9/Ptpn22/Fcgr3/Fcgr1/Enpp3/Jak3/Klrk1/Tnfrsf14/H2-Q7/Fcer1g/Nr4a3/Coro1a/Slamf9/Gimap5/Myo1f/Fut7/Adora2b/Cd244a/Dock2/Il6ra/Tyrobp/C1rl/Klrd1/Myo1g/Hfe/Dock10/Cd37/Bst2/Csf2rb2/Tnfrsf1b/Tlr9/Cd46/Milr1/Cd55/Il18rap/Btk/Rac2/Ccl2/Fgl2/Mfng/Mrgprx2/Xcl1/Pla2g5/Cd8a/Ddx58/H2-Aa/Cracr2a/Sash3/H2-Eb1/Was/Slamf8/Slamf6/Gpr183/Fas/Lcp1/Gata1/Dhx58/H2-Ab1/C1s1/Tlr4/Cd86/Dnase1l3/Irf1/Ptafr/Lat/Nmi/Havcr2/Nckap1l/Crlf2/Il13ra2/Cd74/Fgr/Spi1/Rab27a/Laptm5/H2-DMa/Tnf/Inpp5d/Clcf1/Parp3/Gata2/Ms4a2/Vav1/Irf8/Nfkbid/Stat5a/Mad2l2/Cdh17/Fcgr2b/Fcer2a/B2m/Il7r/Lbp/Fes/Cyrib/Lyn/C1qb/Sucnr1/Pik3r6/Gm8909/Serping1/Slc11a1/Vsir/Itgal/H2-Q1/Rbp4/Ptpn6/Tap1/Tlr2/Tlr3/Spn/Sh2d1b1/Cd47/Itm2a/Pou2f2/Angpt1/Batf/Spon2/Apbb1ip/Plcl2/Gzmm/Il21r/Anxa1/Icam1/Il4i1/Ffar2/C4b/Gapt/Il18r1/Ifi35/Tcirg1/C1qa/C1qc/Il20rb/Lacc1/Cd36/Tap2/Rap1a/Cr1l/C1ra/Tnfaip3/Ccr7/Rftn1/Ripk3/Snap23/Irf4
GO:0050778	positive regulation of immune response	404	0.607747054158053	2.61012632801984	1e-10	6.58555555555556e-09	5.58713450292398e-09	2005	tags=43%, list=14%, signal=38%	Il4/Il10/Hpx/Fpr1/Acod1/Irgm1/Cd28/Il1b/Klrc1/Coch/Themis/Aim2/Cnr1/Hc/Skint7/Cd226/Nlrp3/Il6/Lag3/H2-T22/Tespa1/Itk/Cd5l/Txk/Stap1/Cd300a/C6/Tbx21/Ctla4/Clnk/Cfb/C3/Rsad2/Igtp/Cr2/Cd160/Ptprc/Ccr2/Clec4n/Zbp1/Pck1/Irf7/C2/Lat2/Ptpn22/Gcsam/Fcgr3/Fcgr1/Mndal/Ifi203/Bmx/Klrk1/H2-Q7/Fcer1g/Nr4a3/Cd3e/Gimap5/Adora2b/C5ar1/Tasl/Tyrobp/C1rl/Klrd1/Lpxn/Myo1g/Trat1/Skint10/Tlr9/Cd46/Adam8/Cd55/Parp9/Tnfsf13b/Zap70/Il18rap/Btk/Trim30d/Lcp2/Xcl1/Fyb/Pla2g5/Cd8a/Sting1/Lax1/Sash3/Card11/Slamf6/Cd38/Il15/Gata1/H2-Ab1/C1s1/Tlr4/Irf1/Ptafr/Nmi/Havcr2/Nckap1l/Cd74/Fgr/Spi1/Il12rb1/Laptm5/H2-DMa/Tnf/Themis2/Tlr8/Gpld1/Clcf1/Plscr2/Gata2/Ms4a2/Vav1/Sla2/Nfkbid/Stat5a/Mad2l2/Kcnn4/Nlrc4/Fcer2a/Cd247/B2m/Lbp/Cyrib/Lyn/C1qb/Gm8909/Serping1/Lck/Thy1/Slc11a1/Nlrc5/Prkcb/Skap1/H2-Q1/Ptpn6/Cd4/Tlr2/Sh2d1b1/Cd47/Cd274/C3ar1/Plcl2/Ikbke/Anxa1/Nfam1/Ffar2/C4b/Il18r1/Tnfrsf21/Ifi35/Cyld/Pla2g4a/Ubash3a/C1qa/C1qc/Pde4d/Tap2/Rap1a/Cr1l/C1ra/Ccr7/Rftn1/Phpt1/Plscr1/Cblb/Cmtm3/Trim56/Hlx/Syk/Riok3/C5ar2
GO:0051607	defense response to virus	217	0.641012548849278	2.59802697476384	1e-10	6.58555555555556e-09	5.58713450292398e-09	1348	tags=29%, list=10%, signal=27%	Ifitm6/Il4/Acod1/Oas3/Il1b/Prf1/Aim2/Nlrp3/Il6/Ddx60/Ccl5/Ncr1/Oasl1/Rsad2/Ifit1/Cxcl10/Ptprc/Rtp4/Zbp1/Irf7/Ifit2/Samhd1/Ptpn22/Isg15/Oasl2/Trim34a/Dtx3l/Cd37/Isg20/Bst2/Apobec3/Tlr9/Ifngr1/Parp9/Mlkl/Oas2/Trim30d/Stat1/Fgl2/Cd8a/Sting1/Ddx58/Ifih1/Il15/Dhx58/Cd86/Irf1/Trim21/Il12rb1/Tlr8/Bnip3/Cd207/Eif2ak2/Unc93b1/Tlr7/Stat2/Ifi27/Shfl/Tlr3/Ticam2/Spn/Ifitm3/Spon2/Apobec1
GO:0140546	defense response to symbiont	217	0.641012548849278	2.59802697476384	1e-10	6.58555555555556e-09	5.58713450292398e-09	1348	tags=29%, list=10%, signal=27%	Ifitm6/Il4/Acod1/Oas3/Il1b/Prf1/Aim2/Nlrp3/Il6/Ddx60/Ccl5/Ncr1/Oasl1/Rsad2/Ifit1/Cxcl10/Ptprc/Rtp4/Zbp1/Irf7/Ifit2/Samhd1/Ptpn22/Isg15/Oasl2/Trim34a/Dtx3l/Cd37/Isg20/Bst2/Apobec3/Tlr9/Ifngr1/Parp9/Mlkl/Oas2/Trim30d/Stat1/Fgl2/Cd8a/Sting1/Ddx58/Ifih1/Il15/Dhx58/Cd86/Irf1/Trim21/Il12rb1/Tlr8/Bnip3/Cd207/Eif2ak2/Unc93b1/Tlr7/Stat2/Ifi27/Shfl/Tlr3/Ticam2/Spn/Ifitm3/Spon2/Apobec1
