ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030593	neutrophil chemotaxis	87	0.722474188819478	2.65022418888515	1e-10	4.66899224806202e-09	3.33006935944512e-09	1042	tags=39%, list=7%, signal=37%	S100a9/Cxcl2/Trem3/S100a8/Trem1/Cxcr2/Ccl3/Il1b/Ppbp/Ccl4/Bst1/Sell/Cxcl13/Ccl9/Ccl8/Ccl7/Csf3r/Ccl5/Ccr7/Cxcl5/Cxcl10/Fcgr3/Fcer1g/Rac2/C5ar1/Cxcl9/Ccl1/Cxcl1/Ccl2/Nckap1l/Vav1/Ripor2/Lbp/Cklf
GO:0002250	adaptive immune response	366	0.604989081709436	2.64948715646136	1e-10	4.66899224806202e-09	3.33006935944512e-09	2103	tags=44%, list=14%, signal=39%	Il4/Il6/Clec4d/Trem1/Il1b/Eomes/Gzmb/Clec4n/Hpx/Cd28/Csf2rb/Nlrp3/Sh2d1a/Samsn1/Ctla4/Clcf1/Lag3/Fgg/Il18rap/Ccr7/Cd48/Csf2rb2/Ripk3/H2-T22/C4bp/Cd7/Fcgr3/Tbx21/Cd8b1/Itk/Txk/Fcer1g/C3/Themis/Crlf2/Exo1/Cd8a/Tnfrsf1b/Jak3/Ccr2/Ctsc/Bcl3/Hfe/Cd4/Cd226/Cracr2a/Nfkbid/C1rl/Slamf6/Fcgr2b/Pdcd1lg2/Tnfsf13b/Slamf1/Ptprc/Mcoln2/Sash3/Il12rb1/Gimap5/Hc/Il13ra2/Jak2/Lax1/Myo1g/Pdcd1/Cd160/Inpp5d/Il21r/C2/Tnfrsf14/Lat2/Sit1/Il33/Fcgr1/Tnf/Irf7/H2-Q1/Il4ra/H2-Ob/Was/Icam1/Cyrib/Nckap1l/Cd274/Gpr183/Anxa1/C1s1/Havcr2/Trex1/Il17ra/Adgre1/Rsad2/Zap70/Lyn/Btk/Irf1/Clec4a2/Slamf7/Ly9/Tgfb1/Icosl/Enpp1/Pnp/Rnf19b/H2-Q7/Lat/Lime1/Bmx/Fgl2/Cd40lg/Camk4/Pik3cd/Il7r/Vsir/Tnfaip3/Il23a/Unc93b1/Fut7/Batf/Ctsh/Cd3g/B2m/Gzmm/Foxp3/Tnfrsf11a/Atad5/Hspa8/C1qb/Entpd7/H2-T3/Pag1/Syk/Cd86/Hspd1/Ptpn6/Dbnl/Spn/Tcirg1/Cd244a/Cd24a/Pla2g4a/Stx11/Ptk2b/Erap1/Tap2/Tnfsf18/Rab27a/Socs5/Myd88/Sla2/Fas/Klrk1/Phb/Msh2/Cr2/Gm8909/Gfus/Mad2l2/C1qbp/Pou2f2/Cr1l/Il18bp/Cd3d
GO:0009615	response to virus	271	0.614598867103006	2.64016784098577	1e-10	4.66899224806202e-09	3.33006935944512e-09	2712	tags=45%, list=18%, signal=37%	Il4/Ifitm6/Il6/Il1b/Acod1/Irgm1/Aim2/Tgtp1/Oas3/Nlrp3/Lcn2/Mlkl/Ccl5/Samhd1/Sting1/Ripk3/Cxcl10/Pmaip1/Duox2/Igtp/Cd8a/Ifi44l/Bcl3/Stat1/Dtx3l/Ptprc/Il12rb1/Hyal1/Cxcl9/Zbp1/Oasl1/Ext1/F2rl1/Isg20/Cd37/Ddx60/Ifitm1/Rtp4/Il33/Tnf/Irf7/Oasl2/Hif1a/Ptpn22/Apobec3/Ddx58/Isg15/Parp9/Eif2ak2/Trex1/Bst2/Il17ra/Tlr9/Rsad2/Ifit1/Irf1/Pou2af1/Ifngr1/Tgfb1/Ncr1/Tspan6/Nlrx1/Tlr13/Ifit2/Fgl2/Plscr1/Il23a/Unc93b1/Ifnar1/Mst1r/Foxp3/Spon2/Rnf26/Nmi/Hsp90aa1/Riok3/Ifngr2/Tlr8/Trim21/Cd86/Cgas/Shfl/Wdfy4/Ifih1/Rnasel/Spn/Dhx9/Nfkb1/Trim34a/Ifitm3/Stat2/Mov10/Ndufaf4/Ifnar2/Trim8/Myd88/Ifitm2/Hyal2/Phb/C1qbp/Hyal3/Pou2f2/Ddx21/Apobec1/Xpr1/Polr3g/Tlr3/Ifi27/Ddx41/Skp2/Zmpste24/Phb2/Traf3ip2/Mapk14/Adar/Oas2/Trim30d/Pml/Ticam2/Flt3/Exosc4/Ncbp1
GO:0002443	leukocyte mediated immunity	339	0.60710167365901	2.6370294508602	1e-10	4.66899224806202e-09	3.33006935944512e-09	2277	tags=46%, list=15%, signal=40%	Il4/Trem3/Il6/Trem1/Il1b/Gzmb/Hpx/Cd28/Csf2rb/Nlrp3/Sh2d1a/Klrc1/Clcf1/Lag3/Nr4a3/Il13/Il18rap/Cxcl5/Csf2rb2/Ripk3/H2-T22/C4bp/Fcgr3/Tbx21/Cd300a/Fcer1g/C3/Crlf2/Exo1/Cd8a/Tnfrsf1b/Rac2/Jak3/Ccr2/Ctsc/Bcl3/Hfe/Coro1a/Cd226/C1rl/Gata1/Slamf6/Fcgr2b/Myo1f/Slamf1/Ptprc/Sash3/Gimap5/Hc/Il13ra2/Tyrobp/Myo1g/Mrgpra2a/Cd160/Stap1/Inpp5d/Il21r/F2rl1/C2/Lat2/Dnase1l3/Cxcl1/Fcgr1/Tnf/Irf7/H2-Q1/Il4ra/H2-Ob/Was/Icam1/Fgr/Ccl2/Cyrib/Nckap1l/Ddx58/Vav1/Adora2b/C1s1/Havcr2/Trex1/Bst2/Tlr9/Rsad2/Lyn/Btk/Spi1/Tgfb1/Icosl/Enpp1/Pnp/Rnf19b/H2-Q7/Stat5a/Lat/Wdr1/Pld2/Fgl2/Fes/Tlr4/Cd40lg/Nkg7/Mrgprb8/Il7r/Vsir/Il23a/Fut7/Ms4a2/Batf/Ctsh/B2m/Gzmm/Foxp3/Scimp/Spon2/Atad5/Ptafr/Hspa8/C1qb/Scnn1b/H2-T3/Syk/Milr1/Ywhaz/Hspd1/Ptpn6/Spn/Tcirg1/Cd24a/Stx11/Cd96/Tap2/Rab27a/Mrgprx2/Snap23/Tlr2/Myd88/Fas/Klrk1/Gata2/Msh2/Cr2/Gm8909/Gfus/Mad2l2/C1qbp/Slamf9/Pou2f2/Cr1l/Ddx21/Arrb2/Abr/Gapt/Serping1/Clnk/Tlr3/Malt1/Plcg2
GO:0006261	DNA-templated DNA replication	137	0.674987009445013	2.63174484841601	1e-10	4.66899224806202e-09	3.33006935944512e-09	2062	tags=50%, list=14%, signal=43%	E2f8/Samhd1/Fancm/Cdc6/Rad51/Traip/Cenps/Orc1/Dbf4/Mcm10/Mcm4/Fbxo5/Gins4/Ticrr/Ccne1/Chtf18/Mcm3/Mcm5/Eme1/Mms22l/Pole2/Polq/Pola2/Gins1/Tonsl/Dna2/Cenpx/Mcm2/Mcm6/Gins2/Cdc45/Npm1/Gen1/Mcm7/Prim2/Ccne2/Pole/Dscc1/Cdt1/Rfc5/Recql4/Baz1a/Tipin/Prim1/Blm/Topbp1/Atad5/Lig1/Zgrf1/Cdk2/Rfc4/E2f7/Donson/Timeless/Alyref/Mgme1/Rfc2/Pold1/Rrm1/Wdhd1/Fam111a/Mcmbp/Rnaseh1/Pcna/Pola1/Wdr18/Zranb3/Ddx21
GO:0031349	positive regulation of defense response	244	0.620693729154	2.62234994312081	1e-10	4.66899224806202e-09	3.33006935944512e-09	1966	tags=41%, list=13%, signal=36%	S100a9/Osm/Trem3/S100a8/Coch/Il6/Ccl3/Il1b/Ptgs2/Irgm1/Aim2/Cnr1/Clec4n/Hpx/Cd28/Tac1/Sh2d1a/Klrc1/Mefv/Lag3/Il18rap/Ccl5/C2cd4b/Ccr7/Adam8/Sting1/Fcgr3/Txk/Fcer1g/C3/Igtp/Ccr2/Ctsc/Ido1/Cd226/Slamf6/Gimap5/Ccr5/Jak2/Tyrobp/Zbp1/Ccl1/Cd160/Stap1/Klk7/F2rl1/Cxcl1/Il33/Fcgr1/Tnf/Irf7/Vav1/Adora2b/Parp9/Gpsm3/Havcr2/Ctss/Serpine1/Il17ra/Lbp/Tlr9/Lrrk2/Casp1/Spi1/Stat5a/Pik3cg/Tlr4/Nkg7/Plscr1/Masp1/Ttbk1/Nlrc4/Mndal/Ifi203/Tnfrsf11a/Nmi/Hmgb2/Hsp90aa1/Grn/Riok3/Tlr8/Syk/Cgas/Cebpb/Hspd1/Emilin1/Casp6/Ets1/Ripk1/Dhx9/Cd24a/Pla2g4a/Tnfsf18/Alox5ap/Ptger4/Tlr2/Tasl/Klrk1/Hyal2
GO:0002699	positive regulation of immune effector process	225	0.625530505890427	2.60832865231089	1e-10	4.66899224806202e-09	3.33006935944512e-09	2014	tags=44%, list=14%, signal=39%	Il4/Il6/Il10/Il1b/Hpx/Cd28/Nlrp3/Sh2d1a/Klrc1/C6/Clcf1/Lag3/Nr4a3/Tnfrsf4/Il13/Il18rap/Ccr7/H2-T22/Fcgr3/Tbx21/Cd300a/Fcer1g/C3/Rac2/Ccr2/Cd226/Nfkbid/Gata1/Slamf6/Slamf1/Ptprc/Sash3/Laptm5/Gimap5/Il13ra2/Tyrobp/Cd160/Stap1/Klk7/F2rl1/Cd37/Ddx60/Tnfrsf14/Cxcl1/Il33/Fcgr1/Tnf/Enpp3/H2-Q1/Il4ra/Fgr/Ptpn22/Ccl2/Cyrib/Ddx58/Vav1/Adora2b/Anxa1/Lbp/Cd27/Tlr9/Rsad2/Lyn/Irf1/Spi1/Tgfb1/Pnp/H2-Q7/Stat5a/Pld2/Fes/Tlr4/Masp1/Pck1/Il23a/Ms4a2/B2m/Foxp3/Scimp/Spon2/Atad5/Ptafr/Hspa8/H2-T3/Syk/Cd86/Hspd1/Ptpn6/Cd244a/Cd24a/Tap2/Tlr2/Socs5/Klrk1/Gata2/Phb/Msh2/Gm8909/Mad2l2
GO:0050729	positive regulation of inflammatory response	126	0.664645479042317	2.59492378926895	1e-10	4.66899224806202e-09	3.33006935944512e-09	1966	tags=46%, list=13%, signal=40%	S100a9/Osm/S100a8/Il6/Ccl3/Il1b/Ptgs2/Cnr1/Cd28/Tac1/Mefv/Ccl5/C2cd4b/Ccr7/Adam8/Fcgr3/Fcer1g/C3/Ccr2/Ctsc/Ido1/Ccr5/Jak2/Zbp1/Ccl1/Stap1/Il33/Fcgr1/Tnf/Adora2b/Gpsm3/Ctss/Serpine1/Il17ra/Lbp/Tlr9/Lrrk2/Casp1/Stat5a/Pik3cg/Tlr4/Nkg7/Ttbk1/Tnfrsf11a/Nmi/Grn/Cebpb/Hspd1/Ets1/Ripk1/Dhx9/Cd24a/Pla2g4a/Tnfsf18/Alox5ap/Ptger4/Tlr2/Hyal2
GO:0071621	granulocyte chemotaxis	111	0.684461926162098	2.5937906731273	1e-10	4.66899224806202e-09	3.33006935944512e-09	1042	tags=35%, list=7%, signal=33%	S100a9/Il4/Cxcl2/Trem3/S100a8/Trem1/Cxcr2/Ccl3/Il1b/Ppbp/Ccl4/Bst1/Sell/Cxcl13/Ccl9/Ccl8/Ccl7/Csf3r/Ccl5/Ccr7/Cxcl5/Cxcl10/Ccr3/Fcgr3/Fcer1g/Rac2/C5ar1/Slamf1/Cxcl9/Ccl1/Cxcl1/Ccl2/Nckap1l/Vav1/Anxa1/Ripor2/Il17ra/Lbp/Cklf
GO:0002526	acute inflammatory response	77	0.720295510793522	2.58512570525877	1e-10	4.66899224806202e-09	3.33006935944512e-09	1896	tags=51%, list=13%, signal=44%	Il4/Il6/Trem1/Cxcr2/Il1b/Ptgs2/Cnr1/Cd163/Tac1/Nlrp3/Ccl5/C2cd4b/Ccr7/Adam8/Il1rn/Fcgr3/Fcer1g/C3/Fcgr2b/Ptges/Ccr5/Cd6/Ext1/Dnase1l3/Cxcl1/Fcgr1/Tnf/Icam1/Lbp/Pik3cg/Plscr1/Hp/Fut7/Tnfrsf11a/Casp6/Sigirr/Spn/B4galt1/Alox5ap
