ID	Description	NES_musDTvsC	NES_acoDTvsC	padj_musDTvsC	padj_acoDTvsC	padj_min
GO:0030216	keratinocyte differentiation	2.8182289071608	-1.29543206309757	4.32642857142857e-08	0.194839547707682	4.32642857142857e-08
GO:0045104	intermediate filament cytoskeleton organization	2.78904331923695	-2.37738879759452	4.32642857142857e-08	4.66899224806202e-09	4.66899224806202e-09
GO:0045109	intermediate filament organization	2.78029581820593	-2.39054009758979	4.32642857142857e-08	5.16168179224764e-09	5.16168179224764e-09
GO:0045103	intermediate filament-based process	2.77493751415031	-2.35880072299495	4.32642857142857e-08	4.66899224806202e-09	4.66899224806202e-09
GO:0031424	keratinization	2.73294903411329	-1.47193475377691	4.32642857142857e-08	0.0589176080692692	4.32642857142857e-08
GO:0009913	epidermal cell differentiation	2.6785204856127	-1.31414450946602	4.32642857142857e-08	0.0824293284697216	4.32642857142857e-08
GO:0043588	skin development	2.66978076542771	-1.4343890802782	4.32642857142857e-08	0.00935819790547057	4.32642857142857e-08
GO:0008544	epidermis development	2.607881570371	-1.46412332144471	4.32642857142857e-08	0.00612217945664778	4.32642857142857e-08
GO:0042303	molting cycle	2.40675076398596	-1.65291407947515	4.32642857142857e-08	0.00379387749586786	4.32642857142857e-08
GO:0042633	hair cycle	2.40675076398596	-1.65291407947515	4.32642857142857e-08	0.00379387749586786	4.32642857142857e-08
GO:0055001	muscle cell development	-2.2210191463692	-2.13233223104468	4.32642857142857e-08	4.66899224806202e-09	4.66899224806202e-09
GO:0042254	ribosome biogenesis	2.15695468414369	2.29357740117896	4.32642857142857e-08	4.66899224806202e-09	4.66899224806202e-09
GO:0022613	ribonucleoprotein complex biogenesis	2.07722259829234	2.31161910742309	4.32642857142857e-08	4.66899224806202e-09	4.66899224806202e-09
GO:0003012	muscle system process	-1.96046978182935	-1.87346098858812	4.32642857142857e-08	7.56958688603058e-09	7.56958688603058e-09
GO:0051146	striated muscle cell differentiation	-1.97975251496467	-1.8226147901262	6.05463457746674e-08	4.90993967368764e-07	6.05463457746674e-08
GO:0042692	muscle cell differentiation	-1.85268222548525	-1.82397656683998	1.11762502868048e-07	4.63179767767057e-08	4.63179767767057e-08
GO:0016072	rRNA metabolic process	2.1120636304898	2.21372335989754	2.27307329880351e-07	4.66899224806202e-09	4.66899224806202e-09
GO:0006936	muscle contraction	-1.94116781828316	-1.9113541090695	3.48969513339934e-07	6.0265341674552e-08	6.0265341674552e-08
GO:0035456	response to interferon-beta	-2.35278577011076	2.55033951059791	6.04348004690825e-07	4.66899224806202e-09	4.66899224806202e-09
GO:0022404	molting cycle process	2.25263240320966	-1.69795152119455	1.13822355395459e-06	0.00154496530813922	1.13822355395459e-06
GO:0022405	hair cycle process	2.25263240320966	-1.69795152119455	1.13822355395459e-06	0.00154496530813922	1.13822355395459e-06
GO:0035458	cellular response to interferon-beta	-2.34380129774082	2.43961379037696	1.15840707626197e-06	4.99709472967547e-08	4.99709472967547e-08
GO:0001942	hair follicle development	2.24406556047582	-1.68156609986246	2.84750640166139e-06	0.00348805199353868	2.84750640166139e-06
GO:0006364	rRNA processing	2.08754111032994	2.27061502089797	3.09204177221262e-06	4.66899224806202e-09	4.66899224806202e-09
GO:0034762	regulation of transmembrane transport	-1.69249143580027	-1.46341859171338	3.81617129249734e-06	0.000789993094238662	3.81617129249734e-06
GO:0060537	muscle tissue development	-1.77041182950176	-1.86052263625059	4.0433601361049e-06	4.66899224806202e-09	4.66899224806202e-09
GO:0006941	striated muscle contraction	-2.00735556455645	-2.08405275052888	5.42386703460279e-06	6.47928745692102e-08	6.47928745692102e-08
GO:0034765	regulation of ion transmembrane transport	-1.72767476009527	-1.54721981588055	8.53714054780886e-06	0.000256815480450114	8.53714054780886e-06
GO:0098773	skin epidermis development	2.19843802380085	-1.66801874683725	9.13850067076235e-06	0.00343105123857601	9.13850067076235e-06
GO:0007519	skeletal muscle tissue development	-1.9222569662084	-1.84165952728245	3.65918352329803e-05	4.02998397588158e-05	3.65918352329803e-05
GO:0003009	skeletal muscle contraction	-2.24213376938942	-2.30879463808526	4.08764136917203e-05	9.31040673058685e-08	9.31040673058685e-08
GO:0030239	myofibril assembly	-2.16916838757012	-2.22895648725022	4.08764136917203e-05	2.83800410358786e-07	2.83800410358786e-07
GO:0055002	striated muscle cell development	-2.16916838757012	-2.22895648725022	4.08764136917203e-05	2.83800410358786e-07	2.83800410358786e-07
GO:0048741	skeletal muscle fiber development	-2.2180052391073	-1.82885714420519	4.54470761203525e-05	0.00416174656705335	4.54470761203525e-05
GO:0014904	myotube cell development	-2.17472927886655	-1.85426020736527	6.28547927828769e-05	0.00236341562559259	6.28547927828769e-05
GO:0007517	muscle organ development	-1.73435867093318	-1.93506923269394	6.9023478538705e-05	4.66899224806202e-09	4.66899224806202e-09
GO:0050879	multicellular organismal movement	-2.15212413757136	-2.31192296252192	8.37209869353777e-05	2.24173048489713e-08	2.24173048489713e-08
GO:0050881	musculoskeletal movement	-2.15212413757136	-2.31192296252192	8.37209869353777e-05	2.24173048489713e-08	2.24173048489713e-08
GO:0050778	positive regulation of immune response	-1.62105010791917	2.5647068663198	0.0001068489285997	4.66899224806202e-09	4.66899224806202e-09
GO:0002253	activation of immune response	-1.72607705913941	2.33672151945821	0.000188103026182721	4.66899224806202e-09	4.66899224806202e-09
GO:0000070	mitotic sister chromatid segregation	1.99134742866724	2.55937005935	0.000194714437236758	4.66899224806202e-09	4.66899224806202e-09
GO:0034470	ncRNA processing	1.74620708852029	1.85272910888261	0.000236488109092923	5.0166107630489e-08	5.0166107630489e-08
GO:0034660	ncRNA metabolic process	1.69426570010138	1.68392358603549	0.000241611161824558	9.16417138905948e-07	9.16417138905948e-07
