ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0030216	keratinocyte differentiation	146	0.781289593541211	2.8182289071608	1e-10	4.32642857142857e-08	3.97518796992481e-08	1526	tags=49%, list=9%, signal=45%	Krt83/Krt72/Krt87/Krt81/Sprr2b/Krt86/Gprc5d/Krt71/Krt82/Krt73/Krt85/Krtap6-5/Dsg4/Krt74/Sprr2a1/Sprr2d/Sprr2i/Krt90/Sprr2e/Krt36/Krt84/Alox8/Sprr2f/Cstdc6/Msx2/Krt6b/Krt6a/Krt16/Sprr2h/Tgm3/Sprr1b/Gm5414/Stfa3/Foxn1/Sprr2k/Krt75/Stfa2/Cstdc5/Stfa1/Cnfn/Sprr1a/Csta2/Cyp27b1/Casp14/Krt17/Gm5478/Cdh3/Sfn/Etv4/Dnase1l2/Krt1/Vdr/Csta3/Tgm1/St14/Epha2/Ivl/Tfap2a/Palld/Pnpla1/Cdsn/Cers3/Flnb/Mafb/Krt8/Fosl2/Bcr/Evpl/Ugcg/Tmem79/Sprr4
GO:0045104	intermediate filament cytoskeleton organization	79	0.842567850017583	2.78904331923695	1e-10	4.32642857142857e-08	3.97518796992481e-08	724	tags=44%, list=4%, signal=43%	Krt33b/Krt83/Krt72/Krt33a/Krt87/Krt81/Krt86/Krt34/Krt31/Krt71/Krt25/Krt27/Krt82/Krt73/Krt85/Krt35/Krt39/Tchh/Krt40/Krt74/Krt90/Krt36/Krt84/Shh/Krt6b/Krt6a/Krt16/Krt42/Krt32/Gm5414/Krt75/Krt17/Gm5478/Krt1/Krt14
GO:0045109	intermediate filament organization	60	0.882364440781005	2.78029581820593	1e-10	4.32642857142857e-08	3.97518796992481e-08	724	tags=58%, list=4%, signal=56%	Krt33b/Krt83/Krt72/Krt33a/Krt87/Krt81/Krt86/Krt34/Krt31/Krt71/Krt25/Krt27/Krt82/Krt73/Krt85/Krt35/Krt39/Tchh/Krt40/Krt74/Krt90/Krt36/Krt84/Shh/Krt6b/Krt6a/Krt16/Krt42/Krt32/Gm5414/Krt75/Krt17/Gm5478/Krt1/Krt14
GO:0045103	intermediate filament-based process	80	0.838880315703628	2.77493751415031	1e-10	4.32642857142857e-08	3.97518796992481e-08	724	tags=44%, list=4%, signal=42%	Krt33b/Krt83/Krt72/Krt33a/Krt87/Krt81/Krt86/Krt34/Krt31/Krt71/Krt25/Krt27/Krt82/Krt73/Krt85/Krt35/Krt39/Tchh/Krt40/Krt74/Krt90/Krt36/Krt84/Shh/Krt6b/Krt6a/Krt16/Krt42/Krt32/Gm5414/Krt75/Krt17/Gm5478/Krt1/Krt14
GO:0031424	keratinization	60	0.867338299175813	2.73294903411329	1e-10	4.32642857142857e-08	3.97518796992481e-08	764	tags=62%, list=5%, signal=59%	Krt83/Krt72/Krt87/Krt81/Sprr2b/Krt86/Gprc5d/Krt71/Krt82/Krt73/Krt85/Krtap6-5/Krt74/Sprr2d/Sprr2i/Krt90/Sprr2e/Krt84/Sprr2f/Krt6b/Krt6a/Krt16/Sprr2h/Tgm3/Sprr1b/Gm5414/Sprr2k/Krt75/Cnfn/Sprr1a/Casp14/Krt17/Gm5478/Cdh3/Sfn/Krt1/Tgm1
GO:0009913	epidermal cell differentiation	212	0.709954637445814	2.6785204856127	1e-10	4.32642857142857e-08	3.97518796992481e-08	1526	tags=39%, list=9%, signal=36%	Krt83/Krt72/Krt87/Krt81/Sprr2b/Krt86/Gprc5d/Krt71/Krt82/Krt73/Krt85/Krtap6-5/Dsg4/Krt74/Sprr2a1/Sprr2d/Sprr2i/Krt90/Sprr2e/Krt36/Krt84/Alox8/Sprr2f/Cstdc6/Msx2/Krt6b/Krt6a/Krt16/Sprr2h/Dlx3/Tgm3/Sprr1b/Gm5414/Stfa3/Foxn1/Sprr2k/Krt75/Stfa2/Cstdc5/Mycn/Stfa1/Cnfn/Sprr1a/Csta2/Ptch2/Cyp27b1/Casp14/Krt17/Gm5478/Whrn/Cdh3/Sfn/Etv4/Dnase1l2/Krt1/Vdr/Csta3/Tgm1/Ovol1/Gli2/Sult2b1/Cux1/Mcoln3/St14/Gli1/Slc9a3r1/Epha2/Ivl/Tfap2a/Palld/Pnpla1/Cdsn/Cers3/Flnb/Mafb/Krt8/Fosl2/Jag1/Bcr/Evpl/Ugcg/Tmem79/Sprr4
GO:0043588	skin development	306	0.681627596885591	2.66978076542771	1e-10	4.32642857142857e-08	3.97518796992481e-08	1620	tags=34%, list=10%, signal=31%	Krt83/Krt72/Krt87/Krt81/Sprr2b/Krt86/Gprc5d/Krt71/Krt25/Krt27/Krt82/Krt73/Krt85/Krtap21-1/Krtap6-5/Krtap6-2/Dsg4/Foxe1/Krt74/Sprr2a1/Sprr2d/Sprr2i/Krt90/Sprr2e/Krt36/Krt84/Alox8/Sprr2f/Shh/Cstdc6/Msx2/Krt6b/Krt6a/Hoxc13/Krt16/Sprr2h/Dlx3/Tgm3/Sprr1b/Gm5414/Stfa3/Foxn1/Sprr2k/Krt75/Stfa2/Cstdc5/Stfa1/Cnfn/Sprr1a/Csta2/Ptch2/Cyp27b1/Casp14/Krt17/Gm5478/Ctsl/Cdh3/Fras1/Sfn/Etv4/Dnase1l2/Krt1/Alx4/Vdr/Csta3/Tgm1/Ovol1/Wnt5a/Gli2/St14/Epha2/Ppard/Inhba/Sox9/Ivl/Tfap2a/Vangl2/Palld/Pnpla1/Cdsn/Cers3/Flnb/Mafb/Stmn1/Barx2/Zdhhc21/Krt8/Runx1/Atp8a2/Prss8/Fosl2/Bcr/Evpl/Cldn4/Ugcg/Jup/Ctnnb1/Tmem79/Sprr4/Trpv1/Nsun2/Sufu/Smarca4
GO:0008544	epidermis development	330	0.661849015253903	2.607881570371	1e-10	4.32642857142857e-08	3.97518796992481e-08	1620	tags=33%, list=10%, signal=30%	Krt83/Krt72/Krt87/Krt81/Sprr2b/Krt86/Gprc5d/Krt71/Krt25/Krt27/Krt82/Krt73/Krt85/Krtap21-1/Krtap6-5/Krtap6-2/Dsg4/Foxe1/Klk14/Krt74/Sprr2a1/Sprr2d/Sprr2i/Krt90/Sprr2e/Krt36/Krt84/Alox8/Sprr2f/Shh/Cstdc6/Msx2/Krt6b/Krt6a/Hoxc13/Krt16/Sprr2h/Dlx3/Tgm3/Sprr1b/Gm5414/Stfa3/Foxn1/Sprr2k/Krt75/Stfa2/Cstdc5/Mycn/Stfa1/Cnfn/Sprr1a/Csta2/Ptch2/Cyp27b1/Casp14/Krt17/Gm5478/Ctsl/Whrn/Cdh3/Sfn/Etv4/Dnase1l2/Krt1/Alx4/Vdr/Csta3/Tgm1/Ovol1/Wnt5a/Gli2/Sult2b1/Cux1/Mcoln3/St14/Gli1/Slc9a3r1/Epha2/Ppard/Inhba/Sox9/Ivl/Tfap2a/Vangl2/Palld/Pnpla1/Cdsn/Cers3/Flnb/Mafb/Barx2/Zdhhc21/Krt8/Runx1/Prss8/Zfp750/Fosl2/Jag1/Bcr/Evpl/Ugcg/Ctnnb1/Tmem79/Sprr4/Trpv1/Nsun2/Myo6/Smarca4
GO:0042303	molting cycle	133	0.679730702687984	2.40675076398596	1e-10	4.32642857142857e-08	3.97518796992481e-08	2039	tags=37%, list=12%, signal=33%	Gprc5d/Krt71/Krt25/Krt27/Krtap4-6/Krtap21-1/Krtap4-13/Krtap6-2/Dsg4/Foxe1/Shh/Msx2/Hoxc13/Krt16/Dlx3/Foxn1/Ptch2/Krt17/Ctsl/Cdh3/Dnase1l2/Alx4/Krt14/Wnt5a/Gli2/Trpv3/Ppard/Inhba/Sox9/Vangl2/Barx2/Zdhhc21/Tspear/Runx1/Prss8/Ctnnb1/Tmem79/Trpv1/Nsun2/Myo5a/Atp7a/Tsku/Trps1/Farp2/Notch1/Lgr5/Hdac1/Foxq1/Fzd6
GO:0042633	hair cycle	133	0.679730702687984	2.40675076398596	1e-10	4.32642857142857e-08	3.97518796992481e-08	2039	tags=37%, list=12%, signal=33%	Gprc5d/Krt71/Krt25/Krt27/Krtap4-6/Krtap21-1/Krtap4-13/Krtap6-2/Dsg4/Foxe1/Shh/Msx2/Hoxc13/Krt16/Dlx3/Foxn1/Ptch2/Krt17/Ctsl/Cdh3/Dnase1l2/Alx4/Krt14/Wnt5a/Gli2/Trpv3/Ppard/Inhba/Sox9/Vangl2/Barx2/Zdhhc21/Tspear/Runx1/Prss8/Ctnnb1/Tmem79/Trpv1/Nsun2/Myo5a/Atp7a/Tsku/Trps1/Farp2/Notch1/Lgr5/Hdac1/Foxq1/Fzd6
