FileName	Species	Treatment	Assigned	Unassigned_Unmapped	Unassigned_Singleton	Unassigned_MultiMapping	Unassigned_NoFeatures	Unassigned_Ambiguity	Total	PassesQC
AcoCtrl1	9_AC_A1	Aco	Acetone	30561256	1206298	2447221	5647594	8626040	868573	49356982	TRUE
AcoCtrl2	10_AC_A2	Aco	Acetone	25384861	853993	2214283	8289076	8196624	667310	45606147	TRUE
AcoCtrl3	11_AC_A3	Aco	Acetone	28472213	1124945	2239251	5861838	8822767	792475	47313489	TRUE
AcoCtrl4	12_AC_A4	Aco	Acetone	21143918	649590	1373792	4504077	6556832	565835	34794044	TRUE
AcoDT1	13_DT_A1	Aco	DMBA_TPA	22174740	515206	1739184	6035717	6259533	692270	37416650	TRUE
AcoDT2	14_DT_A2	Aco	DMBA_TPA	28498572	758438	2000690	7477735	7716186	890878	47342499	TRUE
AcoDT3	15_DT_A3	Aco	DMBA_TPA	27272843	799808	2363140	7335196	7885608	795218	46451813	TRUE
AcoDT4	16_DT_A4	Aco	DMBA_TPA	21829796	628767	1927957	5901469	7054015	732191	38074195	TRUE
MusCtrl1	1_AC_M1	Mus	Acetone	23513181	3220387	1309508	2828553	8208617	1345124	40425370	TRUE
MusCtrl2	2_AC_M2_1	Mus	Acetone	19608787	2002312	1655324	1634679	17265338	999363	43165803	FALSE
MusCtrl3	3_AC_M3	Mus	Acetone	25420752	3780090	1684764	3120272	10847437	1461707	46315022	TRUE
MusCtrl4	4_AC_M4	Mus	Acetone	20825718	3545786	1444423	2506203	8403695	1230493	37956318	TRUE
MusDT1	5_DT_M1	Mus	DMBA_TPA	20987750	3497932	1245297	1558903	3658795	1078249	32026926	TRUE
MusDT2	6_DT_M2	Mus	DMBA_TPA	24716585	4238234	1304096	2252096	4619242	1389382	38519635	TRUE
MusDT3	7_DT_M3	Mus	DMBA_TPA	30198281	6613976	2210188	2937454	6887169	1787101	50634169	TRUE
MusDT4	8_DT_M4	Mus	DMBA_TPA	28628017	6792321	1585421	2624028	6039587	1616034	47285408	TRUE
