EntrezID,symbol,gene,logFC WT,pValue WT,logFC dBcat,pValue dBcat,logFC d4TCF,pValue d4TCF
8313,AXIN2,axin 2,3.285841142,0,-0.095711763,0.451143732,-0.220127264,0.029794696
22943,DKK1,dickkopf WNT signaling pathway inhibitor 1,3.289472188,1.93E-98,-0.322702844,0.256222094,0.266876702,0.325403839
85407,NKD1,naked cuticle homolog 1 (Drosophila),2.798113766,5.08E-83,0.124747036,0.607866023,-0.123481154,0.595258061
139818,DOCK11,dedicator of cytokinesis 11,1.670104151,7.72E-82,-0.371238791,0.000219747,-0.371522452,0.000265129
4488,MSX2,msh homeobox 2,1.413261774,5.85E-66,-0.098468003,0.423904816,-0.477579562,0.0000266
121549,ASCL4,achaete-scute family bHLH transcription factor 4,10.22306054,1.45E-62,-0.554013419,0.72408607,-0.82856092,0.581541495
127544,RNF19B,ring finger protein 19B,1.204783732,7.41E-54,0.164145006,0.128862478,0.25769505,0.001279032
797,CALCB,calcitonin-related polypeptide beta,2.068044188,2.05E-52,-0.260693162,0.137709368,0.104391291,0.614046011
8633,UNC5C,unc-5 netrin receptor C,-1.580865601,1.5E-38,-0.274832479,0.041658629,0.028876468,0.867790106
147372,CCBE1,collagen and calcium binding EGF domains 1,2.043708755,7.25E-34,-0.242268321,0.330117745,0.625396839,0.139851858
3205,HOXA9,homeobox A9,1.047169815,3.94E-28,0.390170211,0.000241413,0.426735093,0.0000216
901,CCNG2,cyclin G2,-1.057116096,1.94E-26,-0.158148704,0.190965496,-0.349042399,0.000699607
10194,TSHZ1,teashirt zinc finger homeobox 1,1.090059584,1.19E-25,0.593639727,8.17E-08,-0.326188826,0.005494759
7068,THRB,"thyroid hormone receptor, beta",-1.153995268,1.32E-24,-0.543838227,0.00000325,-0.795746268,6.97E-12
4487,MSX1,msh homeobox 1,1.257287995,4.7E-24,-0.383838657,0.006064337,0.191523083,0.248225796
84858,ZNF503,zinc finger protein 503,1.123056431,5.27E-23,0.504639242,0.0000497,0.210909792,0.126670766
573,BAG1,BCL2-associated athanogene,1.01143419,1.43E-22,0.989854924,4.19E-22,0.909658163,2.53E-18
